Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Registration,MFR Year,EIS Date,Airframe Hours,Country,Time on Market (days),Ask Price (M),Ask Price_MO,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband
17/04/2025,155,Challenger 300, ,023,N575FD,2004,01-12-2004,"8,480",US,108,7.99,,MSP-G,8, , , , , , , ,Yes, 
17/04/2025,155,Challenger 300, ,032,N520RP,2004,01-04-2005,"14,025",US,127,7.62,,MSP-G,8, , , , , ,Yes, , , 
17/04/2025,155,Challenger 300, ,113,N632BA,2006,01-11-2006,"4,710",US,3,,Yes,MSP-G,9, , ,Yes, , , , , , 
17/04/2025,155,Challenger 300, ,146,N58HA,2007,01-09-2007,"4,995",US,206,10.49,,MSP-G,8, , ,Yes, , , , , ,Yes
17/04/2025,155,Challenger 300, ,170,N3975A,2007,01-02-2008,"7,845",US,527,10.0,,MSP-G,9, , , , , , , ,Yes,Yes
17/04/2025,155,Challenger 300, ,232,N194TD,2008,01-01-2009,"4,200",US,30,10.9,,MSP-G,9, , , , , , , , , 
17/04/2025,155,Challenger 300, ,251,N260BA,2008,01-05-2009,"6,165",US,66,,Yes,MSP,9, , , , , , , , , 
17/04/2025,155,Challenger 300, ,252,N283B,2008,01-04-2010,"5,420",US,209,,Yes,JSSI,8, , , , , , , ,Yes, 
17/04/2025,155,Challenger 300, ,261,YR-TRC,2009,01-06-2009,"9,580",RO,189,8.5,,MSP-G,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,005,9H-ALL,2000,01-12-2000,"8,025",MT,784,2.75,,TAP Elite,6, , , , , , , , , 
17/04/2025,155,Challenger 300, ,295,OK-AOA,2010,01-12-2010,"8,640",CZ,133,9.99,,MSP-G,9, , , , , ,Yes, , , 
17/04/2025,218,Citation CJ2, ,017,N380CB,2001,01-12-2002,"6,890",US,143,3.1,,,6, , , , , , , , , 
17/04/2025,155,Challenger 300, ,332,N332AR,2011,01-01-2012,"3,400",US,163,12.49,,MSP-G,9, , , , , , ,Yes, , 
17/04/2025,218,Citation CJ2, ,029,OE-FRS,2001,01-06-2001,"6,695",AT,531,2.59,,TAP Elite,6, , , , , , , , , 
17/04/2025,172,Challenger 650, ,6067,N858MY,2016,01-09-2016,"3,455",US,335,18.9,,OnPoint,11, , , , , , , ,Yes,Yes
17/04/2025,155,Challenger 300, ,347,N399NC,2011,01-04-2012,"5,050",US,92,12.85,,MSP-G,9, , , , , , , ,Yes, 
17/04/2025,218,Citation CJ2, ,039,N900HA,2001,01-09-2001,"3,435",US,51,,Yes,TAP Elite,7, , , , , , , , , 
17/04/2025,172,Challenger 650, ,6108,N91FK,2017,01-01-2018,"2,880",US,191,,Yes,OnPoint,10, , , , , , , ,Yes, 
17/04/2025,255,Challenger 605, ,5703,N605TS,2006,01-07-2007,"4,165",US,401,9.95,,OnPoint,9, , , , , , , , , 
17/04/2025,155,Challenger 300, ,403,N546AD,2013,01-06-2013,"4,370",US,190,11.49,,JSSI,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,043,G-JNRE,2001,01-08-2002,"6,870",GB,265,2.49,,TAP Blue,6, , , , , , , , , 
17/04/2025,172,Challenger 650, ,6118,M-HEAD,2018,01-06-2018,"1,380",AE,30,,Yes,OnPoint,12, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5765,OY-CCH,2008,01-12-2008,"7,395",DK,675,9.99,,OnPoint,10, , , , , , , , , 
17/04/2025,258,Challenger 601-3A, ,5009,N654CM,1987,01-12-1987,"14,160",US,195,,Yes,,10, , , , , ,Yes, , , 
17/04/2025,335,Challenger 601-3R, ,5135,N144MH,1993,01-01-1994,"8,665",US,142,,Yes,OnPoint,8, , , , , , , , , 
17/04/2025,129,Challenger 350, ,520,N768BL,2014,01-12-2014,"3,170",US,168,15.37,,MSP-G,9, , , , , , ,Yes, ,Yes
17/04/2025,223,Challenger 604, ,5303,N367PL,1996,01-04-1996,"8,020",US,234,4.7,,OnPoint,9, , , , , , , , , 
17/04/2025,155,Challenger 300, ,426,N91910,2013,01-12-2013,"3,545",US,20,13.59,,JSSI,9, , , , , , ,Yes, , 
17/04/2025,218,Citation CJ2, ,049,9H-OPL,2001,01-01-2002,"12,675",GB,324,2.95,,TAP Blue,6, , , , , , , , , 
17/04/2025,172,Challenger 650, ,6138,N650EL,2019,01-11-2019,"1,585",PA,59,,Yes,OnPoint,12, , , , , , , ,Yes, 
17/04/2025,255,Challenger 605, ,5775,N139MB,2008,01-10-2009,"8,625",US,189,8.95,,OnPoint,9, , , , , ,Yes, , ,Yes
17/04/2025,258,Challenger 601-3A, ,5013,N601VR,1987,01-01-1988,"8,470",US,345,1.92,,JSSI,9, , , , , , , , , 
17/04/2025,335,Challenger 601-3R, ,5166,N61FF,1994,01-08-1995,"11,525",US,294,,Yes,JSSI,10, , , , , ,Yes, , , 
17/04/2025,129,Challenger 350, ,529,N6PG,2014,01-02-2015,"4,095",US,22,,Yes,MSP,8, , , , , , ,Yes, , 
17/04/2025,223,Challenger 604, ,5308,N813TA,1996,01-10-1996,"7,030",US,52,,Yes,OnPoint,9, , , , , ,Yes, , , 
17/04/2025,155,Challenger 300, ,432,N432GH,2013,01-12-2013,"3,215",US,49,,Yes,MSP,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,054,N417MH,2002,01-02-2002,"5,985",US,132,,,TAP Blue,6, , , , , , , , , 
17/04/2025,172,Challenger 650, ,6174,N918RL,2021,01-03-2022,"1,900",US,245,,Yes,JSSI,12, , , , , , , ,Yes, 
17/04/2025,255,Challenger 605, ,5776,LV-HQR,2008,01-01-2010,"3,375",AR,65,10.75,,OnPoint,9, , , , , , , , , 
17/04/2025,258,Challenger 601-3A, ,5046,N423AK,1989,01-08-1989,"11,090",US,367,1.8,,,9, , , , , , , , , 
17/04/2025,335,Challenger 601-3R, ,5170,N441PJ,1994,01-05-1995,"10,475",US,580,1.5,,OnPoint,11, , , , , , ,Yes, , 
17/04/2025,129,Challenger 350, ,594,N424MP,2015,01-01-2016,"3,245",US,366,16.95,,MSP-G,8, , , , , , , ,Yes, 
17/04/2025,223,Challenger 604, ,5343,N323SH,1997,01-10-1997,"6,635",US,77,5.45,,OnPoint,9, , , , , , , ,Yes, 
17/04/2025,155,Challenger 300, ,450,N99MR,2014,01-03-2014,"3,455",US,360,13.95,,MSP-G,9, , , , , , ,Yes, , 
17/04/2025,218,Citation CJ2, ,077,N965CK,2002,01-07-2002,"2,785",US,80,3.49,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5806,N605NS,2009,01-06-2010,"1,255",US,318,12.1,,OnPoint,12, , , , , , , ,Yes, 
17/04/2025,258,Challenger 601-3A, ,5064,N855MM,1990,01-11-1990,"8,455",US,27,3.75,,EAP,9, , , , , , , , , 
17/04/2025,335,Challenger 601-3R, ,5173,N501KV,1995,01-02-1995,"10,225",US,322,4.25,,OnPoint,11, , , , , , , , , 
17/04/2025,129,Challenger 350, ,596,C-GGAQ,2015,01-01-2016,"1,845",CA,86,16.89,,MSP-G,9, , , , , , , ,Yes, 
17/04/2025,223,Challenger 604, ,5352,N530BD,1997,01-03-1998,"8,645",US,6,6.02,,,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,078,N113BG,2002,01-07-2002,"3,665",US,108,3.29,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5812,EI-WFI,2009,01-05-2010,"4,570",GB,226,11.0,,OnPoint,10, , , , , , , , ,Yes
17/04/2025,258,Challenger 601-3A, ,5079,N836CM,1990,01-05-1991,"10,465",US,444,2.45,,OnPoint,9, , , , , ,Yes, , , 
17/04/2025,129,Challenger 350, ,632,N599JF,2016,01-08-2016,"2,275",US,182,16.75,,JSSI,8, , , , , , , ,Yes, 
17/04/2025,223,Challenger 604, ,5359,SX-KFA,1997,01-05-1998,"16,520",GR,164,,Yes,,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,114,N726RP,2002,01-10-2002,"6,160",US,93,3.15,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5823,PP-COA,2009,01-07-2010,"3,695",BR,456,,Yes,OnPoint,12, , , , , , , , , 
17/04/2025,258,Challenger 601-3A, ,5082,N794SC,1990,01-04-1992,"10,915",US,50,2.49,,OnPoint,11, , , , , , , , , 
17/04/2025,129,Challenger 350, ,676,N179KC,2017,01-05-2017,"2,595",GT,188,,Yes,JSSI,9, , , , , , ,Yes, , 
17/04/2025,223,Challenger 604, ,5360,N604AL,1997,01-12-1997,"8,465",US,157,,Yes,OnPoint,11, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,128,N525CK,2002,01-12-2002,"4,290",US,736,2.97,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5825,OE-INK,2009,01-11-2010,"4,060",AT,687,,Yes,,11, , , , , , , , , 
17/04/2025,258,Challenger 601-3A, ,5113,N116HL,1992,01-01-1993,"9,100",US,344,1.49,,,9, , , , , , ,Yes, , 
17/04/2025,129,Challenger 350, ,698,OE-HIL,2017,01-10-2017,"2,200",RO,62,17.9,,MSP-G,9, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5361,N800LB,1997,01-05-1998,"9,885",US,197,,Yes,OnPoint,11, , , , , , ,Yes, , 
17/04/2025,218,Citation CJ2, ,140,N140DA,2003,01-01-2003,"4,650",US,178,2.95,,TAP Blue,6, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5842,N57MH,2010,01-07-2011,"5,870",US,128,10.75,,OnPoint,10, , , , , , ,Yes, , 
