Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Previous Registration,MFR Year,EIS Date,Current Airframe Hours,Previous Country,Days On Market,Ask Price (M),Ask Price_MO,Sale Price,Sale Price_TBD,Sale Date,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband 
17/04/2025,159,Challenger 300, ,010,N41DP,2004,01-03-2004,"4,085",US,0,,Yes,8.3,,18/10/2024,MSP,8, , , , , , , ,Yes, 
17/04/2025,159,Challenger 300, ,015,N219AB,2004,01-08-2004,"6,045",US,437,9.75,,9.4,,09/05/2024,MSP-G,9, , , , , , , ,Yes, 
17/04/2025,159,Challenger 300, ,033,N33CH,2004,01-12-2004,"6,110",US,232,8.99,,7.9,,19/12/2024,MSP-G,8, , , , , , , , , 
17/04/2025,159,Challenger 300, ,039,N727SJ,2005,01-06-2005,"4,625",US,24,,Yes,,Yes,20/12/2024,MSP-G,9, , , , , , , ,Yes, 
17/04/2025,159,Challenger 300, ,050,M-MTOO,2005,01-12-2005,"3,695",JO,368,8.5,,8.0,,11/04/2025,MSP-G,9, , , , , , , , , 
17/04/2025,159,Challenger 300, ,054,N91CF,2005,01-09-2005,"4,395",US,256,10.75,,10.75,,13/12/2024,MSP-G,8, , , , , , ,Yes, , 
17/04/2025,159,Challenger 300, ,058,N957CR,2005,01-10-2005,"4,090",US,62,,Yes,9.5,,21/11/2024,MSP-G,9, , , , , , , ,Yes, 
17/04/2025,159,Challenger 300, ,075,N356ML,2005,01-02-2006,"6,980",US,50,,Yes,8.2,,06/03/2025,MSP-G,9, , , , , , , ,Yes, 
17/04/2025,190,Challenger 601-3R, ,5146,N825SG,1994,01-09-1994,"8,195",US,190,,Yes,3.1,,17/12/2024,OnPoint,11, , , , , , , , , 
17/04/2025,46,Challenger 3500, ,942,N350MH,2023,01-05-2023,635,US,48,23.59,,23.2,,17/09/2024,JSSI,8, , ,Yes, , , , , , 
17/04/2025,152,Challenger 650, ,6064,N5950E,2016,01-04-2016,"2,405",US,54,19.35,,19.2,,18/03/2025,OnPoint,12, , , , , , , ,Yes,Yes
17/04/2025,135,Challenger 601-3A, ,5045,N601AF,1989,01-01-1990,"8,685",US,164,,Yes,615K,,21/02/2025,,12, , , , , , , , , 
17/04/2025,159,Challenger 300, ,104,N125TM,2006,01-12-2006,"5,760",US,114,9.75,,,Yes,13/06/2024,MSP-G,8, , , , , , , ,Yes, 
17/04/2025,46,Challenger 3500, ,951,D-BAPE,2023,01-06-2023,340,DE,58,24.6,,24.0,,16/08/2024,MSP-G,9, , ,Yes, , , , , , 
17/04/2025,152,Challenger 650, ,6087,N650JG,2016,01-02-2017,"2,450",US,256,,Yes,18.35,,30/08/2024,OnPoint,12, , , , , , , , , 
17/04/2025,135,Challenger 601-3A, ,5059,N403JC,1989,01-09-1990,"6,100",US,8,2.35,,1.7,,18/06/2024,,11, , , , , , , , , 
17/04/2025,159,Challenger 300, ,110,N61TF,2006,01-10-2006,"4,755",US,157,,Yes,9.4,,13/03/2025,MSP,8, , , , , , , ,Yes, 
17/04/2025,46,Challenger 3500, ,959,N504GB,2023,01-08-2023,400,US,32,,Yes,24.0,,19/07/2024,MSP-G,8, , ,Yes, , , , , , 
17/04/2025,152,Challenger 650, ,6121,N121JM,2018,01-06-2018,"1,970",US,162,20.99,,19.9,,13/06/2024,OnPoint,12, , , , , , , ,Yes, 
17/04/2025,135,Challenger 601-3A, ,5073,N70X,1990,01-01-1991,"8,060",US,98,,Yes,2.19,,30/12/2024,,11, , , , , ,Yes, , , 
17/04/2025,159,Challenger 300, ,127,N702NF,2006,01-03-2007,"6,530",US,114,10.25,,9.67,,08/08/2024,JSSI,8, , , , , , , ,Yes, 
17/04/2025,152,Challenger 650, ,6134,N634JG,2019,01-03-2019,"1,010",US,136,23.9,,21.0,,23/05/2024,OnPoint,9, , ,Yes, , , , , , 
17/04/2025,135,Challenger 601-3A, ,5101,N243P,1991,01-11-1991,"10,105",US,87,2.1,,1.2,,18/04/2024,,9, , , , , , , , , 
17/04/2025,159,Challenger 300, ,142,C-GTUF,2006,01-10-2007,"3,800",CA,86,,Yes,9.9,,06/09/2024,MSP-G,9, , , , , , ,Yes, , 
17/04/2025,135,Challenger 601-3A, ,5106,N373AB,1992,01-01-1992,"7,915",US,315,2.95,,,Yes,23/12/2024,OnPoint,9, , , , , , ,Yes, , 
17/04/2025,212,Challenger 605, ,5713,C-FGRS,2007,01-10-2008,"5,605",CA,146,11.0,,10.95,,05/12/2024,OnPoint,11, , , , , , , , ,Yes
17/04/2025,191,Challenger 350, ,501,C-GDCC,2014,01-09-2014,"3,565",CA,68,,Yes,16.2,,07/05/2024,MSP-G,9, , , , , , , , , 
17/04/2025,182,Citation CJ2, ,002,N400WD,2000,01-12-2000,"7,175",US,173,,Yes,,Yes,02/04/2025,TAP Blue,6, , , , , , ,Yes, , 
17/04/2025,159,Challenger 300, ,143,N593HR,2006,01-09-2007,"5,790",US,150,10.49,,9.65,,28/06/2024,MSP-G,8, , , , , , , ,Yes, 
