Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Previous Registration,MFR Year,EIS Date,Current Airframe Hours,Previous Country,Days On Market,Ask Price (M),Ask Price_MO,Sale Price,Sale Price_TBD,Sale Date,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband 
08/05/2025,158,Challenger 300, ,010,N41DP,2004,01-03-2004,"4,105",US,0,,Yes,8.3,,18/10/2024,MSP,8, , , , , , , ,Yes, 
08/05/2025,158,Challenger 300, ,015,N219AB,2004,01-08-2004,"6,075",US,437,9.75,,9.4,,09/05/2024,MSP-G,9, , , , , , , ,Yes, 
08/05/2025,158,Challenger 300, ,023,N575FD,2004,01-12-2004,"8,510",US,120,7.99,,7.68,,29/04/2025,MSP-G,8, , , , , , , ,Yes, 
08/05/2025,158,Challenger 300, ,033,N33CH,2004,01-12-2004,"6,140",US,232,8.99,,7.9,,19/12/2024,MSP-G,8, , , , , , , , , 
08/05/2025,252,Challenger 601-3R, ,5146,N825SG,1994,01-09-1994,"8,225",US,190,,Yes,3.1,,17/12/2024,OnPoint,11, , , , , , , , , 
08/05/2025,158,Challenger 300, ,039,N727SJ,2005,01-06-2005,"4,655",US,24,,Yes,,Yes,20/12/2024,MSP-G,9, , , , , , , ,Yes, 
08/05/2025,252,Challenger 601-3R, ,5173,N501KV,1995,01-02-1995,"10,255",US,313,4.25,,,Yes,08/04/2025,OnPoint,11, , , , , , , , , 
08/05/2025,147,Challenger 601-3A, ,5045,N601AF,1989,01-01-1990,"8,710",US,164,,Yes,615K,,21/02/2025,,12, , , , , , , , , 
08/05/2025,175,Challenger 650, ,6064,N5950E,2016,01-04-2016,"2,435",US,54,19.35,,19.2,,18/03/2025,OnPoint,12, , , , , , , ,Yes,Yes
08/05/2025,46,Challenger 3500, ,942,N350MH,2023,01-05-2023,665,US,48,23.59,,23.2,,17/09/2024,JSSI,8, , ,Yes, , , , , , 
08/05/2025,188,Challenger 350, ,508,SP-KHI,2014,01-09-2014,"1,770",PL,250,,Yes,14.7,,07/08/2024,,9, , , , , , , , , 
08/05/2025,158,Challenger 300, ,050,M-MTOO,2005,01-12-2005,"3,720",JO,368,8.5,,8.0,,11/04/2025,MSP-G,9, , , , , , , , , 
08/05/2025,147,Challenger 601-3A, ,5059,N403JC,1989,01-09-1990,"6,125",US,8,2.35,,1.7,,18/06/2024,,11, , , , , , , , , 
08/05/2025,175,Challenger 650, ,6087,N650JG,2016,01-02-2017,"2,480",US,256,,Yes,18.35,,30/08/2024,OnPoint,12, , , , , , , , , 
08/05/2025,46,Challenger 3500, ,951,D-BAPE,2023,01-06-2023,370,DE,58,24.6,,24.0,,16/08/2024,MSP-G,9, , ,Yes, , , , , , 
08/05/2025,188,Challenger 350, ,524,N10EF,2014,01-01-2015,"2,910",US,79,,Yes,16.2,,03/07/2024,MSP-G,9, , , , , , , ,Yes, 
08/05/2025,199,Challenger 604, ,5305,N888DH,1996,01-06-1996,"7,115",US,140,4.7,,4.6,,13/08/2024,OnPoint,10, , , , , , , , , 
08/05/2025,229,Challenger 605, ,5713,C-FGRS,2007,01-10-2008,"5,635",CA,146,11.0,,10.95,,05/12/2024,OnPoint,11, , , , , , , , ,Yes
08/05/2025,153,Citation CJ3, ,012,N525U,2005,01-01-2005,"3,135",US,220,4.99,,4.6,,15/07/2024,TAP Elite,6, , , , , , , , , 
08/05/2025,158,Challenger 300, ,054,N91CF,2005,01-09-2005,"4,425",US,256,10.75,,10.75,,13/12/2024,MSP-G,8, , , , , , ,Yes, , 
08/05/2025,147,Challenger 601-3A, ,5073,N70X,1990,01-01-1991,"8,090",US,98,,Yes,2.19,,30/12/2024,,11, , , , , ,Yes, , , 
08/05/2025,175,Challenger 650, ,6121,N121JM,2018,01-06-2018,"2,000",US,162,20.99,,19.9,,13/06/2024,OnPoint,12, , , , , , , ,Yes, 
08/05/2025,46,Challenger 3500, ,959,N504GB,2023,01-08-2023,430,US,32,,Yes,24.0,,19/07/2024,MSP-G,8, , ,Yes, , , , , , 
08/05/2025,188,Challenger 350, ,529,N6PG,2014,01-02-2015,"4,130",US,35,,Yes,14.5,,30/04/2025,MSP,8, , , , , , ,Yes, , 
08/05/2025,199,Challenger 604, ,5330,NXXXX,1996,01-01-1997,"8,165",US,64,,Yes,,Yes,14/11/2024,,9, , , , , , , ,Yes, 
08/05/2025,229,Challenger 605, ,5737,N586TJ,2007,01-12-2008,"8,805",US,598,8.45,,8.2,,11/10/2024,OnPoint,9, , , , , ,Yes, , ,Yes
08/05/2025,153,Citation CJ3, ,035,N620BA,2005,01-09-2005,"3,395",US,110,5.39,,4.9,,13/11/2024,TAP Blue,7, , , , , , , , , 
08/05/2025,144,Citation CJ2+, ,301,N525HD,2006,01-05-2006,"4,825",US,25,4.3,,4.1,,27/12/2024,TAP Blue,7, , , , , , , , , 
08/05/2025,172,Citation CJ2, ,002,N400WD,2000,01-12-2000,"7,195",US,173,,Yes,2.4,,02/04/2025,TAP Blue,6, , , , , , ,Yes, , 
08/05/2025,140,Citation Latitude, ,011,N80LD,2015,01-10-2015,"1,200",US,23,14.79,,13.5,,26/02/2025,Textron PA+,8, , , , , ,Yes, , , 
08/05/2025,119,Citation CJ3+, ,492,N87GM,2016,01-06-2016,"1,320",US,40,,Yes,7.45,,29/01/2025,TAP Blue,6, , , , , , , , , 
08/05/2025,183,Pilatus PC-24, ,102,N224WA,2018,01-11-2018,"1,180",US,161,9.89,,9.82,,11/04/2025,TAP Blue,8, , , , , , , , , 
08/05/2025,165,Citation Excel, ,5016,N415MG,1998,01-02-1999,"4,275",US,339,2.99,,2.9,,24/01/2025,,8, , , , , , , , , 
08/05/2025,158,Challenger 300, ,058,N957CR,2005,01-10-2005,"4,120",US,62,,Yes,9.5,,21/11/2024,MSP-G,9, , , , , , , ,Yes, 
08/05/2025,147,Challenger 601-3A, ,5106,N373AB,1992,01-01-1992,"7,945",US,315,2.95,,,Yes,23/12/2024,OnPoint,9, , , , , , ,Yes, , 
08/05/2025,175,Challenger 650, ,6134,N634JG,2019,01-03-2019,"1,040",US,136,23.9,,21.0,,23/05/2024,OnPoint,9, , ,Yes, , , , , , 
08/05/2025,188,Challenger 350, ,549,N800CC,2015,01-05-2015,"1,980",US,127,16.95,,16.5,,08/04/2025,MSP-G,8, , , , , , , ,Yes, 
08/05/2025,199,Challenger 604, ,5331,N810D,1996,01-01-1997,"4,940",US,246,5.3,,5.07,,13/12/2024,OnPoint,10, , , , , , , ,Yes, 
08/05/2025,229,Challenger 605, ,5755,C-FJNS,2008,01-04-2008,"4,430",CA,330,9.49,,,Yes,19/02/2025,OnPoint,10, , , , , , , , ,Yes
08/05/2025,153,Citation CJ3, ,042,N573BB,2005,01-12-2005,"3,880",US,123,4.72,,4.37,,23/09/2024,TAP Elite,7, , , , , , , , , 
08/05/2025,144,Citation CJ2+, ,325,PP-BBS,2006,01-11-2006,"3,220",BR,98,,Yes,4.9,,02/09/2024,TAP Blue,6, , , , , , , , , 
