Name,Location,Speciality,E-mail Address,Website,Facebook,Instagram,No. Of Products,Product 1,Product 2,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14,Product 15,Product 16
Eisemann Plastic Surgery Center,"6550 FANNIN ST STE 2119, HOUSTON, TX 77030",PLASTIC_SURGERY,info@cosmeticsurgeryhouston.com,https://www.cosmeticsurgeryhouston.com,https://www.facebook.com/eisemannplasticsurgery,@eisemannplasticsurgery,16 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,Natrelle® Breast Implants®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,CoolTone®
PERSONA MED SPA,"2311 W ALABAMA ST STE B, HOUSTON, TX 77098",MEDICAL_SPA,guestrelations@personamedspa.com,https://www.personamedicalspa.com,https://www.facebook.com/personamedicalspahouston,@personamedspa,12 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,
Nigro Dermatology Group,"3411 RICHMOND AVE STE 110, HOUSTON, TX 77046",,pgalfano@nigroderm.com,https://www.nigroderm.com,https://www.facebook.com/nigroderm,@nigroderm,12 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,,,,
CLEAR LAKE DERMATOLOGY- WEBSTER,"13938 HIGHWAY 3 UNIT 100, WEBSTER, TX 77598",DERMATOLOGY,aesthetics@clearlakederm.com,https://www.clearlakederm.com,https://www.facebook.com/clearlakedermatology/,@clearlakedermatology,13 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,,,
It's A Secret Med Spa Houston,"4525 WASHINGTON AVE STE 200, HOUSTON, TX 77007",MEDICAL_SPA,info@secretmedspa.com,https://secretmedspa.com/houston-tx/,https://www.facebook.com/itsasecrethouston,@itsasecretmedspa,13 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,CoolTone®,,,
"EUGENE NOWAK, DO , FAOCD","2440 FENTON ST # 101, CHULA VISTA, CA 91914",MEDICAL_SPA,concierge@drnowak.com,https://www.drnowak.com,https://www.facebook.com/nowakaesthetics,@nowakaesthetics,12 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,
DIETER K SCHMIDT MD,"15906 MILL CREEK BLVD STE 105, MILL CREEK, WA 98012",,info@frontierdermatology.com,https://www.frontierdermatology.com,https://www.facebook.com/FrontierDermatology,@frontierdermatology,14 Products,BOTOX® Cosmetic (onabotulinumtoxinA),SkinMedica®,DiamondGlow®,LATISSE® (bimatoprost ophthalmic solution) 0.03%,KYBELLA® (deoxycholic acid) injection 10 mg/mL,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® VOLLURE XC,JUVÉDERM® VOLBELLA XC,JUVÉDERM® Ultra XC,CoolSculpting®,JUVÉDERM® VOLUX™ XC,CoolSculpting® Elite,SKINVIVE™ by JUVÉDERM®,,
LaserAway,"246 W 19TH ST, HOUSTON, TX 77008",OTHER,contact@laseraway.com,https://www.laseraway.com/locations/tx/houston-heights,https://www.facebook.com/LaserAway/,@laseraway,8 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,CoolTone®,,,,,,,,
JOSEPH D MATTINGLY MD,"5175 WESTHEIMER RD, HOUSTON, TX 77056",,customerservice@skinneymedspa.com,https://skinneymedspa.com,https://www.facebook.com/SkinneyMedspa,@skinneymedspa,2 Products,CoolSculpting®,CoolSculpting® Elite,,,,,,,,,,,,,,
LaserAway,"5385 WESTHEIMER RD, HOUSTON, TX 77056",OTHER,contact@laseraway.com,https://www.laseraway.com/locations/tx/houston-galleria/?utm_source=alle+directory&utm_medium=website+link,https://www.facebook.com/LaserAway/,@laseraway,7 Products,BOTOX® Cosmetic (onabotulinumtoxinA),LATISSE® (bimatoprost ophthalmic solution) 0.03%,JUVÉDERM® Ultra Plus XC,JUVÉDERM® VOLUMA XC,JUVÉDERM® Ultra XC,CoolSculpting®,CoolSculpting® Elite,,,,,,,,,
