Detail URL,Name,Image,Item#,Reviews,Brand,Price($),Details,Features,Brand Name,Manufacturer No,No of Reviews,Review Title,Review Content,Review By,Review On
https://www.allegromedical.com/products/the-feel-good-lab-sport-recovery-lotion-3-4-oz-228-0981/,The Feel Good Lab Sport Recovery Lotion 3.4 oz,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/2/2/228-0981_o_p.jpg,228 0981,Be the first to review this product,The Feel Good Lab,$25.00,"The Feel Good Lab Sport Recovery Lotion,Sport Recovery Lotion from The Feel Good Lab is FDA registered to treat muscle and joint pain while leaving the skin silky soft. Reduce muscle soreness and recover faster with a daily body lotion for your patients. This low viscosity formula spreads easily over large areas to relieve soreness cause by training. Designed to be used regularly following a post-training shower. No chemicals, parabens, fragrances, or alcohol, etc. Clean, safe, and affective recovery for your joints and muscles.,Features,FDA registered to treat muscle and joint pain,Powerful ingredients like Arnica, Magnesium, and Boswellia that have been used for decades for physical recovery and are good for you,1.25% of Menthol,No lingering smell,All natural, vegan formula,How to Use,Apply to clean skin. Whenever possible, wash with warm water before applying. Leave the skin damp or use immediately after a shower to significantly increase absorption,Use daily. Massage into painful areas until fully absorbed. A little goes a long way. Repeat up to 3-4 times per day for the first week, reducing frequency as pain lessens,Children under two years of age: consult a physician,Ingredients,Menthol, Achillea Millefolium (Yarrow) Extract, Aloe Barbadensis Leaf (Aloe Vera Gel) Juice, Annatto Extract, Aqua (Deionized Water), Arnica Montana Flower Extract, Boswellia Serrata Extract, Calendula Officinalis Extract, Caprylic/Capric Triglyceride, Cetearyl Olivate, Cetyl Myristoleate, Curcuma Longa (Turmeric) Extract, Gluconolactone, Glycerin, Glyceryl Stearate, Harpagophytum Procumbens (Devil's Claw) Extract, Hyaluronic Acid, Ilex Paraguariensis (Yerba Mate) Extract, Magnesium Sulfate, Methylsulfonylmethane (MSM), Scutellaria Baicalensis (Skullcap) Extract, Sodium Benzoate, Sorbitan Olivate, Stearic Acid, Tocopheryl Acetate (Vitamin E), Xanthan Gum, Yucca Extract.,* The statements on this site have not been evaluated by the Food and Drug Administration. Our products are not intended to diagnose, treat, cure, or prevent any disease.",,The Feel Good Lab,,,,,,
https://www.allegromedical.com/products/tidal-sport-cryotherapy-spray-3-oz-228-0968/,TIDL Sport Cryotherapy Spray - 3 oz,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/2/2/228-0968a.jpg,228 0968,Be the first to review this product,TIDL,$14.99,"TIDL Sport Cryotherapy Spray - 3 oz,TIDL Sport Plant-Powered Cryotherapy Spray is a revolutionary form of sports recovery through plant-based ingredients. The cool rush upon contact immediately relieves pain as the novel plant-based ingredient package goes to work to address inflammation directly at the source. Enhanced with 360 degree spray technology, full body application is easy with touchless absorption.,360° spray technology for effortless full-body application at any angle,Enhanced touch-free formula goes on cool and self-absorbs with no sticky residue,Cryo-effect formula delivers a cool blast of relief on contact that absorbs into the muscle for full recovery,500 mg of plant-based ingredients promote long term healing and address pain and inflammation directly at the source,5% Menthol,3 oz,Menthol, Arnica Montana Flower Extract, Calendula Officinalis Flower Extract, Camellia Sinensis Leaf Extract, Beta-Caryophilline (Clove), Chamomile Recutita Flower Extract, Alcohol Denatured, Echinacea Angustifolia Extract, Dimethyl Sulfone, Ilex Paraguariensis Leaf Extract, Isopropyl Myristate, Juniperus Communis Fruit Extract, Water, Organic Turmeric Extract.",,TIDL,,,,,,
https://www.allegromedical.com/products/tidal-sport-plant-powered-performance-cream-228-0970/,TIDL Sport Plant-Powered Performance Cream 3.3 oz,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/2/2/228-0970_o_p.jpg,228 0970,Be the first to review this product,TIDL,$17.99,"TIDL Sport Plant-Powered Performance Cream,TIDL Sport Plant-Powered Performance Cream is formulated to restore the explosion that fitness enthusiasts look for with a focus on joint health. The enhanced absorption absorbs deep into the joints and muscles to address the inflammation directly at the source. The plant-based ingredient package is a unique blend to provide soothing relief and longterm recovery.,Specifically formulated for enhanced deep absorption to improve joint health and restore explosion.,Powerful plant-based ingredients that work synergistically to address inflammation and promote long term healing & recovery.,Soothing sensation kicks in immediately upon application, utilizing proven ingredients like capsaicin and essential oils.,Best used 30 minutes after workouts to revive the joints by delivering immediate relief and promoting healing through a novel blend of ingredients and action.,0.9% Menthol,3 .3 oz,Menthol, Beta Caryophilline (Clove), Organic Aloe Vera Juice, Methyl Salicylate, Eucalyptus Oil, Wintergreen Oil, Camphor Oil, Clove Bud, Capsaicin.",,TIDL,,,,,,
https://www.allegromedical.com/products/the-feel-good-lab-natural-pain-cream-228-0980/,The Feel Good Lab Natural Pain Cream - 1.7 oz,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/2/2/228-0980_o_p.jpg,228 0980,Be the first to review this product,The Feel Good Lab,18,"The Feel Good Lab Natural Pain Cream,Natural Pain Cream from The Feel Good Lab is packed with 30 incredible natural ingredients, combined to provide instant pain relief and control inflammation. FDA registered to provide relief for arthritis stiffness and soreness, back discomfort, and joint and muscle aches. No chemicals, parabens, fragrances, or alcohol, etc. No smell and absorbs quickly.,Features,FDA registered to treat many types of pain including arthritis, back pain, muscles & joints and more,Powerful ingredients like Arnica, Magnesium, and Boswellia that have been used for decades to treat pain like arthritis and are good for you,1.25% of Menthol,No lingering smell,All natural,How to Use,Apply to clean skin. Whenever possible, wash with warm water before applying. Leave the skin damp or use immediately after a shower to significantly increase absorption,Use daily. Massage into painful areas until fully absorbed. A little goes a long way. Repeat up to 3-4 times per day for the first week, reducing frequency as pain lessens,Children under two years of age: consult a physician,Ingredients,Menthol, Yarrow Extract, Aloe Vera Gel, Annatto, Deionized Water, Arnica Montana Extract, Beeswax, Boswellia Serrata Extract, Calendula Officinalis Flower Extract, Caprylic/Capric Triglyceride, Cetearyl Olivate, Cetyl Myristoleate, Chondroitin Sulfate, Turmeric Root Extract, Gluconolactone, Glucosamine HCL, Glycerin, Glyceryl Stearate, Devil's Claw Root Extract, Sunflower, Yerba Mate, Magnesium Sulfate, Skullcap Root Extract, Sodium Benzoate, Sorbitan Olivate, Stearic Acid, Vitamin E, Xanthan Gum, Yucca Extract.,* The statements on this site have not been evaluated by the Food and Drug Administration. Our products are not intended to diagnose, treat, cure, or prevent any disease.",,The Feel Good Lab,,,,,,
https://www.allegromedical.com/products/the-feel-good-lab-natural-pain-cream-228-0980/,The Feel Good Lab Natural Pain Cream - 1.7 oz,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/2/2/228-0980_o_p.jpg,228 0980,Be the first to review this product,The Feel Good Lab,18,"The Feel Good Lab Natural Pain Cream,Natural Pain Cream from The Feel Good Lab is packed with 30 incredible natural ingredients, combined to provide instant pain relief and control inflammation. FDA registered to provide relief for arthritis stiffness and soreness, back discomfort, and joint and muscle aches. No chemicals, parabens, fragrances, or alcohol, etc. No smell and absorbs quickly.,Features,FDA registered to treat many types of pain including arthritis, back pain, muscles & joints and more,Powerful ingredients like Arnica, Magnesium, and Boswellia that have been used for decades to treat pain like arthritis and are good for you,1.25% of Menthol,No lingering smell,All natural,How to Use,Apply to clean skin. Whenever possible, wash with warm water before applying. Leave the skin damp or use immediately after a shower to significantly increase absorption,Use daily. Massage into painful areas until fully absorbed. A little goes a long way. Repeat up to 3-4 times per day for the first week, reducing frequency as pain lessens,Children under two years of age: consult a physician,Ingredients,Menthol, Yarrow Extract, Aloe Vera Gel, Annatto, Deionized Water, Arnica Montana Extract, Beeswax, Boswellia Serrata Extract, Calendula Officinalis Flower Extract, Caprylic/Capric Triglyceride, Cetearyl Olivate, Cetyl Myristoleate, Chondroitin Sulfate, Turmeric Root Extract, Gluconolactone, Glucosamine HCL, Glycerin, Glyceryl Stearate, Devil's Claw Root Extract, Sunflower, Yerba Mate, Magnesium Sulfate, Skullcap Root Extract, Sodium Benzoate, Sorbitan Olivate, Stearic Acid, Vitamin E, Xanthan Gum, Yucca Extract.,* The statements on this site have not been evaluated by the Food and Drug Administration. Our products are not intended to diagnose, treat, cure, or prevent any disease.",,The Feel Good Lab,,,,,,
https://www.allegromedical.com/products/the-feel-good-lab-natural-pain-cream-228-0980/,The Feel Good Lab Natural Pain Cream - 3.4 oz,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/2/2/228-0980_o_p.jpg,228 0980,Be the first to review this product,The Feel Good Lab,25,"The Feel Good Lab Natural Pain Cream,Natural Pain Cream from The Feel Good Lab is packed with 30 incredible natural ingredients, combined to provide instant pain relief and control inflammation. FDA registered to provide relief for arthritis stiffness and soreness, back discomfort, and joint and muscle aches. No chemicals, parabens, fragrances, or alcohol, etc. No smell and absorbs quickly.,Features,FDA registered to treat many types of pain including arthritis, back pain, muscles & joints and more,Powerful ingredients like Arnica, Magnesium, and Boswellia that have been used for decades to treat pain like arthritis and are good for you,1.25% of Menthol,No lingering smell,All natural,How to Use,Apply to clean skin. Whenever possible, wash with warm water before applying. Leave the skin damp or use immediately after a shower to significantly increase absorption,Use daily. Massage into painful areas until fully absorbed. A little goes a long way. Repeat up to 3-4 times per day for the first week, reducing frequency as pain lessens,Children under two years of age: consult a physician,Ingredients,Menthol, Yarrow Extract, Aloe Vera Gel, Annatto, Deionized Water, Arnica Montana Extract, Beeswax, Boswellia Serrata Extract, Calendula Officinalis Flower Extract, Caprylic/Capric Triglyceride, Cetearyl Olivate, Cetyl Myristoleate, Chondroitin Sulfate, Turmeric Root Extract, Gluconolactone, Glucosamine HCL, Glycerin, Glyceryl Stearate, Devil's Claw Root Extract, Sunflower, Yerba Mate, Magnesium Sulfate, Skullcap Root Extract, Sodium Benzoate, Sorbitan Olivate, Stearic Acid, Vitamin E, Xanthan Gum, Yucca Extract.,* The statements on this site have not been evaluated by the Food and Drug Administration. Our products are not intended to diagnose, treat, cure, or prevent any disease.",,The Feel Good Lab,,,,,,
https://www.allegromedical.com/products/the-feel-good-lab-natural-pain-cream-228-0980/,The Feel Good Lab Natural Pain Cream - 3.4 oz,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/2/2/228-0980_o_p.jpg,228 0980,Be the first to review this product,The Feel Good Lab,25,"The Feel Good Lab Natural Pain Cream,Natural Pain Cream from The Feel Good Lab is packed with 30 incredible natural ingredients, combined to provide instant pain relief and control inflammation. FDA registered to provide relief for arthritis stiffness and soreness, back discomfort, and joint and muscle aches. No chemicals, parabens, fragrances, or alcohol, etc. No smell and absorbs quickly.,Features,FDA registered to treat many types of pain including arthritis, back pain, muscles & joints and more,Powerful ingredients like Arnica, Magnesium, and Boswellia that have been used for decades to treat pain like arthritis and are good for you,1.25% of Menthol,No lingering smell,All natural,How to Use,Apply to clean skin. Whenever possible, wash with warm water before applying. Leave the skin damp or use immediately after a shower to significantly increase absorption,Use daily. Massage into painful areas until fully absorbed. A little goes a long way. Repeat up to 3-4 times per day for the first week, reducing frequency as pain lessens,Children under two years of age: consult a physician,Ingredients,Menthol, Yarrow Extract, Aloe Vera Gel, Annatto, Deionized Water, Arnica Montana Extract, Beeswax, Boswellia Serrata Extract, Calendula Officinalis Flower Extract, Caprylic/Capric Triglyceride, Cetearyl Olivate, Cetyl Myristoleate, Chondroitin Sulfate, Turmeric Root Extract, Gluconolactone, Glucosamine HCL, Glycerin, Glyceryl Stearate, Devil's Claw Root Extract, Sunflower, Yerba Mate, Magnesium Sulfate, Skullcap Root Extract, Sodium Benzoate, Sorbitan Olivate, Stearic Acid, Vitamin E, Xanthan Gum, Yucca Extract.,* The statements on this site have not been evaluated by the Food and Drug Administration. Our products are not intended to diagnose, treat, cure, or prevent any disease.",,The Feel Good Lab,,,,,,
https://www.allegromedical.com/products/cbd-clinic-analgesic-massage-ointments-and-creams/,CBD CLINIC™ Analgesic Massage Ointments and Creams 1.55 oz. Unscented,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/d/_d5_d4_cbd-clinic-analgesic-massage-ointments-and-creams-587289-medium_0.jpg,228 0919,Be the first to review this product,CBD Clinic,35.000000,"CBD CLINIC™ Analgesic Massage Ointments and Creams, ,The CBD CLINIC™ Massage Therapy Series of topical medications is the first non-prescription pain-relieving ointments and creams that combine high-quality, pharmaceutical grade over-the-counter ingredients blended with CBD, natural emollients and other essential oils. These products are formulated for quick absorption to deliver maximum effectiveness while utilizing the latest trends and developments in aromatherapy.,Unscented Massage Cream ,is a delightful, odor-free cream that is perfect for anyone seeking mild relief without the accompanying aroma of analgesics. Use this non-greasy formulation where you are experiencing tight muscles and joints that need a good loosening. Available in 1.55 oz (200mg CBD) or 7.05 oz (910mg CBD).,Relax Massage Cream ,allows you to experience a calming mix of essential oils, including lavender, chamomile, and frankincense, as they work your body into a peaceful state of rest, relaxation and pain relief. When you just need a moment to breathe, you will appreciate the cooling sensation of camphor (5%). Available in 1.55 oz (200mg CBD) or 7.05 oz (910mg CBD).,Ultimate Massage Ointment ,is 100% naturally-derived and offers our most powerful pain-relieving formula (16% menthol, 11% camphor) for those seeking continued results hours after their massage. This is ideal for localized pain management for specific parts of the body. Incorporate Ultimate Strength into your pain relief routine for the best daily results. Available in 1.55 oz (400mg of CBD) and 7.05 oz (1,820mg CBD),*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.,In compliance with California' Prop 65 regulations, this product requires the following warning:,WARNING: ,Cancer and Reproductive Harm - www.P65Warnings.ca.gov","Topical Pain-relieving Massage Ointments and Creams available in Unscented, Relax, or Ultimate,Personalizable treatment options with unique aromatic and pain-relief formulas,Available in 1.55 oz (400mg of CBD) and 7.05 oz (1,820mg CBD)",CBD CLINIC™,"ABC-P-CCMUN0071J, ABC-P-CWMRX007J",,,,,
https://www.allegromedical.com/products/cbd-clinic-analgesic-massage-ointments-and-creams/,CBD CLINIC™ Analgesic Massage Ointments and Creams 1.55 oz. Unscented,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/d/_d5_d4_cbd-clinic-analgesic-massage-ointments-and-creams-587289-medium_0.jpg,228 0919,Be the first to review this product,CBD Clinic,35,"CBD CLINIC™ Analgesic Massage Ointments and Creams, ,The CBD CLINIC™ Massage Therapy Series of topical medications is the first non-prescription pain-relieving ointments and creams that combine high-quality, pharmaceutical grade over-the-counter ingredients blended with CBD, natural emollients and other essential oils. These products are formulated for quick absorption to deliver maximum effectiveness while utilizing the latest trends and developments in aromatherapy.,Unscented Massage Cream ,is a delightful, odor-free cream that is perfect for anyone seeking mild relief without the accompanying aroma of analgesics. Use this non-greasy formulation where you are experiencing tight muscles and joints that need a good loosening. Available in 1.55 oz (200mg CBD) or 7.05 oz (910mg CBD).,Relax Massage Cream ,allows you to experience a calming mix of essential oils, including lavender, chamomile, and frankincense, as they work your body into a peaceful state of rest, relaxation and pain relief. When you just need a moment to breathe, you will appreciate the cooling sensation of camphor (5%). Available in 1.55 oz (200mg CBD) or 7.05 oz (910mg CBD).,Ultimate Massage Ointment ,is 100% naturally-derived and offers our most powerful pain-relieving formula (16% menthol, 11% camphor) for those seeking continued results hours after their massage. This is ideal for localized pain management for specific parts of the body. Incorporate Ultimate Strength into your pain relief routine for the best daily results. Available in 1.55 oz (400mg of CBD) and 7.05 oz (1,820mg CBD),*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.,In compliance with California' Prop 65 regulations, this product requires the following warning:,WARNING: ,Cancer and Reproductive Harm - www.P65Warnings.ca.gov","Topical Pain-relieving Massage Ointments and Creams available in Unscented, Relax, or Ultimate,Personalizable treatment options with unique aromatic and pain-relief formulas,Available in 1.55 oz (400mg of CBD) and 7.05 oz (1,820mg CBD)",CBD CLINIC™,"ABC-P-CCMUN0071J, ABC-P-CWMRX007J",,,,,
https://www.allegromedical.com/products/cbd-clinic-analgesic-massage-ointments-and-creams/,CBD CLINIC™ Analgesic Massage Ointments and Creams 7.05 oz. Unscented,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/d/_d5_d4_cbd-clinic-analgesic-massage-ointments-and-creams-587289-medium_0.jpg,228 0919,Be the first to review this product,CBD Clinic,140.000000,"CBD CLINIC™ Analgesic Massage Ointments and Creams, ,The CBD CLINIC™ Massage Therapy Series of topical medications is the first non-prescription pain-relieving ointments and creams that combine high-quality, pharmaceutical grade over-the-counter ingredients blended with CBD, natural emollients and other essential oils. These products are formulated for quick absorption to deliver maximum effectiveness while utilizing the latest trends and developments in aromatherapy.,Unscented Massage Cream ,is a delightful, odor-free cream that is perfect for anyone seeking mild relief without the accompanying aroma of analgesics. Use this non-greasy formulation where you are experiencing tight muscles and joints that need a good loosening. Available in 1.55 oz (200mg CBD) or 7.05 oz (910mg CBD).,Relax Massage Cream ,allows you to experience a calming mix of essential oils, including lavender, chamomile, and frankincense, as they work your body into a peaceful state of rest, relaxation and pain relief. When you just need a moment to breathe, you will appreciate the cooling sensation of camphor (5%). Available in 1.55 oz (200mg CBD) or 7.05 oz (910mg CBD).,Ultimate Massage Ointment ,is 100% naturally-derived and offers our most powerful pain-relieving formula (16% menthol, 11% camphor) for those seeking continued results hours after their massage. This is ideal for localized pain management for specific parts of the body. Incorporate Ultimate Strength into your pain relief routine for the best daily results. Available in 1.55 oz (400mg of CBD) and 7.05 oz (1,820mg CBD),*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease.,In compliance with California' Prop 65 regulations, this product requires the following warning:,WARNING: ,Cancer and Reproductive Harm - www.P65Warnings.ca.gov","Topical Pain-relieving Massage Ointments and Creams available in Unscented, Relax, or Ultimate,Personalizable treatment options with unique aromatic and pain-relief formulas,Available in 1.55 oz (400mg of CBD) and 7.05 oz (1,820mg CBD)",CBD CLINIC™,"ABC-P-CCMUN0071J, ABC-P-CWMRX007J",,,,,
