Detail URL,Name,Image,Item#,Reviews,Brand,Price($),Details,Features,Brand Name,Manufacturer No,No of Reviews
https://www.allegromedical.com/products/the-feel-good-lab-sport-recovery-lotion-3-4-oz-228-0981/,The Feel Good Lab Sport Recovery Lotion 3.4 oz,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/2/2/228-0981_o_p.jpg,228 0981,Be the first to review this product,The Feel Good Lab,$25.00,"The Feel Good Lab Sport Recovery Lotion,Sport Recovery Lotion from The Feel Good Lab is FDA registered to treat muscle and joint pain while leaving the skin silky soft. Reduce muscle soreness and recover faster with a daily body lotion for your patients. This low viscosity formula spreads easily over large areas to relieve soreness cause by training. Designed to be used regularly following a post-training shower. No chemicals, parabens, fragrances, or alcohol, etc. Clean, safe, and affective recovery for your joints and muscles.,Features,FDA registered to treat muscle and joint pain,Powerful ingredients like Arnica, Magnesium, and Boswellia that have been used for decades for physical recovery and are good for you,1.25% of Menthol,No lingering smell,All natural, vegan formula,How to Use,Apply to clean skin. Whenever possible, wash with warm water before applying. Leave the skin damp or use immediately after a shower to significantly increase absorption,Use daily. Massage into painful areas until fully absorbed. A little goes a long way. Repeat up to 3-4 times per day for the first week, reducing frequency as pain lessens,Children under two years of age: consult a physician,Ingredients,Menthol, Achillea Millefolium (Yarrow) Extract, Aloe Barbadensis Leaf (Aloe Vera Gel) Juice, Annatto Extract, Aqua (Deionized Water), Arnica Montana Flower Extract, Boswellia Serrata Extract, Calendula Officinalis Extract, Caprylic/Capric Triglyceride, Cetearyl Olivate, Cetyl Myristoleate, Curcuma Longa (Turmeric) Extract, Gluconolactone, Glycerin, Glyceryl Stearate, Harpagophytum Procumbens (Devil's Claw) Extract, Hyaluronic Acid, Ilex Paraguariensis (Yerba Mate) Extract, Magnesium Sulfate, Methylsulfonylmethane (MSM), Scutellaria Baicalensis (Skullcap) Extract, Sodium Benzoate, Sorbitan Olivate, Stearic Acid, Tocopheryl Acetate (Vitamin E), Xanthan Gum, Yucca Extract.,* The statements on this site have not been evaluated by the Food and Drug Administration. Our products are not intended to diagnose, treat, cure, or prevent any disease.",,The Feel Good Lab,,
https://www.allegromedical.com/products/free-form-natural-hardwood-root-handcrafted-walking-cane/,Brazos Walking Sticks™ Natural Hardwood Root Cane - 37 Inches,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/b/r/brazos_free_form_natural_hardwood_root_walking_cane_37.jpg,762 585976,Be the first to review this product,Brazos,27.330000,"AllegroMedical.com presents The Brazos Walking Sticks Free Form Natural Hardwood Root Handcrafted Walking Cane. Brazos's stick makers harvest these natural root creations from accessible roots of various hardwood trees using renewable, eco-friendly techniques. The hardwoods vary, but are often times sumac, hawthorne, or something similar. The final result, as you can see, is a cane that only nature itself could fashion, and it's perfect for just about any occasion where a sturdy walking companion is preferred. All of Brazos's walking sticks and walking canes are handcrafted by craftsmen in Texas (Made in the USA!) using only the finest time-tested methods and woodworking tools. , Made in America, One at a Time,Unlike sterile, lifeless metal canes and poles, Brazos walking canes offer natural appeal because they are made from real wood. You can see the fine detail and beauty of the actual tree when you look at one. Each cane is a work of art. Plus, because they are solid wood, there are no moving parts to become unstable. Brazos Walking Sticks is family operated and located in the beautiful Brazos River Valley of Central Texas. Each walking stick is handcrafted by skilled local craftsmen. ,How to Size a Walking Cane,For walking canes, a standard 37-inch size is a good starting place for most adults. (For taller folks, we offer 40-inch canes as well.) Cane sizing is best achieved by standing up straight, relaxing your arm naturally to the side, and having someone measure the distance from your wrist to the floor. A good cane size should allow for an elbow that is slightly bent. ","If you want a truly remarkable walking stick that compares to no other, this is the cane for you! At first glance, it resembles a majestic bird with its head held high. ,Made from hardwood root, this lightweight cane is a real head turner. Excellent for men and women alike, it will serve you well for many years. ,You will feel all the more secure and stable with this sturdy companion at your side!,Natural/Man made item",Brazos,"502-3000-0138, 502-3000-0139",
https://www.allegromedical.com/products/free-form-natural-hardwood-root-handcrafted-walking-cane/,Brazos Walking Sticks™ Natural Hardwood Root Cane - 40 Inches,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/b/r/brazos_free_form_natural_hardwood_root_walking_cane_37.jpg,762 585976,Be the first to review this product,Brazos,25.950000,"AllegroMedical.com presents The Brazos Walking Sticks Free Form Natural Hardwood Root Handcrafted Walking Cane. Brazos's stick makers harvest these natural root creations from accessible roots of various hardwood trees using renewable, eco-friendly techniques. The hardwoods vary, but are often times sumac, hawthorne, or something similar. The final result, as you can see, is a cane that only nature itself could fashion, and it's perfect for just about any occasion where a sturdy walking companion is preferred. All of Brazos's walking sticks and walking canes are handcrafted by craftsmen in Texas (Made in the USA!) using only the finest time-tested methods and woodworking tools. , Made in America, One at a Time,Unlike sterile, lifeless metal canes and poles, Brazos walking canes offer natural appeal because they are made from real wood. You can see the fine detail and beauty of the actual tree when you look at one. Each cane is a work of art. Plus, because they are solid wood, there are no moving parts to become unstable. Brazos Walking Sticks is family operated and located in the beautiful Brazos River Valley of Central Texas. Each walking stick is handcrafted by skilled local craftsmen. ,How to Size a Walking Cane,For walking canes, a standard 37-inch size is a good starting place for most adults. (For taller folks, we offer 40-inch canes as well.) Cane sizing is best achieved by standing up straight, relaxing your arm naturally to the side, and having someone measure the distance from your wrist to the floor. A good cane size should allow for an elbow that is slightly bent. ","If you want a truly remarkable walking stick that compares to no other, this is the cane for you! At first glance, it resembles a majestic bird with its head held high. ,Made from hardwood root, this lightweight cane is a real head turner. Excellent for men and women alike, it will serve you well for many years. ,You will feel all the more secure and stable with this sturdy companion at your side!,Natural/Man made item",Brazos,"502-3000-0138, 502-3000-0139",
https://www.allegromedical.com/products/3-5v-rechargeable-battery-nickel-cadmium-no-710-00-10-15-20-50-51-54-55-670-each/,3.5V Rechargeable Battery - Nickel Cadmium No. 710-00 10 15 20 50 51 54 55 670 - Each,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/4/_4c_4a_3.5-v-rechargeable-battery---nickel-cadmium-no.-710-00-10-15-20-50-51-54-55-670-547851-medium_image.jpg,792 5000,Be the first to review this product,Welch Allyn,$68.63," for use with Welch Allyn model #71670. 3.5 Volt.,Model 72200 Nickel-cadmium battery for Nos.71000,71010,71015,71050,71051,71054,71055 and 71670 handles.",,Welch Allyn,72200,
https://www.allegromedical.com/products/medical-sheepskin-elbow-protector-fits-any-size-each/,Medical Sheepskin Elbow Protector - Fits Any Size - Each,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/e/_e9_39_medical-sheepskin-elbow-protector-fits-any-size-214806-sheepskin-elbow-protector-fits-any-size-214806-product-medium_image.jpg,837 0039,,Sheepskin Ranch,$33.13,"Small Medical Sheepskin sections used with a bed pad can add support under the heels and elbows. The ,Medical Sheepskin Elbow Protector, is beneficial with long term patients providing ample protection against Decubitus Ulcer formation, while relieving and comforting pressure sores. Hook-and-loop fastener(s) fasteners on the elbow protector make it easy to put on and take off for patient comfort and convenience. The Medical Sheepskin Elbow Protector fits any size. Best results are obtained when the patient is placed directly on the wool of the sheepskin with no other textile material intervening.,
,Natural leather and pure virgin wool fleece.,Resilient and springy to evenly distribute patient weight and relieve pressure points.,Absorbs approximately 20 times more moisture than synthetics yet feels dry.,Contains natural lanolin which soothes and aids in healing when in direct contact with the skin.,Machine washable and dryable.,Remains soft and pliable after repeated laundering.,Resists build-up and conduction of static electricity and naturally flame resistant.,Remains cool in summer and warm in winter.,Decubitus Ulcers, also known as bed sores, have three main causes: pressure, friction and moisture. 100% genuine medical sheepskin from Sheepskin Ranch helps prevent all types of bedsores by:
,Reducing pressure at the point of body contact,Eliminating friction and tearing of the skin,Preventing the buildup of surface moisture, keeping the patient dry,This product takes 7 - 10 business days to deliver!","Protects against Decubitus Ulcer formation,Remains cool in summer and warm in winter,Machine washable and dryable,Fits any size",Sheepskin Ranch,102,4
https://www.allegromedical.com/products/toothette-oral-swabs-untreated-no-flavor-individually-wrapped-untreated-flavor-pack-of-250/,"Toothette Oral Swabs - Untreated, No Flavor, Individually Wrapped - Untreated Flavor - Pack of 250",https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/0/6/065-0096.jpg,065 0096,Be the first to review this product,Sage,$43.74,"Toothette Oral Swabs are designed for patients who can perform all or most of their oral care, but who may require some nursing assistance. Provides adequate oral hygiene for patients who may also suffer from mild oral dysfunction.,Soft, secure foam heads with distinct ridges gently lift and remove debris and mucus from the oral cavity. Use to gently stimulate tender oral tissue and clean between teeth. Ready to use. Individually Wrapped. Disposable.","Used to gently stimulate oral tissue and clean between teeth,Gently remove debris and mucus from oral cavity,Water not required,Ready to use,Individually wrapped and disposable,Untreated, no flavor added",Sage,5602UT,
https://www.allegromedical.com/products/attends-skin-protectant-washcloth-wipes-scented/,Attends Skin Protectant Washcloth Wipes - Scented - Pack of 48,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/c/_c3_cc_attends-skin-protectant-washcloth-wipes-scented-556416-medium_0.jpg,098 556416,,Attends,3.060000,"Gentle, moisturizing Attends Washcloths provide convenient, one-step skincare, safeguarding against rashes and infections. These premium soft cloths have a pH-balanced cleansing formula and Soothing Soft Cream™ lotion for a gentle feel against the skin. They are hypoallergenic and 100% free of parabens, latex, and alcohol. Used in conjunction with our body-worn products and underpads, Attends Washcloths deliver a complete solution for skin wellness., Safeguard against rashes and infections
, Premium soft material
, pH-balanced cleansing formula
, Free of parabens, latex, and alcohol
, Scented
","Pre-moistened Adult Washcolths,With Aloe & Vitamin E,Fresh clean scent,Paraben Free",Attends,WCPP1000,13
https://www.allegromedical.com/products/attends-skin-protectant-washcloth-wipes-scented/,Attends Skin Protectant Washcloth Wipes - Scented - Case of 576,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/c/_c3_cc_attends-skin-protectant-washcloth-wipes-scented-556416-medium_0.jpg,098 556416,,Attends,37.400000,"Gentle, moisturizing Attends Washcloths provide convenient, one-step skincare, safeguarding against rashes and infections. These premium soft cloths have a pH-balanced cleansing formula and Soothing Soft Cream™ lotion for a gentle feel against the skin. They are hypoallergenic and 100% free of parabens, latex, and alcohol. Used in conjunction with our body-worn products and underpads, Attends Washcloths deliver a complete solution for skin wellness., Safeguard against rashes and infections
, Premium soft material
, pH-balanced cleansing formula
, Free of parabens, latex, and alcohol
, Scented
","Pre-moistened Adult Washcolths,With Aloe & Vitamin E,Fresh clean scent,Paraben Free",Attends,WCPP1000,13
https://www.allegromedical.com/products/zephyr-travel-hearing-aid-dryer-each/,Zephyr Travel Hearing Aid Dryer - Each,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/4/_43_ff_zephyr-travel-hearing-aid-dryer-556995-product-medium_image.jpg,083 0009,,Dry and Store,$89.95,"Zephyr's, small size makes it great for taking on the road, but it's still big on performance. Zephyr is fully automatic, just like its older Dry & Store siblings, and it ships with the Dry-Brik II disposable desiccant, the new standard in moisture absorption.,Zephyr operates on an 8-hour cycle, and it also utilizes warm, moving air and a desiccant, proven technology for maximum drying effectiveness.,A disposable Dry-Brik® desiccant is included with each Zephyr. This custom desiccant contains an aggressive sorbent and also absorbs odors as it dries. Each Dry-Brik has a shelf life of at least one year, unopened. Once the foil label is removed, the Dry-Brik II lasts two (2) months.,Weight: 1 lb, 4 oz (582 g),Dimensions: 3.6"" wide x 5.9"" deep x 2.8"" high (92 mm x 150 mm x 72 mm),Drying Compartment: (Single tray) 3.2"" x 2.6"" x 1"" (80 mm x 65 mm x 24 mm),Positive-latching hinged lid with a drying compartment that will accommodate all types of hearing instruments, including cochlear implant microphones, headpieces, and speech processors (both ear-level and body-worn),Automatic shut off after 8 hours unless the on/off button on the side is pressed,Input Power: 100-240 volts AC, 50/60 Hz, 1.0A maximum,Output: 24 VDC at 15W maximum,Zephyr power supplies are interchangeable with Dry & Store® Global and are CE Marked,International use with appropriate plug adapter,Batteries do not have to be removed from hearing aids before Zephyr use","Provides maximum drying effectiveness,Automatic shut off after 8 hours,A disposable Dry-Brik® desiccant is included with each Zephyr",Dry and Store,ET-ZEPHYR,24
https://www.allegromedical.com/products/folding-bed-wedge/,Folding Bed Wedge - 7.5,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/0/_04_96_folding-bed-wedge-569382-medium_0.jpg,837 569382,Be the first to review this product,Drive,38.190000,"AllegroMedical.com presents The Folding Bed Wedge by Drive Medical. Don't let respiratory, circulation, or back and neck pain prevent you from getting a good night's sleep. Instead, experience the comfort that comes with using a Folding Bed Wedge from Drive Medical. A bed wedge provides a gradual incline to your body when lying down, raising your head and shoulders to alleviate a number of symptoms - even acid reflux, GERD and heartburn. Many even see improvement with snoring. Wedges are available in three heights to select the one that best meets your needs. Each one folds neatly for compact storage and includes a removable cover for easy cleaning. Available in 7.5, 10, or 12 inch heights. Improve your sleep with a Folding Bed Wedge from Drive.,Features and Benefits,Bed wedges are designed to help elevate and support the neck,Helps to relieve discomfort associated with respiratory problems, poor circulation, and back or neck pain,Folds for convenient storage,Warranty: 1 Year Limited",,Drive,"rtl3825, rtl3826, rtl3827",
https://www.allegromedical.com/products/folding-bed-wedge/,Folding Bed Wedge - 10,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/0/_04_96_folding-bed-wedge-569382-medium_0.jpg,837 569382,Be the first to review this product,Drive,46.520000,"AllegroMedical.com presents The Folding Bed Wedge by Drive Medical. Don't let respiratory, circulation, or back and neck pain prevent you from getting a good night's sleep. Instead, experience the comfort that comes with using a Folding Bed Wedge from Drive Medical. A bed wedge provides a gradual incline to your body when lying down, raising your head and shoulders to alleviate a number of symptoms - even acid reflux, GERD and heartburn. Many even see improvement with snoring. Wedges are available in three heights to select the one that best meets your needs. Each one folds neatly for compact storage and includes a removable cover for easy cleaning. Available in 7.5, 10, or 12 inch heights. Improve your sleep with a Folding Bed Wedge from Drive.,Features and Benefits,Bed wedges are designed to help elevate and support the neck,Helps to relieve discomfort associated with respiratory problems, poor circulation, and back or neck pain,Folds for convenient storage,Warranty: 1 Year Limited",,Drive,"rtl3825, rtl3826, rtl3827",
https://www.allegromedical.com/products/folding-bed-wedge/,Folding Bed Wedge - 12,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/0/_04_96_folding-bed-wedge-569382-medium_0.jpg,837 569382,Be the first to review this product,Drive,51.190000,"AllegroMedical.com presents The Folding Bed Wedge by Drive Medical. Don't let respiratory, circulation, or back and neck pain prevent you from getting a good night's sleep. Instead, experience the comfort that comes with using a Folding Bed Wedge from Drive Medical. A bed wedge provides a gradual incline to your body when lying down, raising your head and shoulders to alleviate a number of symptoms - even acid reflux, GERD and heartburn. Many even see improvement with snoring. Wedges are available in three heights to select the one that best meets your needs. Each one folds neatly for compact storage and includes a removable cover for easy cleaning. Available in 7.5, 10, or 12 inch heights. Improve your sleep with a Folding Bed Wedge from Drive.,Features and Benefits,Bed wedges are designed to help elevate and support the neck,Helps to relieve discomfort associated with respiratory problems, poor circulation, and back or neck pain,Folds for convenient storage,Warranty: 1 Year Limited",,Drive,"rtl3825, rtl3826, rtl3827",
https://www.allegromedical.com/products/posh-pink-zebra-rollator-posh-pink-zebra/,"Posh Pink Zebra Rollator - Posh , Pink , Zebra",https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/1/_14_c9_posh-pink-zebra-rollator-574118-medium_0.jpg,776 574118 01,Be the first to review this product,Medline,$193.53,"AllegroMedical.com presents The Posh Pink Zebra Rollator. This brightly colored rollator adds stability while reducing stress on the body. Weighing 11 lbs. (5 kg), this durable rollator is 40% lighter than other rollators on the market. It features a reinforced, pink aluminum frame that is safe and easy to maneuver. Comes standard with a cosmetic mirror, 2 water-resistant zebra printstorage bags and a convenient strap to fold the rollator. ,Color: Pink,Wheel Size If Included: 6"",Basket Belonging Bag Included: Yes,Preferred Brand: Medline,Product Type: Deluxe,Product Weight (Lb): 11.00 Lb,Walker Height Range: 29""-33"",Walker Style: Rollator,Walker Type: Deluxe","This brightly colored rollator adds stability while reducing stress on the body. ,Weighing 11 lbs. (5 kg), this durable rollator is 40% lighter than other rollators on the market. ,It features a reinforced, pink aluminum frame that is safe and easy to maneuver. ,Comes standard with a cosmetic mirror, 2 water-resistant zebra printstorage bags and a convenient strap to fold the rollator.",Medline,MDS86835SHE,
https://www.allegromedical.com/products/tena-bathing-wipe-washcloths-7-9-x-12-5-soft-pack/,TENA Bathing Wipe Washcloths -7.9,https://www.allegromedical.com/media/catalog/product/cache/245a440e56007005bd7f3fd02cfb9075/_/4/_43_cb_tena-bathing-wipe-washcloths-7-9-x-12-5-soft-pack-196713-medium_0.jpg,098 196713,,TENA,45.710000,"These large, soft, alcohol-free wipes come in a handy soft pack dispenser. The special fibers are impregnated with a fluid designed to gently cleanse and moisturize the skin while removing surface impurities. The washcloth ensures quick, efficient, and gentle perineal care at each incontinence product change, and can also be used for gentle washing of the whole body. No need to rinse! Unlike soap and water, there is no need to rinse off. ,The TENA® Classic Washcloth is an economic cloth-like personal hygiene wipe, ideal for those with healthy, yet fragile skin. The TENA® Ultra Washcloth is a thick, textured cloth that offers extra softness and is recommended for fragile skin. The premium emulsion (oil-in-water) formulation provides gentle cleansing and conditioning. TENA® UltraFlush Washcloths are designed to soothe fragile elderly skin, and they are over 99% biodegradable and sewer safe – will not clog pipes when used as directed*. ,*It is recommended that all disposable washcloths are thrown away in the garbage. If disposing into a system connected to the municipal sewer, only one wipe should be flushed at a time. Flushable in properly maintained, code-approved toilets and sewers. Not approved for septic use. Not all systems can accept flushable wipes. Do not flush if: RV or marine system; grease or fat disposal share drain pipe; any history of slow flow or clogs; system includes macerator toilet or household pump; advised by the system operator, or unsure of system capability. If problems develop, stop use immediately. Failure to follow instructions may result in clogs and/or property damage.
","Soft, premoistened disposable wipes for gentle, effective cleansing,Dermatologically tested and alcohol-free with aloe, chamomile, and vitamin E to help soothe skin,A mild scent leaves the skin feeling fresh, clean and free from odor,Easy-to-use, one-handed dispensing,Safe and convenient for waterless bathing or skin cleansing anywhere on the body,Low profiled pack is designed to fit in a drawer, helping to reduce bedside or tableside clutter",TENA,"65724, 65726, 65728, 65720",8
