Name,Item#,Brand,Price ($),Details,Features,More Information,No of Reviews,Reviews
TIDL Sport Plant-Powered Performance Cream 3.3 oz,228 0970,TIDL,$17.99,"TIDL Sport Plant-Powered Performance Cream,TIDL Sport Plant-Powered Performance Cream is formulated to restore the explosion that fitness enthusiasts look for with a focus on joint health. The enhanced absorption absorbs deep into the joints and muscles to address the inflammation directly at the source. The plant-based ingredient package is a unique blend to provide soothing relief and longterm recovery.,Specifically formulated for enhanced deep absorption to improve joint health and restore explosion.,Powerful plant-based ingredients that work synergistically to address inflammation and promote long term healing & recovery.,Soothing sensation kicks in immediately upon application, utilizing proven ingredients like capsaicin and essential oils.,Best used 30 minutes after workouts to revive the joints by delivering immediate relief and promoting healing through a novel blend of ingredients and action.,0.9% Menthol,3 .3 oz,Menthol, Beta Caryophilline (Clove), Organic Aloe Vera Juice, Methyl Salicylate, Eucalyptus Oil, Wintergreen Oil, Camphor Oil, Clove Bud, Capsaicin.",,"Brand Name,TIDL",,Be the first to review this product
TIDL Sport Plant-Powered Performance Cream 3.3 oz,228 0970,TIDL,$17.99,"TIDL Sport Plant-Powered Performance Cream,TIDL Sport Plant-Powered Performance Cream is formulated to restore the explosion that fitness enthusiasts look for with a focus on joint health. The enhanced absorption absorbs deep into the joints and muscles to address the inflammation directly at the source. The plant-based ingredient package is a unique blend to provide soothing relief and longterm recovery.,Specifically formulated for enhanced deep absorption to improve joint health and restore explosion.,Powerful plant-based ingredients that work synergistically to address inflammation and promote long term healing & recovery.,Soothing sensation kicks in immediately upon application, utilizing proven ingredients like capsaicin and essential oils.,Best used 30 minutes after workouts to revive the joints by delivering immediate relief and promoting healing through a novel blend of ingredients and action.,0.9% Menthol,3 .3 oz,Menthol, Beta Caryophilline (Clove), Organic Aloe Vera Juice, Methyl Salicylate, Eucalyptus Oil, Wintergreen Oil, Camphor Oil, Clove Bud, Capsaicin.",,"Brand Name,TIDL",,Be the first to review this product
The Feel Good Lab Sport Recovery Lotion 3.4 oz,228 0981,The Feel Good Lab,$25.00,"The Feel Good Lab Sport Recovery Lotion,Sport Recovery Lotion from The Feel Good Lab is FDA registered to treat muscle and joint pain while leaving the skin silky soft. Reduce muscle soreness and recover faster with a daily body lotion for your patients. This low viscosity formula spreads easily over large areas to relieve soreness cause by training. Designed to be used regularly following a post-training shower. No chemicals, parabens, fragrances, or alcohol, etc. Clean, safe, and affective recovery for your joints and muscles.,Features,FDA registered to treat muscle and joint pain,Powerful ingredients like Arnica, Magnesium, and Boswellia that have been used for decades for physical recovery and are good for you,1.25% of Menthol,No lingering smell,All natural, vegan formula,How to Use,Apply to clean skin. Whenever possible, wash with warm water before applying. Leave the skin damp or use immediately after a shower to significantly increase absorption,Use daily. Massage into painful areas until fully absorbed. A little goes a long way. Repeat up to 3-4 times per day for the first week, reducing frequency as pain lessens,Children under two years of age: consult a physician,Ingredients,Menthol, Achillea Millefolium (Yarrow) Extract, Aloe Barbadensis Leaf (Aloe Vera Gel) Juice, Annatto Extract, Aqua (Deionized Water), Arnica Montana Flower Extract, Boswellia Serrata Extract, Calendula Officinalis Extract, Caprylic/Capric Triglyceride, Cetearyl Olivate, Cetyl Myristoleate, Curcuma Longa (Turmeric) Extract, Gluconolactone, Glycerin, Glyceryl Stearate, Harpagophytum Procumbens (Devil's Claw) Extract, Hyaluronic Acid, Ilex Paraguariensis (Yerba Mate) Extract, Magnesium Sulfate, Methylsulfonylmethane (MSM), Scutellaria Baicalensis (Skullcap) Extract, Sodium Benzoate, Sorbitan Olivate, Stearic Acid, Tocopheryl Acetate (Vitamin E), Xanthan Gum, Yucca Extract.,* The statements on this site have not been evaluated by the Food and Drug Administration. Our products are not intended to diagnose, treat, cure, or prevent any disease.",,"Brand Name,The Feel Good Lab",,Be the first to review this product
The Feel Good Lab Sport Recovery Lotion 3.4 oz,228 0981,The Feel Good Lab,$25.00,"The Feel Good Lab Sport Recovery Lotion,Sport Recovery Lotion from The Feel Good Lab is FDA registered to treat muscle and joint pain while leaving the skin silky soft. Reduce muscle soreness and recover faster with a daily body lotion for your patients. This low viscosity formula spreads easily over large areas to relieve soreness cause by training. Designed to be used regularly following a post-training shower. No chemicals, parabens, fragrances, or alcohol, etc. Clean, safe, and affective recovery for your joints and muscles.,Features,FDA registered to treat muscle and joint pain,Powerful ingredients like Arnica, Magnesium, and Boswellia that have been used for decades for physical recovery and are good for you,1.25% of Menthol,No lingering smell,All natural, vegan formula,How to Use,Apply to clean skin. Whenever possible, wash with warm water before applying. Leave the skin damp or use immediately after a shower to significantly increase absorption,Use daily. Massage into painful areas until fully absorbed. A little goes a long way. Repeat up to 3-4 times per day for the first week, reducing frequency as pain lessens,Children under two years of age: consult a physician,Ingredients,Menthol, Achillea Millefolium (Yarrow) Extract, Aloe Barbadensis Leaf (Aloe Vera Gel) Juice, Annatto Extract, Aqua (Deionized Water), Arnica Montana Flower Extract, Boswellia Serrata Extract, Calendula Officinalis Extract, Caprylic/Capric Triglyceride, Cetearyl Olivate, Cetyl Myristoleate, Curcuma Longa (Turmeric) Extract, Gluconolactone, Glycerin, Glyceryl Stearate, Harpagophytum Procumbens (Devil's Claw) Extract, Hyaluronic Acid, Ilex Paraguariensis (Yerba Mate) Extract, Magnesium Sulfate, Methylsulfonylmethane (MSM), Scutellaria Baicalensis (Skullcap) Extract, Sodium Benzoate, Sorbitan Olivate, Stearic Acid, Tocopheryl Acetate (Vitamin E), Xanthan Gum, Yucca Extract.,* The statements on this site have not been evaluated by the Food and Drug Administration. Our products are not intended to diagnose, treat, cure, or prevent any disease.",,"Brand Name,The Feel Good Lab",,Be the first to review this product
"Toothette Oral Swabs - Untreated, No Flavor, Individually Wrapped - Untreated Flavor - Pack of 250",065 0096,Sage,$43.74,"Toothette Oral Swabs are designed for patients who can perform all or most of their oral care, but who may require some nursing assistance. Provides adequate oral hygiene for patients who may also suffer from mild oral dysfunction.,Soft, secure foam heads with distinct ridges gently lift and remove debris and mucus from the oral cavity. Use to gently stimulate tender oral tissue and clean between teeth. Ready to use. Individually Wrapped. Disposable.","Used to gently stimulate oral tissue and clean between teeth,Gently remove debris and mucus from oral cavity,Water not required,Ready to use,Individually wrapped and disposable,Untreated, no flavor added","Brand Name,Sage,Manufacturer Number,5602UT",,Be the first to review this product
Tempa-DOT Single-Use Clinical Thermometer - Sterile - 20 Boxes of 100 - Case of 2000,740 0023,Tempa-DOT,$321.92,"These soft, flexible, non-toxic ,Tempa-DOT™ Single-Use Clinical Thermometer, are ideal for oral and axillary use.,Designed for one-time use, these disposable thermometers accurately assess infant, pediatric and adult temperatures in 60 seconds, while also addressing the risk of patient cross-infection. Temperature in Fahrenheit.,Kit Includes:","Accurate temps in 60 seconds
,Use on infants or adults
,Individually wrapped
,Disposable
","Brand Name,Tempa-DOT",4,
"Toothette Oral Swabs - Untreated, No Flavor, Individually Wrapped - Untreated Flavor - Pack of 250",065 0096,Sage,$43.74,"Toothette Oral Swabs are designed for patients who can perform all or most of their oral care, but who may require some nursing assistance. Provides adequate oral hygiene for patients who may also suffer from mild oral dysfunction.,Soft, secure foam heads with distinct ridges gently lift and remove debris and mucus from the oral cavity. Use to gently stimulate tender oral tissue and clean between teeth. Ready to use. Individually Wrapped. Disposable.","Used to gently stimulate oral tissue and clean between teeth,Gently remove debris and mucus from oral cavity,Water not required,Ready to use,Individually wrapped and disposable,Untreated, no flavor added","Brand Name,Sage,Manufacturer Number,5602UT",,Be the first to review this product
Tempa-DOT Single-Use Clinical Thermometer - Sterile - 20 Boxes of 100 - Case of 2000,740 0023,Tempa-DOT,$321.92,"These soft, flexible, non-toxic ,Tempa-DOT™ Single-Use Clinical Thermometer, are ideal for oral and axillary use.,Designed for one-time use, these disposable thermometers accurately assess infant, pediatric and adult temperatures in 60 seconds, while also addressing the risk of patient cross-infection. Temperature in Fahrenheit.,Kit Includes:","Accurate temps in 60 seconds
,Use on infants or adults
,Individually wrapped
,Disposable
","Brand Name,Tempa-DOT",4,
Soft-eze Stability Gel Cushion - 18,832 0160,Hermell,34.180000,"Soft-eze Stability Gel Cushion, is made with high resiliency foam encased around a soft-eze vacuum sealed gel bladder to provide superior support and excellent weight distribution. Cover is rip-stop/staph-check for incontinence barrier. Weight capacity 250lbs.","For pressure relief, support and comfort,Resilient foam core distributes body weight evenly,2 cushion sizes available","Brand Name,Hermell,Manufacturer Number,WC4592-01",2,
Soft-eze Stability Gel Cushion - 18,832 0160,Hermell,69.910000,"Soft-eze Stability Gel Cushion, is made with high resiliency foam encased around a soft-eze vacuum sealed gel bladder to provide superior support and excellent weight distribution. Cover is rip-stop/staph-check for incontinence barrier. Weight capacity 250lbs.","For pressure relief, support and comfort,Resilient foam core distributes body weight evenly,2 cushion sizes available","Brand Name,Hermell,Manufacturer Number,WC4592-01",2,
Soft-eze Stability Gel Cushion - 18,832 0160,Hermell,69.910000,"Soft-eze Stability Gel Cushion, is made with high resiliency foam encased around a soft-eze vacuum sealed gel bladder to provide superior support and excellent weight distribution. Cover is rip-stop/staph-check for incontinence barrier. Weight capacity 250lbs.","For pressure relief, support and comfort,Resilient foam core distributes body weight evenly,2 cushion sizes available","Brand Name,Hermell,Manufacturer Number,WC4592-01",2,
"Harmonie Disposable Underpads - TENA Regular, Blue - 23",098 196721,Harmonie,52.850000,"TENA® Regular Disposable Bed Pads, provide proven protection and breakthrough technology to absorb leakage, reduce odors and control bacteria. Use these disposable underpads to keep beds, chairs, wheelchairs and other surfaces dry so you, or your loved one, stay secure and comfortable.,TENA® Underpads, use ,, which provides far greater levels of absorption and retention than draw-sheets or wadding-filled pads. Choose ,TENA® Regular, for light absorbency surface protection from accidental urine loss.,Unlike many expensive incontinence products that require regular washing, these sheet protectors are completely disposable and very cost-effective. The added benefit of a smooth side helps with patient transfer and repositioning.
The interior liner of these disposable bed pads is soft to the touch, vented to keep cool, and non-irritating to the user’s skin. ,TENA® Disposable Underpads, are available at different levels of protection and sizes.,ADDITIONAL RESOURCES:","Light absorbency Latex Free bed pads,Designed for bed or chair protection from light bladder leaks or incontinence,Fluff pad with breakthrough technology to absorb leakage, reduce odors and control bacteria,Non-woven soft top sheet for comfort,The moisture proof lining traps liquid to better protect beds and chairs and keep them dry.,Soft, resistant outer layer for maximum comfort,Interior liner is soft to the touch and will not irritate skin,Disposable and cost-effective,Alternative use as puppy pee pads","Brand Name,Harmonie,Manufacturer Number,352, 350, 351",1,
