Name,Street_Address,City,State,Zip-Code,Latitude,Longitude,Phone#,Loc Type,24/7 Self-Service
AmeriGas Propane,908 South 27th Ave,Phoenix,AZ,85009,33.43909,-112.118035,(623) 937-9227,AmeriGas Office,False
Circle K,966 E Van Buren,Phoenix,AZ,85006,33.451639,-112.059301,,Propane Tank Exchange,False
Circle K,975 N 7th St,Phoenix,AZ,85006,33.458312,-112.064738,,Propane Tank Exchange,False
Mobil,1101 N 7th St,Phoenix,AZ,85006,33.460149,-112.064869,,Propane Tank Exchange,False
Circle K,10 E Buckeye Rd,Phoenix,AZ,85004,33.437258,-112.073301,,Propane Tank Exchange,False
Circle K,614 W Roosevelt,Phoenix,AZ,85003,33.459032,-112.082194,,Propane Tank Exchange,False
Circle K,699 E Buckeye,Phoenix,AZ,85004,33.436335,-112.065964,,Propane Tank Exchange,False
Circle K,702 W McDowell,Phoenix,AZ,85007,33.466237,-112.083102,,Propane Tank Exchange,False
Circle K,1732 W Van Buren,Phoenix,AZ,85007,33.451534,-112.097319,,Propane Tank Exchange,False
Circle K,1501 W McDowell Rd,Phoenix,AZ,85007,33.465569,-112.091691,,Propane Tank Exchange,False
Circle K,1523 E McDowell,Phoenix,AZ,85006,33.465373,-112.048336,,Propane Tank Exchange,False
Circle K,1834 W Grant Street,Phoenix,AZ,85007,33.44175,-112.099435,,Propane Tank Exchange,False
Circle K,2041 W Van Buren,Phoenix,AZ,85009,33.450834,-112.103983,,Propane Tank Exchange,False
Circle K,2850 N 7th St,Phoenix,AZ,85006,33.479858,-112.065444,,Propane Tank Exchange,False
Matheson Tri Gas,1545 West Watkins St,Phoenix,AZ,85007,33.425677,-112.09302,,Propane Tank Exchange,False
Speedmart,2402 E Washington,Phoenix,AZ,85034,33.44864,-112.029519,,Propane Tank Exchange,False
Circle K,1342 W Thomas,Phoenix,AZ,85013,33.480775,-112.0911,,Propane Tank Exchange,False
U-Haul,2345 E McDowell,Phoenix,AZ,85006,33.465534,-112.031149,,Propane Cylinder Refill,False
Circle K,309 E Osborne Rd,Phoenix,AZ,85012,33.48686,-112.068945,,Propane Tank Exchange,False
Circle K,2402 E McDowell,Phoenix,AZ,85008,33.466011,-112.029858,,Propane Tank Exchange,False
Safeway,520 W Osborn Rd,Phoenix,AZ,85013,33.488365,-112.081844,,Propane Tank Exchange,False
Union Pochteca,118 N 27th Ave,Phoenix,AZ,85009,33.449915,-112.117895,,Propane Cylinder Refill,False
Valero,2308 W Grand Ave,Phoenix,AZ,85009,33.474103,-112.109069,,Propane Tank Exchange,False
Circle K,2708 W Buckeye Rd,Phoenix,AZ,85009,33.437367,-112.117806,,Propane Tank Exchange,False
Circle K,3402 N 16th St,Phoenix,AZ,85016,33.487621,-112.048068,,Propane Tank Exchange,False
Circle K,630 E Broadway,Phoenix,AZ,85040,33.407146,-112.065033,,Propane Tank Exchange,False
Circle K,4401 S 7th Ave,Phoenix,AZ,85041,33.406317,-112.081476,,Propane Tank Exchange,False
Toor Texaco,710 E Indian School Rd,Phoenix,AZ,85014,33.495187,-112.064357,,Propane Tank Exchange,False
Circle K,3404 N 19th Ave,Phoenix,AZ,85015,33.488108,-112.100267,,Propane Tank Exchange,False
Circle K,2344 W Thomas,Phoenix,AZ,85015,33.481012,-112.110417,,Propane Tank Exchange,False
Circle K,1122 E Indian School Rd,Phoenix,AZ,85014,33.495132,-112.057461,,Propane Tank Exchange,False
7 Eleven,646 W Indian School Rd,Phoenix,AZ,85013,33.495255,-112.083057,,Propane Tank Exchange,False
Circle K,1540 E Broadway,Phoenix,AZ,85040,33.407349,-112.047614,,Propane Tank Exchange,False
Circle K,3149 E Van Buren,Phoenix,AZ,85008,33.450888,-112.013404,,Propane Tank Exchange,False
Circle K,1002 N 32nd Street,Phoenix,AZ,85008,33.458702,-112.013264,,Propane Tank Exchange,False
Circle K,1502 W Indian School Rd,Phoenix,AZ,85015,33.4952,-112.09193,,Propane Tank Exchange,False
Circle K,4305 S 19th Ave,Phoenix,AZ,85041,33.407215,-112.099013,,Propane Tank Exchange,False
Circle K,5202 S Central,Phoenix,AZ,85040,33.399262,-112.073818,,Propane Tank Exchange,False
Circle K,1002 N 35th Ave,Phoenix,AZ,85009,33.458952,-112.134758,,Propane Tank Exchange,False
Circle K,1146 N 35th Ave,Phoenix,AZ,85009,33.460813,-112.134848,,Propane Tank Exchange,False
Circle K,4601 N 12th Street,Phoenix,AZ,85014,33.503926,-112.055881,,Propane Tank Exchange,False
Circle K,2401 E Indian School Rd,Phoenix,AZ,85016,33.49442,-112.029729,,Propane Tank Exchange,False
Circle K,3618 W Buckeye,Phoenix,AZ,85009,33.437624,-112.137433,,Propane Tank Exchange,False
Circle K,2949 N 32nd St,Phoenix,AZ,85018,33.482125,-112.012472,,Propane Tank Exchange,False
Circle K,2120 N 35th Ave,Phoenix,AZ,85009,33.471026,-112.134871,,Propane Tank Exchange,False
Circle K,4502 N 19th Ave,Phoenix,AZ,85015,33.502701,-112.100383,,Propane Tank Exchange,False
U-Haul,2626 E Indian School Rd,Phoenix,AZ,85016,33.495557,-112.024629,,Propane Cylinder Refill,False
Circle K,3543 E Oak St,Phoenix,AZ,85008,33.472879,-112.004602,,Propane Tank Exchange,False
Circle K,1544 E Southern,Phoenix,AZ,85040,33.393228,-112.047776,,Propane Tank Exchange,False
Food City,845 W Southern Ave,Phoenix,AZ,85041,33.390808,-112.083966,,Propane Tank Exchange,False
Rio Vista Center,1431 E Southern,Phoenix,AZ,85040,33.391733,-112.05024,,Propane Tank Exchange,False
Circle K,3501 W Lower Buckeye Rd,Phoenix,AZ,85009,33.422257,-112.135011,,Propane Tank Exchange,False
Jacksons Food Stores,1954 E  Highland,Phoenix,AZ,85016,33.506293,-112.039687,,Propane Tank Exchange,False
