Shop_Name,Street_Address,City,State,Zipcode,Landline,Facsimile,Latitude,Longitude
Rivertown Toyota Collision Center,1661 Whittlesey Rd,Columbus,GA,31904,706-324-5823,706-653-0913,32.53692698317434,-84.96984903932076
McLarty Collision West,1500 N. Shackleford Road,Little Rock,AR,72211,501-907-0217,501-907-0279,34.76854800000007,-92.39691149999999
Service King - Bryant,22578 Interstate 30 North,Bryant,AR,72022,501-847-3520,501-421-5313,34.61769,-92.50123
Caliber - Horn Lake,960 Goodman Road,Horn Lake,MS,38637,662-349-3514,662-349-0802,34.962736534000044,-90.00648827699996
Caliber - Middletown,5077 Summit Bridge Road,Middletown,DE,19709,302-279-1007,302-279-1005,39.475992983000026,-75.71955303499993
Eddie's Auto Body Shop,637 Route 9,Cape May,NJ,08204,609-884-4613,609-884-7907,38.98719,-74.90174
Caliber  - Wilmington DE - Newport Pike,2013 W Newport Pike,Wilmington,DE,19804,302-994-4438,302-998-0989,39.716453985000044,-75.63689799799994
Caliber - Glassboro,178 South Delsea Dr,Glassboro,NJ,08028,856-881-0149,856-881-1964,39.68724200500003,-75.09834596699994
Caliber - Havre de Grace,1715 Pulaski Highway,Havre de Grace,MD,21078,410-939-5797,410-939-4899,39.53476399600004,-76.11947299699995
Caliber - Sacramento - 20th St,1800 20th St,Sacramento,CA,95811,916-456-3368,916-443-0301,38.567685824151965,-121.48417909698748
Caliber - Sacramento - Lexington St,2310 Lexington St,Sacramento,CA,95815,916-924-0600,916-924-0925,38.608193424813635,-121.44099754348434
G & R Body and Paint,4220 Stockton Blvd,Sacramento,CA,95820,916-731-8203,916-731-4736,38.53706,-121.44847
Caliber - Sacramento - Non-Drive,2163 Fulton Ave,Sacramento,CA,95825,916-481-2200,916-481-6305,38.60480596246424,-121.40291704861579
Buckhead Collision,1900 Piedmont Circle NE,Atlanta,GA,30324,404-876-4400,404-873-4074,33.80805,-84.36598
Caliber - Indianapolis - South,3800 S. East Street,Indianapolis,IN,46227,317-788-0600,317-791-3216,39.71084940600008,-86.14903723099997
