Date Ingested,Make,Model,Aircraft Group/Segment,Production Status,Total Products,Year Range,Active Fleet,For Sale,For Sale - Unverified,For Lease,Total For Sale/Lease,% For Sale/Lease,Absorption Rate (months),Resale_Retail (YTD),Resale_Retail (2023),Resale_Retail (2022),Retail_to_Retail (YTD),Retail_to_Retail (2023),Retail_to_Retail (2022),Dealer_to_Retail (YTD),Dealer_to_Retail (2023),Dealer_to_Retail (2022),Other_to_Retail (YTD),Other_to_Retail (2023),Other_to_Retail (2022),Net_Dealer_Inv (YTD),Net_Dealer_Inv (2023),Net_Dealer_Inv (2022),DOM - Sold (Average) (YTD),DOM - Sold (Average) (2023),DOM - Sold (Average) (2022),DOM - Sold (Median) (YTD),DOM - Sold (Median) (2023),DOM - Sold (Median) (2022),Make & Model URL
07/02/2024,Aero Commander,690,Medium Turboprop, Out of Production,80,1972 - 1973,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/6864d771-f272-4f45-8e10-e00dabfd1034
07/02/2024,Aero Commander, 690A,Medium Turboprop, Out of Production,245,1973 - 1976,147,6,4,0,10,6.8,12,0,5,10,0,5,8,0,0,2,0,0,0,0,2,-1, ,255,213, ,255,213,https://premier.amstatcorp.com/market/e1c77504-e514-44cc-8a20-a37be664a539
07/02/2024,Aero Commander, 690B,Medium Turboprop, Out of Production,167,1976 - 1998,113,3,2,0,5,4.42,15.02,0,4,1,0,4,1,0,0,0,0,0,0,0,1,0, ,65, , ,65, ,https://premier.amstatcorp.com/market/b8648e23-5138-4186-a98c-9ea35d032cb1
07/02/2024,Aero Commander, 690B-I,Medium Turboprop, Out of Production,7,1979 - 1979,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/d6352eeb-5a4b-4dde-872d-b1a1d8b6b3b8
07/02/2024,Aero Commander, 690B-II,Medium Turboprop, Out of Production,45,1978 - 1979,38,1,0,0,1,2.63,5.99,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0, ,189,212, ,189,212,https://premier.amstatcorp.com/market/842e9f52-1b7d-49fd-9f31-89bebc22718e
07/02/2024,Aero Commander, 690C JetProp 840,Medium Turboprop, Out of Production,123,1979 - 1985,84,2,4,0,6,7.14,18.02,0,5,3,0,4,3,0,1,0,0,0,0,0,0,0, ,41,123, ,41,123,https://premier.amstatcorp.com/market/0d0bc231-2943-458d-939f-36858a9d2cb3
07/02/2024,Aero Commander, 690D Jetprop 900,Medium Turboprop, Out of Production,45,1982 - 1985,31,0,1,0,1,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/8b660e70-bb08-4984-aaa3-d24f677c05f7
07/02/2024,Aero Commander, 695 Jetprop 980,Medium Turboprop, Out of Production,86,1980 - 1984,60,0,0,0,0,0,0,0,4,1,0,3,0,0,0,1,0,1,0,0,0,0, ,524, , ,524, ,https://premier.amstatcorp.com/market/bac15b3b-af3e-44a4-a490-97a637f5d63d
07/02/2024,Aero Commander, 695A Jetprop 1000,Medium Turboprop, Out of Production,99,1980 - 1985,71,1,0,0,1,1.41,3,0,5,7,0,5,6,0,0,1,0,0,0,0,0,-1, ,101,276, ,108,81,https://premier.amstatcorp.com/market/c5be30e4-5e6e-4e89-bda2-182d5c1a666e
07/02/2024,Aero Commander, 695B Jetprop 1000B,Medium Turboprop, Out of Production,15,1983 - 1994,13,1,0,0,1,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/dcec421f-a7d3-466c-9dd4-c7f4607adfcd
07/02/2024,Aero Commander,1121 Jet Commander,Light Jet, Out of Production,116,1963 - 1968,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/04b4061b-d945-40be-ba51-8a740d768a45
07/02/2024,Aero Commander,1121B Jet Commander,Light Jet, Out of Production,39,1965 - 1970,4,1,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/0570293b-bd82-4368-83df-455269e6f93d
07/02/2024,Agusta,A109 Trekker,Light Multi Engine, In production,43,2018 - 2023,37,1,0,0,1,2.7,0.75,0,7,2,0,5,1,0,1,1,0,1,0,0,0,0, ,576, , ,569, ,https://premier.amstatcorp.com/market/61936f50-dc3f-4483-8cd4-740f17772959
07/02/2024,Agusta,A109A,Light Multi Engine, Out of Production,106,1975 - 2003,54,1,0,0,1,1.85,5.99,0,2,3,0,2,3,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/a0d32333-8be7-47e4-94ad-6c065edfdb71
07/02/2024,Agusta,A109AII,Light Multi Engine, Out of Production,98,1976 - 2000,63,6,0,0,6,9.52,35.93,0,4,2,0,2,1,0,2,1,0,0,0,0,-1,-1, ,869, , ,869, ,https://premier.amstatcorp.com/market/3ad9edab-9823-43e3-95ec-0e4c5a2b4c6c
07/02/2024,Agusta,A109AII WB,Light Multi Engine, Out of Production,10,1985 - 1988,7,0,1,0,1,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/9aa89104-b71c-4492-bf6a-41c702d10f88
07/02/2024,Agusta,A109AII+,Light Multi Engine, Out of Production,7,1987 - 1990,6,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0, ,489, , ,489, ,https://premier.amstatcorp.com/market/4d1e2109-e73c-4ef3-bc4e-d65908d7e5b1
07/02/2024,Agusta,A109AIIMAX,Light Multi Engine, Out of production,0,0 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/461e6537-d283-48ac-a58d-d0733de36ea4
07/02/2024,Agusta,A109C,Light Multi Engine, Out of Production,70,1989 - 2003,51,4,2,0,6,11.76,0,0,3,8,0,1,5,0,1,2,0,1,1,0,0,0, , ,261, , ,261,https://premier.amstatcorp.com/market/45d4146c-e553-46ea-9327-2f6e2e228178
07/02/2024,Agusta,A109E,Light Multi Engine, Out of Production,438,1995 - 2021,318,15,8,0,23,7.23,9.2,0,31,30,0,21,22,0,9,8,0,1,0,0,-2,-2, ,759,414, ,370,271,https://premier.amstatcorp.com/market/17c08ea5-bf3d-41de-b07a-2757c75a3f6a
07/02/2024,Agusta,A109K II,Light Multi Engine, Out of Production,38,1980 - 2000,21,2,0,0,2,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/49db9cba-d5e8-4472-9a49-38667074edf0
07/02/2024,Agusta,A119,Light Single Engine, In production,468,2000 - 2024,263,12,7,0,19,7.22,2.59,0,25,14,0,13,8,0,11,4,0,1,2,0,-11,10, ,282,229, ,219,284,https://premier.amstatcorp.com/market/0264a2a7-df31-4c62-94d3-c4c6b2e98853
07/02/2024,Agusta,AB139,Medium Twin, Out of Production,2,2005 - 2006,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/04fc0e01-02d0-4114-808f-7fc3e63e23e7
07/02/2024,Agusta,AW109SP,Medium Twin, In production,248,2008 - 2023,207,9,5,0,14,6.76,7.64,0,,,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/698ba574-9f5e-479e-b56f-659f622a4d29
07/02/2024,Agusta,AW169,Medium Twin, In production,152,2015 - 2023,112,2,5,0,7,6.25,4.2,0,10,2,0,7,1,0,2,0,0,1,1,0,0,3, , , , , , ,https://premier.amstatcorp.com/market/a003b27d-83e7-40c5-9aeb-cdab10ac1fb2
07/02/2024,Airbus,A220CJ,Business Liners, In production,1,2025 - 2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/ded79003-0ace-44b8-897e-6d9307ed9dbe
07/02/2024,Airbus,A300,Business Liners, Out of Production,2,1987 - 1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/1963cab2-238f-4d38-abdb-07194c915393
07/02/2024,Agusta,A109E PE,Light Multi Engine, Out of Production,3,2015 - 2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/e0a7f682-5b9e-4276-8ca4-68c336da0d49
07/02/2024,Agusta,A109Grand,Light Multi Engine, Out of Production,182,2005 - 2014,160,10,6,0,16,10,10.67,2,13,17,2,9,13,0,4,2,0,0,2,0,0,3,2183,1159,322,2183,273,260,https://premier.amstatcorp.com/market/5c1e5932-a375-4fbc-97e8-94e8372681ec
07/02/2024,Agusta,AW139,Medium Twin, In production,"1,197",2001 - 2024,777,19,5,0,24,3.09,3.35,1,37,29,1,29,20,0,1,6,0,7,3,0,2,1, ,678,713, ,332,731,https://premier.amstatcorp.com/market/751e7492-c206-4113-a45c-5c315704e15d
07/02/2024,Agusta,AW189,Medium Twin, In production,84,2011 - 2023,62,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,2, , , , , , ,https://premier.amstatcorp.com/market/2aa608b3-8305-4e43-909c-38202dd5fa82
07/02/2024,Airbus,330-200,Business Liners, Out of production,1,0 - 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/31ad90c5-31bb-49d1-bfa0-7c8709a70342
07/02/2024,Airbus,A310,Business Liners, Out of Production,6,1987 - 1993,2,0,1,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , , , , , ,https://premier.amstatcorp.com/market/0f806135-b0c8-4c58-ba4d-0dcbaeb27757
07/02/2024,Airbus,A318 ELITE,Business Liners, Out of Production,19,2001 - 2015,17,2,0,0,2,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/008067d5-3ac3-41f9-b30a-12c675b1b48a
07/02/2024,Airbus,A319CJ,Business Liners, Out of Production,84,1999 - 2022,53,3,0,1,4,7.55,4.5,2,3,2,2,2,1,0,0,1,0,1,0,0,1,0,420,81, ,420,81, ,https://premier.amstatcorp.com/market/0bd397b5-c98e-407c-aa75-c6c1963da39b
07/02/2024,Airbus,A320,Business Liners, Out of Production,27,1997 - 2021,19,1,0,0,1,5.26,5.99,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/2303eb9d-f0cf-4dc7-b3b9-a0f2f015e733
07/02/2024,Airbus,A340,Business Liners, Out of Production,17,1987 - 2010,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/dc0e49db-04bf-4bf0-b2c5-448a9d50e8cb
07/02/2024,BAC,1-11-200,Large Jet, Out of Production,6,1964 - 1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/335824df-1f83-42e0-b5fe-910105e9c108
07/02/2024,BAC,1-11-400,Large Jet, Out of Production,35,1965 - 1984,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/5beffcf0-2a9b-44dc-8593-2fce99106efb
07/02/2024,BAE,146-100,Large Jet, Out of Production,6,1983 - 1989,2,1,0,0,1,50,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1, , ,391, , ,391,https://premier.amstatcorp.com/market/87307820-35d1-4ef1-aeba-228f1afc3985
07/02/2024,BAE,146-200,Large Jet, Out of Production,2,1987 - 1987,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/0a1b111d-fea9-46dc-9078-cb7d327c7c53
07/02/2024,BAE,Avro,Large Jet, Out of Production,2,1995 - 1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/d1ccd08c-9d72-43a3-86dc-f607dde70704
07/02/2024,BAE,Jetstream J31,Large Turboprop, Out of Production,119,1982 - 1999,71,6,0,1,7,9.86,35.93,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,https://premier.amstatcorp.com/market/109d25ae-3e0c-410a-a839-a182f0f28bca
07/02/2024,BAE,Jetstream J41,Large Turboprop, Out of Production,37,1993 - 1997,26,0,0,1,1,3.85,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0, ,1077, , ,1077, ,https://premier.amstatcorp.com/market/3b90291e-160c-4845-93c3-4272d4d58c9d
