Part no.,Description,Category_title,picture_urls,Alternative part no.,Connector design,Type standard,Cable length ,Version,Connector locking system,Termination,Degree of protection,Cross-sectional area,Temperature range from/to,Mechanical operation,Weight (g),Customs tariff number,Country of Origin,Rated voltage,Rated impulse voltage,Rated current,Pollution degree,Overvoltage category,Insulating material group,EMC compliance,Housing material,Contact body material,Contact material,Contact plating,Locking material,REACH SVHC,SCIP number,eCl@ss 11.1,ETIM 9.0,RoHS Directive,Cable diameter,Cross section,Sheath material,Single-lead insulation,Single-lead structure,Cable color,Conductor resistance,"Bending radius, fixed cable","Bending radius, moving cable",Bending cycles,Permitted acceleration,"Travel distance, horizontal",Travel speed,Temperature range cable in move from/to,Temperature range cable fixed from/to,Halogen free,REACH,RoHs,China RoHs,Declaration of conformity RoHS Directive,UKCA declaration of conformity Electrical Equipment,UKCA declaration of conformity UK RoHS,Declaration of conformity Low Voltage Directive,CAD files
09 3105 00 03,"M5 Male panel mount connector, Contacts: 3, unshielded, single wires, IP67","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3_FS.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3_FS.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203105%2000%2003, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-00-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-00-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_3polS_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_3polS_en.jpg",,Male panel mount connector,DIN EN 61076-2-105,,Connector pin straight,screw,single wires,IP67,0.14 mm² / AWG 26,-25 °C / 80 °C,> 100 Mating cycles,2.46,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuZn (brass),Au (gold),,CAS 7439-92-1 (Lead),3257bba6-022c-4895-b3f7-d31ba5e66624,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3105-00-03-m5-male-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/rohs/09-3105-00-03-m5-male-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3105-00-03-m5-male-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3071&cHash=f5a924a92fd777dbd0a02e50229936d1
09 3111 86 04,"M5 Male panel mount connector, Contacts: 4, unshielded, single wires, IP67, front fastened","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3TLF_L.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3TLF_L.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203111%2086%2004, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-86-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-86-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_vv_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_vv_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_4polS_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_4polS_en.jpg",,Male panel mount connector,DIN EN 61076-2-105,,Connector pin straight,screw,single wires,IP67,0.14 mm² / AWG 26,-25 °C / 80 °C,> 100 Mating cycles,3.14,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuZn (brass),Au (gold),,CAS 7439-92-1 (Lead),0e00761b-47dd-491d-9249-ce835ae6d71a,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3111-86-04-m5-male-panel-mount-connector-contacts-4-unshielded-single-wires-ip67-front-fastened.pdf,https://www.binder-connector.com/en/products/rohs/09-3111-86-04-m5-male-panel-mount-connector-contacts-4-unshielded-single-wires-ip67-front-fastened.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3111-86-04-m5-male-panel-mount-connector-contacts-4-unshielded-single-wires-ip67-front-fastened.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3076&cHash=4797ece02608813af1ac1655ae49a96f
09 3105 86 03,"M5 Male panel mount connector, Contacts: 3, unshielded, single wires, IP67, front fastened","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3TLF_L.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3TLF_L.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203105%2086%2003, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-86-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-86-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_vv_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_vv_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_3polS_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_3polS_en.jpg",,Male panel mount connector,DIN EN 61076-2-105,,Connector pin straight,screw,single wires,IP67,0.14 mm² / AWG 26,-25 °C / 80 °C,> 100 Mating cycles,2.62,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuZn (brass),Au (gold),,CAS 7439-92-1 (Lead),1ea3c90a-9c9a-4d6b-9bb5-c57c8f1b7f56,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3105-86-03-m5-male-panel-mount-connector-contacts-3-unshielded-single-wires-ip67-front-fastened.pdf,https://www.binder-connector.com/en/products/rohs/09-3105-86-03-m5-male-panel-mount-connector-contacts-3-unshielded-single-wires-ip67-front-fastened.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3105-86-03-m5-male-panel-mount-connector-contacts-3-unshielded-single-wires-ip67-front-fastened.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3075&cHash=3956352bc24406473fad3cf686eee938
09 3111 81 04,"M5 Male panel mount connector, Contacts: 4, unshielded, THT, IP67","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3TLF.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3TLF.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203111%2081%2004, https://www.binder-connector.com/prod_media/leiterplattenlayout/M5_Loch_4polS.jpg, https://www.binder-connector.com/prod_media/leiterplattenlayout/M5_Loch_4polS.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-81-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-81-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_vv_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_vv_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707_4polS.jpg, https://www.binder-connector.com/prod_media/polbild/707_4polS.jpg",,Male panel mount connector,DIN EN 61076-2-105,,Connector pin straight,screw,THT,IP67,,-25 °C / 80 °C,> 100 Mating cycles,1.18,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuZn (brass),Au (gold),,CAS 7439-92-1 (Lead),831b6081-a573-43b4-986c-92440386a8f1,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3111-81-04-m5-male-panel-mount-connector-contacts-4-unshielded-tht-ip67.pdf,https://www.binder-connector.com/en/products/rohs/09-3111-81-04-m5-male-panel-mount-connector-contacts-4-unshielded-tht-ip67.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3111-81-04-m5-male-panel-mount-connector-contacts-4-unshielded-tht-ip67.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3078&cHash=b9776d44bdc432ea95b61ccdcf7d041e
09 3106 01 03,"M5 Female panel mount connector, Contacts: 3, unshielded, single wires, IP67","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Female_panel_mount_connector_707_4_FD.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Female_panel_mount_connector_707_4_FD.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203106%2001%2003, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3112-00-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3112-00-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_3polB_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_3polB_en.jpg",,Female panel mount connector,DIN EN 61076-2-105,,Connector socket straight,screw,single wires,IP67,0.25 mm² / AWG 24,-25 °C / 80 °C,> 100 Mating cycles,4.01,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuSn (bronze),Au (gold),,CAS 7439-92-1 (Lead),1274da62-ac9d-44d6-985c-642ff3d3f501,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3106-01-03-m5-female-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/rohs/09-3106-01-03-m5-female-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3106-01-03-m5-female-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3081&cHash=815a510ca5dccbace4c6d20500b694fc
09 3105 81 03,"M5 Male panel mount connector, Contacts: 3, unshielded, THT, IP67","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3TLF.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3TLF.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203105%2081%2003, https://www.binder-connector.com/prod_media/leiterplattenlayout/M5_Loch_3polS.jpg, https://www.binder-connector.com/prod_media/leiterplattenlayout/M5_Loch_3polS.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-81-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-81-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_vv_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_vv_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707_3polS.jpg, https://www.binder-connector.com/prod_media/polbild/707_3polS.jpg",,Male panel mount connector,DIN EN 61076-2-105,,Connector pin straight,screw,THT,IP67,,-25 °C / 80 °C,> 100 Mating cycles,1.17,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuZn (brass),Au (gold),,CAS 7439-92-1 (Lead),431c53fc-df7a-413c-aac7-bb7dd602ca11,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3105-81-03-m5-male-panel-mount-connector-contacts-3-unshielded-tht-ip67.pdf,https://www.binder-connector.com/en/products/rohs/09-3105-81-03-m5-male-panel-mount-connector-contacts-3-unshielded-tht-ip67.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3105-81-03-m5-male-panel-mount-connector-contacts-3-unshielded-tht-ip67.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3077&cHash=b8bb314bad6cdbd57873d11df98f4fdf
09 3106 00 03,"M5 Female panel mount connector, Contacts: 3, unshielded, single wires, IP67","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Female_panel_mount_connector_707_4_FD.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Female_panel_mount_connector_707_4_FD.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203106%2000%2003, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3112-00-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3112-00-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_3polB_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_3polB_en.jpg",,Female panel mount connector,DIN EN 61076-2-105,,Connector socket straight,screw,single wires,IP67,0.14 mm² / AWG 26,-25 °C / 80 °C,> 100 Mating cycles,3.35,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuSn (bronze),Au (gold),,CAS 7439-92-1 (Lead),c705038f-766b-4530-adfc-365d03362af5,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3106-00-03-m5-female-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/rohs/09-3106-00-03-m5-female-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3106-00-03-m5-female-panel-mount-connector-contacts-3-unshielded-single-wires-ip67.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3080&cHash=69bf1919f15de871abc4f590d9190967
09 3111 01 04,"M5 Male panel mount connector, Contacts: 4, unshielded, single wires, IP67","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3_FS.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_panel_mount_connector_707_3_FS.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203111%2001%2004, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-00-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-00-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_4polS_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe_4polS_en.jpg",,Male panel mount connector,DIN EN 61076-2-105,,Connector pin straight,screw,single wires,IP67,0.25 mm² / AWG 24,-25 °C / 80 °C,> 100 Mating cycles,4.45,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuZn (brass),Au (gold),,CAS 7439-92-1 (Lead),33ea6b61-94fd-4426-b0e0-0afae29c851e,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3111-01-04-m5-male-panel-mount-connector-contacts-4-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/rohs/09-3111-01-04-m5-male-panel-mount-connector-contacts-4-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3111-01-04-m5-male-panel-mount-connector-contacts-4-unshielded-single-wires-ip67.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3074&cHash=552689967f49bbbd072ad428f4430857
09 3112 00 04,"M5 Female panel mount connector, Contacts: 4, unshielded, single wires, IP67","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Female_panel_mount_connector_707_4_FD.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Female_panel_mount_connector_707_4_FD.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203112%2000%2004, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3112-00-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3112-00-04.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/montageausschnitt/M5_FSmont_M5x0_5_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe4B_en.jpg, https://www.binder-connector.com/prod_media/polbild/707kobe4B_en.jpg",,Female panel mount connector,DIN EN 61076-2-105,,Connector socket straight,screw,single wires,IP67,0.14 mm² / AWG 26,-25 °C / 80 °C,> 100 Mating cycles,4.06,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuSn (bronze),Au (gold),,CAS 7439-92-1 (Lead),1033b33d-3021-491b-a8f2-d9931f60db73,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3112-00-04-m5-female-panel-mount-connector-contacts-4-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/rohs/09-3112-00-04-m5-female-panel-mount-connector-contacts-4-unshielded-single-wires-ip67.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3112-00-04-m5-female-panel-mount-connector-contacts-4-unshielded-single-wires-ip67.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3082&cHash=be810a8750e9edcf1a4c4d46db94d8f0
09 3111 71 04,"M5 Male receptacle, Contacts: 4, unshielded, solder, IP67, for M5 tube","M5, series 707, Automation Technology - Sensors and Actuators","https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_receptacle_707_3_ES_2021.jpg, https://www.binder-connector.com/prod_media/produktfoto_seo/Automation_Technology_-_Sensors_and_Actuators-M5-Male_receptacle_707_3_ES_2021.jpg, https://www.binder-connector.comhttps://www.traceparts.com/els/binder-connector/en/api/viewer/3d?SupplierID=BINDER_CONNECTOR&PartNumber=09%203111%2071%2004, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-71-04.jpg, https://www.binder-connector.com/prod_media/masszeichnung_produktzeichnung/09-3111-71-04.jpg, https://www.binder-connector.com/prod_media/polbild/707_4polS.jpg, https://www.binder-connector.com/prod_media/polbild/707_4polS.jpg",,Male receptacle,DIN EN 61076-2-105,,Connector pin straight,screw,solder,IP67,0.25 mm² / AWG 24,-25 °C / 80 °C,> 100 Mating cycles,0.16,85369010,DE,60 V,800 V,1.0 A,3,II,I,unshielded,,PA,CuZn (brass),Au (gold),,CAS 7439-92-1 (Lead),18dd3355-0147-4f30-9d51-905147514a68,27-44-01-09,EC003569,,,,,,,,,,,,,,,,,,https://www.binder-connector.com/en/products/reach/09-3111-71-04-m5-male-receptacle-contacts-4-unshielded-solder-ip67-for-m5-tube.pdf,https://www.binder-connector.com/en/products/rohs/09-3111-71-04-m5-male-receptacle-contacts-4-unshielded-solder-ip67-for-m5-tube.pdf,https://www.binder-connector.com/en/products/chinarohs/09-3111-71-04-m5-male-receptacle-contacts-4-unshielded-solder-ip67-for-m5-tube.pdf,,,,,https://www.binder-connector.com/en/products?tx_avbinderproduct_products%5Baction%5D=tracepartsDownload&tx_avbinderproduct_products%5BcadId%5D=659&tx_avbinderproduct_products%5Bcontroller%5D=Product&tx_avbinderproduct_products%5Bproduct%5D=3079&cHash=fed433273d643deeafc14691cf0dae3b
