Team,Category,Date,vs,Opp,Game Result,Team Pts,Opp Pts,Spread,eFG #,eFG %,Rim #,Rim %,Short Mid #,Short Mid %,Long Mid #,Long Mid %,All Mid #,All Mid %,Corner Three #,Corner Three %,Non Corner #,Non Corner %,All Three #,All Three %,Pts/Poss %,Pts/Poss #,ALL TRANSITION Pts+/Poss %,ALL TRANSITION Pts+/Poss #,ALL TRANSITION Freq #,ALL TRANSITION Freq %,ALL TRANSITION Pts/Poss %,ALL TRANSITION Pts/Poss #,OFF STEALS Pts+/Poss %,OFF STEALS Pts+/Poss #,OFF STEALS Freq #,OFF STEALS Freq %,OFF STEALS Pts/Poss %,OFF STEALS Pts/Poss #,OFF LIVE REBOUNDS Pts+/Poss %,OFF LIVE REBOUNDS Pts+/Poss #,OFF LIVE REBOUNDS Freq #,OFF LIVE REBOUNDS Freq %,OFF LIVE REBOUNDS Pts/Poss %,OFF LIVE REBOUNDS Pts/Poss #
ATL,Offense: Shooting Frequency,03/18/24,@,LAL,L,105,136,+9.0,15,48.3%,26,28.3%,59,22.8%,43,7.6%,51,30.4%,55,9.8%,81,31.5%,76,41.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,03/17/24,@,LAC,W,110,93,+9.5,74,59.1%,50,33.3%,58,22.6%,16,4.8%,35,27.4%,65,10.7%,64,28.6%,67,39.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,03/15/24,@,UTA,L,122,124,-1.0,51,55.0%,10,23.0%,95,35.0%,18,5.0%,87,40.0%,26,7.0%,72,30.0%,55,37.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,03/13/24,@,POR,L,102,106,-4.0,27,51.1%,10,22.9%,46,20.8%,91,14.6%,73,35.4%,79,12.5%,67,29.2%,78,41.7%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,03/10/24,vs.,NOP,L,103,116,+7.0,20,50.0%,27,28.4%,55,22.1%,6,3.2%,24,25.3%,20,6.3%,98,40.0%,93,46.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,03/08/24,@,MEM,W,99,92,-3.5,27,51.1%,5,18.5%,88,30.4%,86,13.0%,93,43.5%,88,14.1%,32,23.9%,61,38.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,03/06/24,vs.,CLE,W,112,101,-3.0,67,57.7%,55,34.1%,86,29.7%,7,3.3%,64,33.0%,55,9.9%,28,23.1%,33,33.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,03/05/24,@,NYK,W,116,100,+1.0,59,56.3%,83,40.9%,43,20.4%,21,5.4%,26,25.8%,87,14.0%,10,19.4%,34,33.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,03/02/24,@,BKN,L,102,114,-1.0,15,48.2%,75,38.5%,32,18.7%,32,6.6%,24,25.3%,46,8.8%,57,27.5%,51,36.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,02/29/24,@,BKN,L,97,124,+1.5,16,48.7%,38,30.6%,91,31.8%,71,10.6%,92,42.4%,27,7.1%,12,20.0%,8,27.1%,,,,,,,,,,,,,,,,,,,,
