Item No,Availability,Item Title,Item Price,Item Images,Product Details,Item URL
3248298,Available,FoodSaver Vacuum Sealing System with Handheld Sealer Attachment,Not Found,"https://cdn.bfldr.com/U447IH35/as/f7qnrbqh8s3sn5s3kjsh5b/3248298-847__7?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/wngwvk4jfh3gvmw6nkk25r/3248298-847__4?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/23t4442kts46m88mhkcsktq/3248298-847__2?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/jbvfx9cxk3h4jfctwtngbh6b/3248298-847__6?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/trbmmjq5wqqnf4nh59bq72w/3248298-847__5?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/rc9bnt88f939hm7cbf5cf7t7/3248298-847__1?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/t8s56tnpmnrj7sk3h2wk64g/3248298-847__3?auto=webp&amp;format=jpg","  Product Details   Costco Business Delivery can only accept orders for this item from retailers holding a Costco Business membership with a valid tobacco resale license on file. Tobacco products cannot be returned to Costco Business Delivery or any Costco warehouse. This is an exception to Costco's return policy.               Keep food fresh up to 5x longer with the FoodSaver Vacuum Sealing System. This vacuum sealer's innovative technology creates an airtight seal, helping to prevent freezer burn and lessen food waste. Maximize freshness with four settings: Dry or Moist for different food types, Sous Vide for cooking, and Pulse for delicate foods.   Accessories Included:   One FM2900 countertop vacuum sealer  One handheld sealer attachment  One 11""x10' roll, three pre-cut quart bags  Two pre-cut gallon bags  Three quart-size zipper bags  Two gallon size zipper bags    Product Features:   Durable design and trusted FoodSaver quality comes with a 5-year warranty    Dimensions & More:   Type of material- stainless steel, plastic  14.6 L x 8.3 W x 3.6 H; Weight: 5 lbs  Made in USA    Warranty:   Parts/Labor: 5 years   For product related questions please contact “FoodSaver” at 1 877-777-8042    ",https://www.costco.com/.product.3248298.html
1736513,Available,Calphalon Premier 12-Piece Stainless Steel Cookware Set,199.99,"https://cdn.bfldr.com/U447IH35/as/m8skrw7mm9gtmg4mssvcq3/1736513-847__5?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/wn9zvnq6fjhv9p6xcsv72wmc/1736513-847__3?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/75zkgvjqrwxj36mc8r7rbr/1736513-847__1?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/csc3jbvvzt6gkxpm9vm4n/1736513-847__4?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/5rs6whg8b83t63v6c5sp7vm/1736513-847__2?auto=webp&amp;format=jpg","  Product Details   Costco Business Delivery can only accept orders for this item from retailers holding a Costco Business membership with a valid tobacco resale license on file. Tobacco products cannot be returned to Costco Business Delivery or any Costco warehouse. This is an exception to Costco's return policy.                 Designated Chemical Disclosure   <div id=""Cal-Chem-Disclosure-container"" style=""font-size: 1rem; color: #333""> <div data-bi-placement=""CalChemDisclosure_Popover_Data"">Certain states require the disclosure of designated chemicals intentionally added to certain products. Below is information about the designated chemicals in this product. <br/> <table class=""table"" style=""margin-top: 15px""> <tbody> <tr style=""text-align: left""><th style=""border: solid #cccccc 1px; padding: 5px"">State</th> <th style=""border: solid #cccccc 1px; padding: 5px"">Designated Chemical(s)</th> <th style=""border: solid #cccccc 1px; padding: 5px"">Further Information</th></tr>

<tr style=""text-align: left"">
<td style=""border: solid #cccccc 1px; padding: 5px"">CA</td>
<td style=""border: solid #cccccc 1px; padding: 5px"">Iron, Chromium, Nickel, Manganese, Copper, Phosphorus</td>
<td style=""border: solid #cccccc 1px; padding: 5px""><p><a href=""https://biomonitoring.ca.gov/chemicals/priority-chemicals"">CECBP - Priority Chemicals</a></p></td>
</tr>

</tbody></table></div></div> function CalChemDisclosureModal(){COSTCO.dialog.createExtDialogBox({title: ""Designated Chemical Disclosure"", body: COSTCO.util.tmpl(""CalChemDisclosure_Modal_Data"",{})}); COSTCO.dialog.returnFocusOnCallerElement(event.target);}       ",https://www.costco.com/.product.1736513.html
5232432,Not Available,,,,,https://www.costco.com/.product.5232432.html
3473236,Available,Cuisinart Digital Air Fryer Toaster Oven,159.99,"https://cdn.bfldr.com/U447IH35/as/9zp9mm4j8wfp3v5m9s8m8qx7/3473236-847__2?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/mc6qwfqtb298msx2gjh7t6g/3473236-847__5?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/3ns7t4x7h6pfsmvbxcmsr6/3473236-847__1?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/qj35388p5fkxv3r7qzqkcj34/3473236-847__4?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/pk8tftsgbq93hq436qr8jnm/3473236-847__3?auto=webp&amp;format=jpg",  Product Details   Costco Business Delivery can only accept orders for this item from retailers holding a Costco Business membership with a valid tobacco resale license on file. Tobacco products cannot be returned to Costco Business Delivery or any Costco warehouse. This is an exception to Costco's return policy.                  ,https://www.costco.com/.product.3473236.html
2248298,Available,FoodSaver Multi-Use Vacuum Sealing and Food Preservation System,Not Found,"https://cdn.bfldr.com/U447IH35/as/q4qm8mr8hb6j3vj69hw3q/2248298-847__5?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/9bkwgvztnz6jh37p28q55b/2248298-847__3?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/k7qtggxw3v7bs3rr7452zrh/2248298-847__6?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/n9p8fns4fk6hxxr35n4fsg5/2248298-847__7?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/5hj3fnc6xxfpf7gwq83fv4/2248298-847__4?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/rpsrnbg4q7g6mtjbhnxmpk/2248298-847__1?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/c4sx8bv66hnqvgnj6fpkxc/2248298-847__2?auto=webp&amp;format=jpg",  Product Details   Costco Business Delivery can only accept orders for this item from retailers holding a Costco Business membership with a valid tobacco resale license on file. Tobacco products cannot be returned to Costco Business Delivery or any Costco warehouse. This is an exception to Costco's return policy.              Item may be available in your local warehouse.      ,https://www.costco.com/.product.2248298.html
6232432,Available,Gourmia 8-Quart Digital Air Fryer with Window & Light,49.99,"https://cdn.bfldr.com/U447IH35/as/7s53bzcrstgj3ctwn858khqw/6232432-847__1?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/jvwpcvx6mrvpbv8ts3z84vv/6232432-847__4?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/4rtfs8gb5mw698wgc54rpf/6232432-847__3?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/rgrt7745t6vqn9j5w3cnmr/6232432-847__2?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/wbjxptjwsw77b93kp4kgkw3p/6232432-847__6?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/n5w7k4v8zrg7g553sfh74mv/6232432-847__5?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/wb6sc6r7brsn7nj9ks9xpmh/6232432-847__7?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/26v8vwkm56msn9qjg83p6c5f/6232432-847__8?auto=webp&amp;format=jpg",  Product Details   Costco Business Delivery can only accept orders for this item from retailers holding a Costco Business membership with a valid tobacco resale license on file. Tobacco products cannot be returned to Costco Business Delivery or any Costco warehouse. This is an exception to Costco's return policy.                  ,https://www.costco.com/.product.6232432.html
3443715,Available,Sur La Table 13-Quart Air Fryer Oven,99.99,"https://cdn.bfldr.com/U447IH35/as/fc437274m37bggfn7f9q48n/3443715-847__5?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/sjrkkzx5ws69rk7szngqn7n/3443715-847__6?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/389mqbr8jckh3qfmcjgfqpz/3443715-847__1?auto=webp&amp;format=jpg",  Product Details   Costco Business Delivery can only accept orders for this item from retailers holding a Costco Business membership with a valid tobacco resale license on file. Tobacco products cannot be returned to Costco Business Delivery or any Costco warehouse. This is an exception to Costco's return policy.               WARNING: Cancer and Reproductive Harm. For more information go to: www.P65Warnings.ca.gov .       ,https://www.costco.com/.product.3443715.html
1713230,Not Available,,,,,https://www.costco.com/.product.1713230.html
1768114,Available,"Chef iQ Smart Thermometer and Hub, 2 Probe Set",79.99,"https://cdn.bfldr.com/U447IH35/as/mnqsg89t6fqhq55w6znwh4kk/1768114-847__1?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/f8q5cf9pf8qj377h3m48r97/1768114-847__5?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/frkpm9f8tvhnprwz5sv8tgsz/1768114-847__3?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/9k7qq8qp7363qtmfbxgz8t8t/1768114-847__8?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/qksqvgbtmq9nfxpzvvff856/1768114-847__7?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/rtqwqf6fm29scnkthc6jmpf/1768114-847__4?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/g8cwqcxqcn3knhckw35ksfss/1768114-847__2?auto=webp&amp;format=jpg, https://cdn.bfldr.com/U447IH35/as/nkpr5nb36hgzpbgbp9frv33/1768114-847__6?auto=webp&amp;format=jpg",  Product Details   Costco Business Delivery can only accept orders for this item from retailers holding a Costco Business membership with a valid tobacco resale license on file. Tobacco products cannot be returned to Costco Business Delivery or any Costco warehouse. This is an exception to Costco's return policy.                  ,https://www.costco.com/.product.1768114.html
2473236,Not Available,,,,,https://www.costco.com/.product.2473236.html
