Title,Date,Content,Img_url,Detail_URL
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Deduction limitations of recharged costs: an update,05/10/2021,"<div class=""article-header__content rich-text"">
<p>A number of costs, although professional, are only partly or even not at all tax deductible: e.g. costs of cars (percentage depending among others on CO2), restaurant (69%), reception and business gifts (50%), clothing (not deductible). If these costs are passed on, there is a risk of double taxation: on the one hand to the party who bears the costs in the first place and on the other hand to its customer.</p>
<p>We look first at the current arrangements and then at the legislative proposal.</p>
<h2>Recharged car expenses</h2>
<p>Article 66, §2, paragraph 4 WIB1992 confirms that for car expenses no deduction limitation applies for costs recharged to third parties, provided that these costs are explicitly and separately mentioned on the invoice. The tax deduction limitation of the (recharged) car expenses does not apply to the taxpayer who incurred the expense and recharges it, but to the third party to whom the expenses are recharged. </p>
<p>However, there are conditions for the deduction restriction not to be applied to the person who recharges:</p>
<ul>
<li>It must be car costs that are recharged to third parties for the same amount and by means of an explicit and separate statement on the invoice;</li>
<li>The CO2 emissions and fuel used must be included in the invoice, so that the third party to whom the car costs are re-invoiced is able to apply the correct tax deduction limitation with respect to the costs (recharged) to him.</li>
</ul>
<h2>Recharged restaurant and reception costs </h2>
<p>Here the Administration accepts that the deduction limitation must not be applied to costs recharged to ""a third party who is also subject to the deduction limitation and in a manner that leaves no doubt as to the precise scope of the transaction."" Unlike the legal regulation of recharged car expenses, restaurant and reception expenses do require that the third party be taxable in Belgium.</p>
<h2>Legislative proposal on recharged costs </h2>
<p>It is proposed to apply the same rules to recharged restaurant, reception, business gifts, clothing, hunting and fishing expenses as those for recharged car expenses. The deduction limitation will then no longer apply if the costs are recharged to third parties, provided that these costs are explicitly and separately stated on the invoice.</p>
<h2>Legislative proposal on the price of trade goods </h2>
<p>It is also proposed to expressly provide that the price of trade goods (within the meaning of the accounting legislation) is a professional expense that is not subject to the deduction restrictions. We are thinking here of expenses booked in a 60 account. If the costs are entered in the accounts as trade goods in accordance with the accounting legislation, the deduction limitation would therefore not apply and there is also no need to mention these goods separately on the invoice.</p>
<p>This rule is particularly relevant for event organizers, but its scope can be much broader.</p>
<h2>Conclusion</h2>
<p>
This bill, which would apply as of tax year 2022, would allow the deduction limits to no longer be applied to the service provider in a number of cases. We will keep you posted on the further evolution. </p>
<p> </p>
</div>",https://www.crowe.com/be/spark/-/media/crowe/shared/image-library/main-images/left-to-right/ch-asset-136146753-a_l2r_main.jpg?h=244&iar=0&w=556&rev=-1&hash=14D0CAB836544BB2FB5E983C3C431467,https://www.crowe.com/be/spark/insights/deduction-limitations-of-recharged-costs
Student workers: everything you need to know,05/05/2023,"<div class=""article-header__content rich-text"">
<p style=""text-align: justify;""><span>Student workers are <strong>an important part</strong> <strong>of the Belgian labour market</strong>. Every year, thousands of students work in <strong>various industries</strong>, such as retail and hospitality. With summer approaching, the number of students working will also increase again. Before employing students, it is essential to be aware of the relevant regulations and make the proper preparations. In this blog, we would like to give you the key points to consider when planning to employ students:</span></p>
<p style=""text-align: justify;""><span> </span></p>
<p><strong><span>1. Age and study requirements</span></strong><span>: Working students in Belgium must be at least 15 years old. They must be enrolled as a student at an accredited educational institution, such as a high school, college or university. It is important to check students' proof of enrolment and make sure they meet these requirements.</span></p>
<p><span><strong>2. </strong></span><strong>Working conditions and hours</strong>: As an employer, it is important to be aware of the specific working conditions and hours that apply to student workers. In Belgium, working students are allowed to work up to 600 hours per calendar year at a solidarity contribution (social security) on their gross pay of 2.71% for the student and 5.43% for the employer. In addition, no withholding tax is deducted from a student worker's pay. When a student works more than 600 hours, in principle, the normal rules that apply to any other employee in your company will apply. Thus, you will pay a higher employer's contribution on their gross pay, the social security contribution of 13.07% will apply, and the rules regarding withholding tax will apply.</p>
<p><span><strong>3. </strong></span><strong>Work on Sundays and public holidays:</strong> In principle, employees under 18 years of age may not be employed on Sundays or public holidays or work between 8pm and 6am. However, exceptions to this have been defined for certain sectors, such as the hospitality industry. For example, in the hospitality industry, young people under 18 are allowed to work on Sundays and public holidays every two weeks if they receive an extra day of rest in exchange. In the case of night work by a young person under the age of 18, there must be a continuous rest period of 12 hours between the end of the working day and the resumption of work the following day.</p>
<p><span><strong>4. </strong></span><strong>Employment contract:</strong> Student workers are required to have a written employment contract. This is regardless of the length of the employment contract. This contract must contain well-defined inforation, such as the duration of the contract, salary, working hours and job description. It is important to note that the first 3 working days of the contract are always considered probationary, even if there is no specific probation clause in the contract. During this period, both the employer and the student may terminate the contract without notice or compensation.</p>
<p><span><strong>5. </strong></span><strong>DIMONA declaration:</strong> As with other employees, it is required by law to file a DIMONA declaration before the start of employment. In the event of a late declaration for a student, the student cannot work as a student worker for the remainder of the quarter or until the end of the employment contract and is automatically treated as a regular employee by the NSSO.</p>
<p style=""text-align: justify;""><span> </span></p>
<p style=""text-align: justify;""><span>There are some situations in which a student is not eligible to work as a student worker:</span></p>
<p style=""text-align: justify;""><span> </span></p>
<ul>
<li><strong><span>Work experience of more than 12 months</span></strong><span>: If a student has already worked continuously with the same employer for more than 12 months, they can no longer work as a student worker with the same employer. However, they can still work as a student worker with another employer.</span></li>
</ul>
<ul>
<li><strong><span>Mandatory school attendance</span></strong><span>: Working students may not have work hours at times when they are required to be present at school on a mandatory basis. This is to ensure that students have sufficient time for their studies.</span></li>
</ul>
<ul>
<li><strong><span>School leavers after summer vacation</span></strong><span>: After 30 September, school leavers can no longer work as student workers. This gives them the opportunity to focus on finding full-time employment or further studies.</span></li>
</ul>
<ul>
<li><strong><span>Receiving unemployment benefits</span></strong><span>: If a student is receiving unemployment benefits, they cannot work as a student worker. This is because the student is considered actively seeking full-time employment.</span></li>
</ul>
<ul>
<li><strong>Unpaid internships as part of a programme of study</strong><span>: If a student takes an unpaid internship as a required part of their programme of study, they cannot receive a student contract for this internship. In that case, different rules and guidelines apply to the internship.</span></li>
</ul>
<ul>
<li><strong><span>Reduced curriculum or night school</span></strong><span>: If a student attends only night school or education with a reduced curriculum, restrictions or prohibitions may apply to working as a student worker. These rules may vary depending on the specific situation and educational institution.</span></li>
</ul>
<p><span> </span></p>
<p style=""text-align: justify; color: #000000; background-color: #ffffff; margin-bottom: 0cm; line-height: normal;""><strong>Questions?</strong></p>
<p style=""color: #000000; background-color: #ffffff; margin-bottom: 0cm; text-align: justify; line-height: normal;"">Do you still have questions about student recruitment or would you like additional advice? Do not hesitate to contact us at payroll@crowe.be.</p>
<div> </div>
<p><span> </span></p>
<p><span> </span></p>
</div>",https://www.crowe.com/be/spark/-/media/crowe/shared/image-library/main-images/left-to-right/ch-asset-495179768-a_l2r_main.jpg?h=244&iar=0&w=556&rev=-1&hash=AD6D8524083C18877C53CB142158FE8E,https://www.crowe.com/be/spark/insights/alles-wat-je-moet-weten-over-jobstudenten-v2
,,,,
,,,,
