Year,Make,Model,Trim,Drive
2017,INFINITI,QX30,Luxury,AWD
2017,INFINITI,QX30,Luxury,FWD
2017,Toyota,Highlander,LE Plus,FWD
2017,Toyota,Highlander,LE Plus,AWD
2017,Toyota,Yaris,CE,FWD
2017,Freightliner,Sprinter 2500,Base,4WD
2017,Freightliner,Sprinter 2500,Base,RWD
2017,Mini,Cooper,S,FWD
2017,Toyota,Land Cruiser,Base,4WD
2017,Mini,Cooper Clubman,S ALL4,AWD
2016,Smart,Fortwo,Pure,RWD
2020,Mini,Cooper,S,FWD
2023,Mini,Cooper,S,FWD
2023,Mini,Cooper,SE,FWD
2023,Mini,Cooper Countryman,S E ALL4,AWD
2023,Mini,Cooper Countryman,ALL4,AWD
2023,Mini,Cooper Clubman,S ALL4,AWD
2024,Mini,Cooper,S,FWD
2024,Mini,Cooper Clubman,S,FWD
2024,Toyota,RAV4 Prime,XSE,AWD
2024,Toyota,Venza,Limited,AWD
2024,Toyota,Venza,XLE,AWD
2024,Toyota,Venza,Nightshade,AWD
2024,Mini,Cooper Clubman,S ALL4,AWD
2024,Toyota,Venza,LE,AWD
2017,Audi,TTS Quattro,Base,AWD
2024,Mini,Cooper,SE,FWD
2024,Mini,Cooper,Base,FWD
2023,Mini,Cooper Countryman,S ALL4,AWD
2023,Mini,Cooper Clubman,John Cooper Works ALL4,AWD
2024,Toyota,RAV4 Prime,SE,AWD
2023,Mini,Cooper Countryman,Base,FWD
2023,Mini,Cooper Countryman,S,FWD
2023,Mini,Cooper Countryman,John Cooper Works ALL4,AWD
2024,Mini,Cooper,John Cooper Works,FWD
2023,Mini,Cooper,Base,FWD
2019,Smart,EQ fortwo,Pure,RWD
2019,Smart,EQ fortwo,Prime,RWD
2023,Mini,Cooper,John Cooper Works,FWD
2019,Smart,EQ fortwo,Passion,RWD
2020,Mini,Cooper,SE,FWD
2020,Mini,Cooper,John Cooper Works,FWD
2020,Mini,Cooper,Base,FWD
2017,Audi,RS3,Base,AWD
2017,Audi,S3,Prestige,AWD
2017,Audi,S7,Premium Plus,AWD
2017,Audi,S7,Prestige,AWD
2017,Audi,R8,Spyder,AWD
2017,Audi,A4,Progressiv,FWD
2017,Audi,SQ5,Technik,AWD
2017,Audi,A4,Premium,FWD
2017,Audi,R8,Plus,AWD
2017,Audi,RS7,Performance,AWD
2017,Audi,S5,Technik,AWD
2017,Audi,S5,Progressiv,AWD
2017,Audi,A8 Quattro,L Sport,AWD
2017,Audi,Q3 Quattro,Prestige,AWD
2017,Audi,Q3 Quattro,Premium Plus,AWD
2017,Audi,A4 Quattro,Progressiv,AWD
2017,Audi,S5,Base,AWD
2017,Audi,A4 Quattro,Premium,AWD
2017,Audi,A4 Quattro,Prestige,AWD
2017,Audi,Q3 Quattro,Premium,AWD
2017,Audi,A4 Quattro,Premium Plus,AWD
2017,Audi,A4 Quattro,Komfort,AWD
2017,Audi,A4 Quattro,Technik,AWD
2017,Audi,S6,Prestige,AWD
2017,Audi,A8 Quattro,Base,AWD
2017,Audi,A8 Quattro,L,AWD
2017,Audi,S6,Premium Plus,AWD
2017,Audi,A4 allroad,Progressiv,AWD
2017,Audi,S6,Base,AWD
2017,Audi,A4 allroad,Premium Plus,AWD
2017,Audi,A4 allroad,Komfort,AWD
2017,Audi,A4 allroad,Technik,AWD
2017,Audi,A4 allroad,Prestige,AWD
2017,Audi,A4 allroad,Premium,AWD
2017,Audi,A3 Sportback e-tron,Prestige,FWD
2017,Audi,A3 Sportback e-tron,Technik,FWD
2017,Audi,A3 Sportback e-tron,Progressiv,FWD
2017,Audi,A3 Sportback e-tron,Premium,FWD
2017,Audi,A3 Sportback e-tron,Premium Plus,FWD
2017,Audi,RS7,Base,AWD
2017,Audi,A4,Prestige,FWD
2017,Audi,A4,Premium Plus,FWD
2017,Audi,A4,Komfort,FWD
2017,Audi,A5 Quattro,Sport,AWD
2017,Audi,A5 Quattro,Technik,AWD
2017,Audi,A5 Quattro,Komfort,AWD
2017,Audi,R8,Base,AWD
2017,Audi,A5 Quattro,Progressiv,AWD
2017,Audi,A3 Quattro,Technik,AWD
