Name,SKU,Price,Sale Price,Weight (Kg),Brand,Warrenty,Size,Material,Available Quantity,Product URL
"ECHO Bárszék 2 db, varrott műbőr borítás, barna, 63 cm magas",LBC080K01,"39,000 (Ft)","29,300 (Ft)",7,VASAGLE,1 év,,,13,https://www.deco24.hu/ECHO-Barszek-2-db-varrott-mubor-boritas-barna-63-c
"Bambusz konyhai rendszerező polcok, 2 db-os egymásra rakható, fehér lábakkal",KCS02NW,"7,690 (Ft)","5,490 (Ft)",1,SONGMICS,,30x20x15cm,"Bambusz, Acél",27,https://www.deco24.hu/spd/KCS02NW/Bambusz-konyhai-rendszerezo-polcok-2-db-os-egymasr
"Álló ruhafogas fém 12 akasztóval, egyenes lábakkal, fekete",RCR19B,"11,200 (Ft)","7,900 (Ft)",3,SONGMICS,1 év,49x49x182cm,Acél,49,https://www.deco24.hu/songmics-allo-ruhafogas-fem-12-akasztoval-egyenes-labakkal-fekete
"Kétszintes edény és tányérszárító kihúzható, ezüst 36x21x25-31cm",KCS017E01,"9,990 (Ft)","7,100 (Ft)",2,SONGMICS,,36x21x25.5-31.5cm,Acél,49,https://www.deco24.hu/songmics-ketszintes-edeny-es-tanyerszarito-kihuzhato-ezust-36x21x25-31cm
"Fali tükrös fürdőszoba szekrény, fehér 56x13x58cm",LHC002,"21,600 (Ft)","15,100 (Ft)",6,VASAGLE,1 év,56.5x13x58.5cm,"MDF (Közepes Sűrűségű Rostlemez), Üveg",42,https://www.deco24.hu/vasagle-fali-tukros-furdoszoba-szekreny-feher-56x13x58cm
"Műbőr óratároló doboz 12 rekesszel, üvegfedéllel, fekete 30x20x8cm",JWB12BK,"8,390 (Ft)","6,390 (Ft)",1,SONGMICS,,30.2x20.2x8cm,"MDF (Közepes Sűrűségű Rostlemez), PU (Bőr), Bársony szövet, Üveg",17,https://www.deco24.hu/songmics-mubor-oratarolo-doboz-12-rekesszel-uvegfedellel-fekete-30x20x8cm
"ECHO Bárszék 2 db, varrott műbőr borítás, 76 cm magas",LBC090K01,"40,400 (Ft)","30,300 (Ft)",8,VASAGLE,1 év,,,22,https://www.deco24.hu/ECHO-Barszek-2-db-varrott-mubor-boritas-76-cm-maga
"Polcos állvány, 130kg polconkénti teherbírással, fekete 150x75x30cm",GLR030B01,"19,800 (Ft)","13,900 (Ft)",10,SONGMICS,1 év,150x75x30cm,"MDF (Közepes Sűrűségű Rostlemez), Acél",49,https://www.deco24.hu/songmics-polcos-allvany-130kg-polconkenti-teherbirassal-fekete-150x75x30cm
"Fürdőszoba sarokpolc állítható, fehér 85-305cm",BCB001A,"9,690 (Ft)","7,390 (Ft)",2,SONGMICS,1 év,85-305cm,"Acél, ABS, PP",16,https://www.deco24.hu/songmics-furdoszoba-sarokpolc-allithato-feher-85-305cm
"Cipőtároló pad két tároló szinttel, rusztikus barna 73x30x45cm",LBS73X,"23,700 (Ft)","17,800 (Ft)",7,VASAGLE,1 év,73x30x45cm,"Forgácslap, Acél",12,https://www.deco24.hu/vasagle-cipotarolo-pad-ket-tarolo-szinttel-rusztikus-barna-73x30x45cm
Bambusz kosár szennyestartó 72L,LCB10Y,"11,000 (Ft)","7,790 (Ft)",2,SONGMICS,1 év,40×30×60cm,"Bambusz, Vas, MDF (Közepes Sűrűségű Rostlemez), TC szövet",34,https://www.deco24.hu/songmics-bambusz-kosar-szennyestarto-72l
"ECHO Bárszék 2 db, varrott műbőr borítás, zöld, 76 cm magas",LBC090C01,"42,100 (Ft)","33,700 (Ft)",8,VASAGLE,1 év,51.6x51.6x75cm,,2,https://www.deco24.hu/ECHO-Barszek-2-db-varrott-mubor-boritas-zold-76-cm
"Álló ruhafogas fém 12 akasztóval, fehér",RCR19W,"11,500 (Ft)","8,690 (Ft)",3,SONGMICS,1 év,49x49x182cm,Acél,0,https://www.deco24.hu/songmics-allo-ruhafogas-fem-12-akasztoval-feher
"Szabadon álló ajtós, fiókos szekrény, fehér 32x30x87cm",BBC43WT,"23,000 (Ft)","18,400 (Ft)",9,VASAGLE,1 év,32x30x87cm,MDF (Közepes Sűrűségű Rostlemez),9,https://www.deco24.hu/vasagle-szabadon-allo-ajtos-fiokos-szekreny-feher-32x30x87cm
"Zigzag sarokpolc 5 szintes fali polc, fehér 20x20x127cm",LBC72WT,"10,090 (Ft)","7,690 (Ft)",4,VASAGLE,1 év,20x20x127.5cm,Forgácslap,9,https://www.deco24.hu/vasagle-zigzag-sarokpolc-5-szintes-fali-polc-feher-20x20x127cm
"Szabadon álló ajtós szekrény, fehér 20x18x80cm",BBC310W01,"18,500 (Ft)","13,000 (Ft)",5,VASAGLE,,20x18x80cm,MDF,47,https://www.deco24.hu/vasagle-szabadon-allo-ajtos-szekreny-feher-20x18x80cm
"Fém ketrec háziállatoknak tengerimalac, hörcsög, nyúl számára, fekete 143x73x46cm",LPI01H,"13,000 (Ft)","9,890 (Ft)",4,SONGMICS,1 év,143x73x46cm,"Acél, Akrilonitril-Butadién-Sztirol műanyag (ABS)",23,https://www.deco24.hu/songmics-fem-ketrec-haziallatoknak-tengerimalac-horcsog-nyul-szamara-fekete-143x73x46cm
"Szennyestartó ruhaakasztóval, kivehető ruhatartó kosár, greige és palaszürke",BLH241G01,"36,200 (Ft)","29,000 (Ft)",7,VASAGLE,1 év,73x33x175cm,,5,https://www.deco24.hu/spd/BLH241G01/Szennyestarto-ruhaakasztoval-kiveheto-ruhatarto-ko
"Éjjeliszekrény rekesszel és fém hálós polccal, rusztikus barna 40x40x58cm",LET46X,"24,100 (Ft)","19,300 (Ft)",7,VASAGLE,1 év,40x40x58cm,"Forgácslap, Acél",5,https://www.deco24.hu/vasagle-ejjeliszekreny-rekesszel-es-fem-halos-polccal-rusztikus-barna-40x40x58cm
"Ruhaáállvány, kabátoknak, ruháknak, cipőknek, fekete 87x40x155cm",HSR05B,"16,500 (Ft)","13,200 (Ft)",4,SONGMICS,1 év,87.5x40x155cm,Acél,4,https://www.deco24.hu/songmics-ruhaaallvany-kabatoknak-ruhaknak-cipoknek-fekete-87x40x155cm
