Ser,Job Title,Location,Country,Job Time type,Start Date,Job Req ID,Job Description
17,Associate Dentist - Marquis Dental Group,"Saskatoon, Saskatchewan",Canada,Full time,2023-06-15,JR4513,"About us:  At Marquis Dental, we are proud to be located in the heart of downtown Saskatoon, Canada, and to be housed in a historic building that also serves as the Saskatoon Public School Division Offices. We offer a comprehensive range of dental services, including general, cosmetic, restorative, and pediatric dentistry, and utilize advanced dental technology such as digital X-rays, intraoral cameras, and laser dentistry to ensure optimal patient care. As a member of the Marquis Dental team, I am a qualified dentist with expertise in cosmetic dentistry and implant dentistry, as evidenced by my professional affiliations and areas of interest.Additionally, through working within the dentalcorp network, you will have the opportunity to work alongside and learn from some of the industry’s leading clinicians and have greater access to the advanced treatment technologies and training &amp; development, and support.https://www.marquisdental.ca/site/homeServices Schedule: Full-time, Tuesday to Friday hours are ideal. 7:30am to 3:30pm. No evening or weekend hours.Benefits of Joining Our Team:Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Cubs and online professional communities.Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Path to Partnership: dentalcorp provides a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practice.About You:Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered and in good standing with provincial licensing requirementsValid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
9,Associate Dentist - Duggan Dental,Duggan Dental,Canada,Full time,2023-09-05,JR8008,"About Us:We are looking for a full-time Associate Dentist to join our team at Duggan Dental.Conveniently located in West Camrose, our office is in its own free-standing building and offers free parking for our patients. We also provide evening and early morning appointments so you can get the treatment you need when you need it and have been proudly serving Camrose and the surrounding community for over 25 years.Our practice offers a complete range of dental services, including general dentistry, tooth extraction and root canals, cosmetic services, oral procedures, Pinhole Surgical Technique, Periodontics, and pediatric dentistry to ensure your entire family has access to a comprehensive range of dental care.Dr. Kenneth Cha is highly regarded in his field and provides unparalleled dental care in a safe and soothing environment. Our team is passionately dedicated to continuing education, regularly attending courses, and earning certifications to ensure they provide the most up-to-date dentistry.https://www.duggandental.com/Services Schedule:Full-time hours Monday through to FridayMonday 8:00 am - 8:00 pmTuesday 7:00 am - 7:30 pmWednesday 7:00 am - 8:00 pmThursday 7:00 am - 8:00 pmFriday 9:00 am - 4:00 pmBenefits of Joining Our Team:Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Clubs and online professional communities.Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Path to Partnership: dentalcorp provides a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practice.About You:Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered and in good standing with provincial licensing requirementsValid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
13,Associate Dentist - Wellspring Pembroke,"Pembroke, Ontario",Canada,Part time,2023-08-04,JR2522,"About us: Wellspring Dental Pembroke is a busy and well-established practice serving the Pembroke and Petawawa communities located in downtown Pembroke. Dr. Chintan Thakkar and Dr. Lauren Campbell offer a comprehensive range of services for patients of all ages including hygiene, restorative, cosmetic, endodontics, extractions, implants, and children’s dentistry. We pride ourselves on providing quality dental care and 4.9 stars on Google reviews, evidence of our exceptional patient service, commitment to continuous learning, and innovative technology.Additionally, through working within our network of clinics, you will have the opportunity to work alongside and learn from some of the industry’s leading clinicians and have greater access to the advanced treatment technologies and training &amp; development, and support.We are located at 351 Pembroke St W, Pembroke.www.wellspringdentalpembroke.comServices Schedule: Monday 8-4Tuesday 8-4The OpportunityWe are currently looking for an Associate Dentist to provide services, on an independent contractor basis, to our busy and well-established practice. The successful individual will have a passion for building strong patient relationships and contributing to the ongoing oral health of their community. As an independent contractor at our practice, you will work with a strong group of dental professionals, with access to a variety of learning opportunities and industry-leading continuing education. Why Should You Join?Professional development: You will have the support, tools, and encouragement you need to grow and evolve as a professional on your individual career path, including access to industry-leading continuing education through the award-winning DC Institute (dcinstitute.ca).Competitive service fees: Our service fees packages are reviewed annually in a comparative study that ensures alignment with industry standards.Established and stable practice: Our successful practice is a leader in patient care, providing a range of services to a loyal and established patient base.Health &amp; Safety and Compliance: The practice has a strong health and safety culture, with compliance measures embedded in every aspect of the workplace.Network of experienced dental professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Team-oriented: When you join our practice, you join a team of supportive and like-minded professionals working together to achieve common goals that are understood and shared by all.Respect for our people: The team is built on a culture of respect and positivity, where we celebrate individuality and value each other’s unique strengths and contributions.Work-life flexibility: Everyone has a life outside the practice, and we are committed to helping each team member find a healthy, sustainable balance between home and career.About You:Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered, licensed and in good standing with the Royal College of Dental Surgeons of Ontario (R.C.D.S.O)Valid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants  with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
10,Associate Dentist - Dentalhouse Woodbridge,"Woodbridge, Ontario",Canada,Part time,2023-08-16,JR7591,"About us: Conveniently located on Highway 7, close to highways 400 and 407, dentalhouse Woodbridge has been proudly serving the community for many years. We pride ourselves on maintaining a comfortable and accommodating experience with a compassionate and experienced team. We work diligently to ensure our patients receive the best dental treatment possible through offering a wide range of comprehensive services, including preventative hygiene, general and cosmetic dentistry, orthodontics, emergency care, and more!Our strong team, led by Dr Khash and Dr Grewal and Dr Amir Khadivi, all adhere to a personalized and attentive approach to dentistry. We pride ourselves on providing quality dental care and 4.3 stars on Google reviews, evidence of our exceptional patient service, commitment to continuous learning and innovative technology.Additionally, through working within our network of clinics, you will have the opportunity to work alongside and learn from some of the industry’s leading clinicians and have greater access to advanced treatment technologies, and training &amp; development, and support.https://www.dentalhouse.ca/site/homeServices Schedule: 1 day/week 8 am - 5pm (flexible on days but prefer Monday or Thursday)Benefits of Joining Our Team:Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Clubs and online professional communities.Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Path to Partnership: dentalcorp provides a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practice.About You:General Dentist that is comfortable with doing Periodontics Procedures including tissue and bone grafts, implant placement and restorationsGraduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered and in good standing with provincial licensing requirementsValid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
15,Associate Dentist - Moosomin Dental Clinic,"Moosomin, Saskatchewan",Canada,Full time,2023-07-16,JR6247,"Services Schedule: Monday - Friday (9:00 am - 5:00 pm)*Signing bonus*About us:  Moosomin is a vibrant city known for its friendly community and rich cultural heritage. It is situated in the southeastern part of Saskatchewan and serves as the regional hub for commerce, services, and healthcare. Our friendly team takes pride in servicing our patients manage their oral health! We are looking for an associate dentist to help support the growth of our practice!Watch a video of Darlene sharing her experience!Benefits of Joining Our Team:Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Clubs and online professional communities.Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Path to Partnership: a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practice.About You:Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered and in good standing with provincial licensing requirementsValid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
14,Associate Dentist - Mountain View Dental Centre,"Fernie, British Columbia",Canada,Part time,2023-07-31,JR5637,"We are looking for a part-time associate dentist Thursday and Friday. You will be working alongside experienced clinicians in a well-established practice!About us:  Mountain View Dental is a family friendly dentist located in beautiful Fernie, BC!At Mountain View Dental Centre, we believe that every person deserves the opportunity to achieve a lifetime of excellent oral health which is why we reserve time to provide comprehensive, personalized evaluations for our new patients through thorough examinations of each patient.We pride ourselves on providing quality dental care and 4.9 on Google reviews, evidence of our exceptional patient service, commitment to continuous learning, and innovative technology.Additionally, through working within the dentalcorp network, you will have the opportunity to work alongside and learn from some of the industry’s leading clinicians and have greater access to the advanced treatment technologies, training &amp; development, and support.Services Schedule: Part-time, hours and days can be flexible, but ideally looking for availability Thursday &amp; Friday&#39;sBenefits of Joining Our Team:Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Clubs and online professional communities.Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Path to Partnership: dentalcorp provides a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practice.About You:Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered and in good standing with provincial licensing requirementsValid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
12,Associate Dentist - W Dental,"Vancouver, British Columbia",Canada,Part time,2023-08-03,JR7488,"About us:  W Dental has been serving Vancouver and the surrounding areas for around 10 years.Our team of dentists are highly regarded in their field and provide unparalleled dental care in a safe and soothing environment. We are looking for the next clinical lead to work alongside our wonderful staff.Our beautiful practice is in the Woodward&#39;s Building in historic Gastown area in Downtown Vancouver.W Dental, Vancouver Dentist (w-dental.ca)Services Schedule:Mondays 9:30-6:30Tuesdays 8-51 Saturday/ month 8-3 (Last Sat of each month)Benefits of Joining Our Team:• Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Cubs and online professional communities.• Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  • Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.• Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.• Path to Partnership: dentalcorp provides a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practiceAbout You:• Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency Process• Registered and in good standing with provincial licensing requirements• Valid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
16,Associate Dentist - Hogs Back Dental,"Ottawa, Ontario",Canada,Full time,2023-08-04,JR4913,"About us:  Conveniently located near Hog’s Back Falls, Hog&#39;s Back Dental Centre has been providing dental services to the Central Ottawa community for over 40 years. Our dentist, Dr. Asal Hashemi offers a wide range of dental services for the whole family, including general dentistry, cosmetic, sedation, extractions, and Invisalign®.We pride ourselves on providing quality dental care and 4.7 stars on Google reviews, evidence of our exceptional patient service, commitment to continuous learning, and innovative technology.Additionally, through working within our network of clinics, you will have the opportunity to work alongside and learn from some of the industry’s leading clinicians and have greater access to the advanced treatment technologies and training &amp; development, and support.www.hogsbackdental.caServices Schedule:Monday- Thursday 8am -4pmFriday 8am -1pmBenefits of Joining Our Team:Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Cubs and online professional communities.Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Path to Partnership: dentalcorp provides a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practice.About You:Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered and in good standing with provincial licensing requirementsValid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
11,Associate Dentist - Locum Needed,"Okotoks, Alberta",Canada,Full time,2023-07-04,JR6909,"About Us: Village Lane Dental is your family friendly dentist in Okotoks, Alberta!  We offer a full range of dental services for the whole family including preventive, restorative, and cosmetic care to help our patients achieve optimal oral health.We are equipped with state-of-the-art equipment and technology to allow us to provide the best care for our patients.  This includes iTero 3D Scanner, CEREC Same-Day Restorations, Digital X-Rays, Panoramic X-Rays, Dental Lasers, Intraoral Scanners, Oral Cancer Screening, and Cone Beam Cat Scan (CBCT).We pride ourselves on providing quality dental care and 4.9 stars on google reviews, evidence of our exceptional patient service, commitment to continuous learning, and innovative technology.Additionally, through working within the dentalcorp network, you will have the opportunity to work alongside and learn from some of the industry’s leading clinicians and have greater access to the advanced treatment technologies and training &amp; development, and support.https://www.villagelanedental.comServices Schedule: Monday 12pm to 7 pm, Wednesday 7am to 2 pm, Thursday 12pm to 7 pm, Friday 7am to 2pm. The selected Associate would run 2 chairs with 2 Assistants.Benefits of Joining Our Team:Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Clubs and online professional communities.Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Path to Partnership: dentalcorp provides a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practice.About You:Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered and in good standing with provincial licensing requirementsValid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
8,Associate Dentist - Hall Dental,"Lethbridge, Alberta",Canada,Full time,2023-08-21,JR6737,"About us:  Dr. Hall and the team at Hall Dental welcome patients from near and far!We offer comprehensive dental services to suit the unique needs of all our patients. From services tailored for children to implants and cosmetic services.We are looking for an associate dentist to join our busy and well-established practice. Our state-of-the-art 9 op practice features a fully equipped surgical suite, CBCT, Intraoral cameras and of course digital x-rays!Services Schedule: Monday - Friday *7:00 am - 4:30 pm*Hours may varyBenefits of Joining Our Team:Associate Development Program: A structured yet flexible learning initiative with curated offerings from top clinicians and mentors where you will receive individualized learning &amp; development plans, Priority access to free in-person learning &amp; webinars, discounted rates on courses and access to Study Clubs and online professional communities.Ortho Acceleration Program &amp; Align Partnership: A strategic partnership with Align Technology that provides exclusive benefits, dedicated learning opportunities and enhanced treatment planning support.  Implant Program: Our Associates benefit from customized training and dedicated learning opportunities for implant placement and restoration, supported by our strategic partnership with Nobel Biocare.Network of Experienced Dental Professionals: You will have opportunities for formal and structured mentorship with esteemed team members and colleagues and access to industry-leading experts in various dental disciplines.Path to Partnership: dentalcorp provides a clear path to practice leadership for Associates who wish to move beyond their clinical role and become the business leader of a practice.About You:Graduate from an accredited DDS/DMD Program or successful completion of the National Dental Examining Board of Canada (NDEB) Equivalency ProcessRegistered and in good standing with provincial licensing requirementsValid CPR certificationAll applicants must be domiciled in Canada. We thank all applicants, but only suitable applicants will be contacted. Applicants with a disability who require reasonable accommodation for any part of the application process and thereafter can contact our Talent Team at 416-558-3883. Reasonable accommodations will be determined on a case-by-case basis and your request will be responded to as soon as possible."
