Ser,Keyword
1,Angiologen
2,Anästhesisten
3,Augenärzte
4,Chirurgen
5,Endokrinologen
6,Diabetologen
7,Frauenärzte
8,Gastroentrologen
9,Hepatologen
10,Hämatologen
11,Internistische Onkologen
12,Hautärzte
13,Herzchirurgen
14,HNO-Ärtze
15,Infektiologen
16,Intensivmediziner
17,Internisten
18,Kardiologen
19,Kinder und Jugendpsychiater
20,Kinderärzte
21,Kinderchirurgen
22,Lungenfachärzte
23,Nephrologen
24,Neurochirurgen
25,Neurolgen
26,Nuklearmediziner
27,Orthopäden
28,Physikalische Mediziner
29,Plastische Chirurgen
30,Praktische ärzte
31,Psychiater
32,Radiologen
33,Rheumatologen
34,Strahlentherapeuten und Radioonkolgen
35,Unfallchirurgen 
36,Urologen
37,Zahnärzte
38,Apotheken
