Ser,Keyword
1,Angiologe
2,Anästhesist
3,Augenarzt
4,Chirurgen
5,Endokrinologe
6,Diabetologe
7,Frauenarzt
8,Gastroentrologe
9,Hepatologe
10,Hämatologe
11,Onkologe
12,Hautarzt
13,Herzchirurg
14,HNO-Arzt
15,Infektiologe
16,Intensivmediziner
17,Internist
18,Kardiologe
19,Kinder und Jugendpsychiater
20,Kinderarzt
21,Kinderchirurg
22,Lungenfacharzt
23,Nephrologe
24,Neurochirurg
25,Neurolge
26,Nuklearmediziner
27,Orthopäde
28,Physikalische Mediziner
29,Plastischer Chirurg
30,Praktischer Arzt 
31,Psychiater
32,Radiologe
33,Rheumatologe
34,Strahlentherapeut
35,Radioonkologe
36,Unfallchirurg
37,Urologe
38,Zahnarzt
39,Apotheken
