Part-No,Product,Sub-Title,Photo,Applications,M8/M12 Application,Orientation,No. of Pins,Termination,o-ring,Current Rating,Air- and creepage distance,Gender,Coding,Mating Cycles,Standard,Assembly Height,Max Operating Temp,Configuration,Packaging,Cable Type,Connector left,Connector right,Shield,Anti Twist Protection,Loaded Pins,Material,Color,Data Rate,Transmission Category,Drawing PDF,Drawing DXF,Model 3D,Catalog,Product URL
Part-No. 224150-E,M8 Vertical Female,"3-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/3/csm_IM0011710_fc05ef4953.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,3,SMT,No,4.8 A,0.8 mm,Female,A,100,IEC 61076-2-104,9/13 mm,85 °C,"M8, female stamped contacts",Tape and reel 100 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005829.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005836.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000678.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/224150
Part-No. 464431-E,M8 Vertical Female,"3-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/3/csm_IM0011710_fc05ef4953.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,3,SMT,No,4.8 A,0.8 mm,Female,A,100,IEC 61076-2-104,9/13 mm,85 °C,"M8, female machined contacts",Tape and reel 100 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007102.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007101.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007103.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/464431
Part-No. 494007-E,M8 Vertical Male,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,4,SMT,Yes,4.8 A,0 mm,Male,A,100,IEC 61076-2-104,9/13 mm,,"M8, male machined contacts",Tape and reel with cap 80 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0010911.PDF,https://www.erni.com,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/494007
Part-No. 484599-E,M8 Vertical Female,"3-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/3/csm_IM0011710_fc05ef4953.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,3,SMT,No,4.8 A,0.8 mm,Female,A,100,IEC 61076-2-104,9/13 mm,85 °C,"M8, female stamped contacts",Tape and reel with pad 100 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005829.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005836.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000678.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/484599
Part-No. 494375-E,M8 Vertical Female,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/e/4/csm_IM0011711_f04ae2a09f.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,4,SMT,No,4.8 A,0.8 mm,Female,A,100,IEC 61076-2-104,9/13 mm,85 °C,"M8, female stamped contacts",Tape and reel with pad 100 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005830.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005837.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000679.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/494375
Part-No. 224151-E,M8 Vertical Female,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/e/4/csm_IM0011711_f04ae2a09f.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,4,SMT,No,4.8 A,0.8 mm,Female,A,100,IEC 61076-2-104,9/13 mm,85 °C,"M8, female stamped contacts",Tape and reel 100 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005830.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005837.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000679.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/224151
Part-No. 224152-E,M8 Vertical Male,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/4/3/csm_IM0011712_56a63f788f.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,4,SMT,No,4.8 A,0 mm,Male,A,100,IEC 61076-2-104,9/13 mm,,"M8, male machined contacts",Tape and reel with cap 80 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005831.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005838.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0009549.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/224152
Part-No. 464432-E,M8 Vertical Female,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/e/4/csm_IM0011711_f04ae2a09f.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,4,SMT,No,4.8 A,0.8 mm,Female,A,100,IEC 61076-2-104,9/13 mm,85 °C,"M8, female machined contacts",Tape and reel 100 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0007105.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0007104.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0007106.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/464432
Part-No. 515814-E,M8 Vertical Female,"6-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/5/csm_IM0011739_0d44ad1337.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,6,SMT,No,,0.8 mm,Female,A,100,IEC 61076-2-104,9/13 mm,85 °C,"M8, female machined contacts",Tape and reel with pad 100 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0008690.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0008691.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0008692.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/515814
Part-No. 464561-E,M8 Vertical Female,"6-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/2/5/csm_IM0011739_0d44ad1337.png,"I/O Connectors, ,",M8 PCB Connectors,Vertical,6,SMT,No,,0.8 mm,Female,A,100,IEC 61076-2-104,9/13 mm,85 °C,"M8, female machined contacts",Tape and reel 100 pcs,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0008690.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0008691.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0008692.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/464561
Part-No. 284067-E,M8 Metall Shell,for M8 female connectors,https://www.erni.com/fileadmin/_processed_/a/2/csm_IM0011722_ef71ea9cb4.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,Female,,100,IEC 61076-2-104,13 mm,,Metal shell for M8 female connectors,Bulk,,,,,,,CuZn nickel plated,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005832.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005839.ZIP,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/284067
Part-No. 254154-E,M8 Metall Shell,for M8 female connectors,https://www.erni.com/fileadmin/_processed_/9/3/csm_IM0011716_68bd5e942a.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,Female,,100,IEC 61076-2-104,9 mm,,Metal shell for M8 female connectors,Bulk,,,,,,,CuZn nickel plated,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005832.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005839.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000684.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/254154
Part-No. 284409-E,M8 Metall Shell,for M8 male connectors,https://www.erni.com/fileadmin/_processed_/0/e/csm_IM0011724_56a1012422.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,Male,,100,IEC 61076-2-104,9 mm,,Metal shell for M8 male connectors,Bulk,,,,,,,CuZn nickel plated,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005834.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005841.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000685.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/284409
Part-No. 834898-E,M8 O-Ring,"for M8 metal shell, 10x1",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,,,100,IEC 61076-2-104,,,"O-Ring for M8 metal shell, 10x1",Bulk 100 pcs,,,,,,,NBR,black,,,https://www.erni.com,https://www.erni.com,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/834898
Part-No. 294941-E,M8 Assembly Kit Male,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/a/7/csm_IM0011963_e3a3dea52a.png,"I/O Connectors, ,",M8 PCB Connectors,,4,SMT,,,0 mm,Male,A,100,IEC 61076-2-104,13 mm,,"kit, male metal shell, o-ring 10x1",Bag,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005844.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005845.ZIP,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/294941
Part-No. 223764-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/1/a/csm_IM0011702_613e7d0b91.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Female,A,,IEC 61076-2-104,,70 °C,,,PVC,Female Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005856.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005857.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000692.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223764
Part-No. 223765-E,M8 Cable Assembly,"3-pin, A-coding",https://www.erni.com/fileadmin/_processed_/1/a/csm_IM0011702_613e7d0b91.png,"I/O Connectors, Cable Assembly,",M8 Cable Assemblies,,3,,,4 A,,Female,A,,IEC 61076-2-104,,80 °C,,,PUR,Female Straight,None,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005856.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005857.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0000692.ZIP,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/223765
Part-No. 835676-E,M8 O-Ring,"for M8 metal shell, 10x1",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,,,100,IEC 61076-2-104,,,"O-Ring for M8 metal shell, 10x1",Bulk 100 pcs,,,,,,,FKM,black,,,https://www.erni.com,https://www.erni.com,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/835676
Part-No. 294939-E,M8 Assembly Kit Female,"3-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/9/1/csm_IM0011962_4a6e85a318.png,"I/O Connectors, ,",M8 PCB Connectors,,3,SMT,,,0 mm,Female,A,100,IEC 61076-2-104,13 mm,,"kit, female metal shell, o-ring 10x1, o-ring 5x0.8",Bag,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005842.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005843.ZIP,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/294939
Part-No. 294943-E,M8 Assembly Kit Female,"4-pin, A-coding, SMT",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M8 PCB Connectors,,4,SMT,,,0 mm,Female,A,100,IEC 61076-2-104,13 mm,,"kit, female metal shell, o-ring 10x1, o-ring 5x0.8",Bag,,,,,,,,,,,https://www.erni.com/fileadmin/import/products/assets/DC0005846.PDF,https://www.erni.com/fileadmin/import/products/assets/DC0005847.ZIP,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/294943
Part-No. 835283-E,M8 O-Ring,"for M8 female connectors, 5x0.8",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,,,100,IEC 61076-2-104,,,"O-Ring for M8 female connectors, 5x0.8",Bulk 100 pcs,,,,,,,FKM,black,,,https://www.erni.com,https://www.erni.com,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/835283
Part-No. 394905-E,M8 Counternut,M10x1 SW14,https://www.erni.com/fileadmin/_processed_/e/1/csm_IM0011736_f9975c9e68.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,,,100,IEC 61076-2-104,,,Counternut M10x1 SW14,Bulk,,,,,,,"Steel, tin plated",,,,https://www.erni.com/fileadmin/import/products/assets/DC0005835.PDF,https://www.erni.com,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/394905
Part-No. 494564-E,M8 O-Ring,"for M8 female connectors, 5x0.8",https://www.erni.com/fileadmin/_processed_/3/8/csm_IM0012186_0dab01545a.png,"I/O Connectors, ,",M8 Accessoires,,,,,,0 mm,,,100,IEC 61076-2-104,,,"O-Ring for M8 female connectors, 5x0.8",Bulk 100 pcs,,,,,,,FKM,green,,,https://www.erni.com,https://www.erni.com,https://www.erni.com,https://www.erni.com/fileadmin/import/products/assets/DC0011026.PDF,https://www.erni.com/en/products-and-solutions/detail/494564
