Ser,FRN,Organisation Name,Legal Entity Identifier (LEI),Status,First Authorisation Date,Data listed here is as at the close of business on: 2024-08-11
1,835233,Chetwood Investment Management Ltd,,Authorised,14/08/2019 0:00,
2,835577,TPIO Limited,,Authorised,02/09/2019 0:00,
3,804843,Alp Financial Limited,2549006INHOBUTJA1X91,Authorised,08/10/2018 0:00,
4,783837,ALT 21 LIMITED,213800UR6ZKo8ZUQZ103,Authorised,23/08/2017 0:00,
5,760643,South Molton Street Capital Limited,,Authorised,09/01/2017 0:00,
6,805240,EMVirya Ltd,894500P84DRBBU733L78,Authorised,24/05/2018 0:00,
7,805323,Goji Financial Services Limited,,Authorised,22/10/2018 0:00,
8,805334,Everest Research Limited,213800HJQLHG9R7PBC11,Authorised,02/07/2018 0:00,
9,805772,Woburn Asset Management Limited,,Authorised,06/12/2018 0:00,
10,806010,Stratos Aviation Limited,213800INS4FHYX4SZL57,Authorised,01/08/2018 0:00,
11,777739,Advanced Markets (UK) Limited,213800UT1ZPZ6LLN8N31,Authorised,10/04/2018 0:00,
12,806318,Mayfair Capital Markets Ltd,5299008S75SQ8LAWLM70,Authorised,18/06/2018 0:00,
13,806702,Zodiac Partners Ltd,,Authorised,26/11/2018 0:00,
14,806721,Sening Capital Ltd,213800I3F9HR36ERS457,Authorised,18/06/2018 0:00,
15,806792,Palm Harbour Capital LLP,,Authorised,03/09/2018 0:00,
16,806934,P3 Wealth Ltd,,Authorised,11/09/2018 0:00,
17,801238,Rivers Capital Management Limited,2138005TMNFJPYF8YF03,Authorised,08/05/2018 0:00,
18,807897,ADG Securities LLP,549300FHBQJKXUAWOU74,Authorised,01/11/2018 0:00,
19,808170,Capital D Management LLP,,Authorised,02/07/2018 0:00,
20,114237,GF Financial Markets (UK) Limited,2138009ODJ86B31Z4259,Authorised,01/12/2001 0:00,
21,124384,Citigroup Global Markets Limited,XKZZ2JZF41MRHTR1V493,Authorised,01/12/2001 0:00,
22,124520,TP ICAP Markets Limited,213800NMEZS3MD2IUP33,Authorised,01/12/2001 0:00,
23,124659,Goldman Sachs International Bank,N9FYJ29MC81JI74MJE92,Authorised,01/12/2001 0:00,
24,139200,Tradition (UK) Limited,5493009GUESWKOCRBE73,Authorised,01/12/2001 0:00,
25,142888,Goldman Sachs International,W22LROWP2IHZNBB6K528,Authorised,01/12/2001 0:00,
26,146880,TP ICAP E&C Limited,549300MU2MYJLOY6IJ51,Authorised,01/12/2001 0:00,
27,147150,Merrill Lynch International,GGDZP1UYGU9STUHRDP48,Authorised,01/12/2001 0:00,
28,147543,Tradition Financial Services Limited,549300PGXWH0WZUNMG82,Authorised,01/12/2001 0:00,
29,148474,ADM Investor Services International Limited,213800GNABQM2M887812,Authorised,01/12/2001 0:00,
30,149145,Queen Street Finance Ltd,213800EBWL6KOI24EO05,Authorised,01/12/2001 0:00,
31,149380,Cantor Fitzgerald Europe,549300KM6VUHPKQLQX53,Authorised,01/12/2001 0:00,
