Event,Fight,Bet,BetOnline,BetOnline Move,Bovada,Bovada Move,Pinnacle,Pinnacle Move,Betway,Betway Move,MyBookie,MyBookie Move,BetUS,BetUS Move,SXBet,SXBet Move,Jazz,Jazz Move,Cloudbet,Cloudbet Move,Unibet,Unibet Move,DraftKings,DraftKings Move,FanDuel,FanDuel Move,BetAnySports,BetAnySports Move
Professional Fighters League: PFL 1: 2024 Regular Season,"Taila Santos , Denise Kielholtz",Taila Santos,-550,-1,-600,0,,,-549,0,,,,,,,,,,,,,-550,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Taila Santos , Denise Kielholtz",Denise Kielholtz,400,1,375,0,,,350,0,,,,,,,,,,,,,410,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Kana Watanabe , Shanna Young",Kana Watanabe,-400,1,-425,0,,,-400,0,,,,,,,,,,,,,-425,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Kana Watanabe , Shanna Young",Shanna Young,300,-1,280,1,,,275,0,,,,,,,,,,,,,330,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Kaytlin Neil , Sumiko Inaba",Kaytlin Neil,195,1,190,1,,,175,1,,,,,,,,,,,,,200,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Kaytlin Neil , Sumiko Inaba",Sumiko Inaba,-245,-1,-260,-1,,,-250,-1,,,,,,,,,,,,,-245,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Chelsea Hackett , Jena Bishop",Chelsea Hackett,220,1,220,1,,,200,0,,,,,,,,,,,,,220,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Chelsea Hackett , Jena Bishop",Jena Bishop,-280,-1,-300,-1,,,-275,0,,,,,,,,,,,,,-270,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Steve Mowry , Oleg Popov",Steve Mowry,115,-1,115,-1,,,110,0,,,,,,,,,,,,,120,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Steve Mowry , Oleg Popov",Oleg Popov,-145,1,-150,1,,,-150,0,,,,,,,,,,,,,-142,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Jordan Heiderman , Marcelo Golm",Jordan Heiderman,300,1,280,1,,,275,0,,,,,,,,,,,,,310,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Jordan Heiderman , Marcelo Golm",Marcelo Golm,-400,-1,-425,0,,,-400,0,,,,,,,,,,,,,-395,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Bruno Cappelozza , Sergey Bilostenniy",Bruno Cappelozza,-135,1,-135,0,,,-125,0,,,,,,,,,,,,,-135,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Bruno Cappelozza , Sergey Bilostenniy",Sergey Bilostenniy,105,-1,105,0,,,-105,0,,,,,,,,,,,,,114,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Lucas Brennan , Dimitre Ivy",Lucas Brennan,-900,-1,-900,-1,,,-800,-1,,,,,,,,,,,,,-800,-1,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Lucas Brennan , Dimitre Ivy",Dimitre Ivy,600,1,500,1,,,450,1,,,,,,,,,,,,,550,1,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Liz Carmouche , Juliana Velasquez",Liz Carmouche,-260,1,-250,-1,,,-250,0,,,,,,,,,,,,,-250,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Liz Carmouche , Juliana Velasquez",Juliana Velasquez,200,-1,185,1,,,175,0,,,,,,,,,,,,,205,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Tyrell Fortune , Daniel James",Tyrell Fortune,-150,-1,-145,-1,,,-138,-1,,,,,,,,,,,,,-135,0,,,,
Professional Fighters League: PFL 1: 2024 Regular Season,"Tyrell Fortune , Daniel James",Daniel James,120,1,110,1,,,105,1,,,,,,,,,,,,,114,0,,,,
