Company_Name,E-mail,Website,Address,Contact,Company_Service_Type
All of us here,isabella@allofushere.tv,allofushere.tv/about,"14 Suffolk Road, London, Sw13 9NB",,"Animation, Production"
Alchemy,andrew@alchemy.studio,alchemy.studio,"Studio BK114, Brickfields, 37 Cremer Street, London, E2 8HD",,"Animation, VFX"
A + C Studios,paul@aplsuc.tv,aplusc.tv,"The Old Laundry, St John’s Road, Margate, Kent, CT9 1LU",+44 (0) 7703 297669,Animation
1stAveMachine London,infolondon@1stavemachine.com,www.1stavemachine.com,"Tea Building, 56 Shoreditch High St, London, E1 6JJ, UK",0203 206 6450,"Animation, Production"
Ammolite,info@ammoliteinc.com,www.ammoliteinc.com,"30 Market Place, London, W1W 8AP",,"Animation, VFX, Production"
Animated Storyboards,mallory@animatedstoryboards.com,www.animatedstoryboards.com,"10 John Street, London, WC1N 2EB",+44 (0)20 7734 1653,Animation
Blind Pig,creative@blindpig.tv,www.blindpig.tv,"19-21 Mortimer Street, London, W1T 3JE",+44 (0)207 851 6700,"Animation, Sound Design, VFX"
Art Engine,james@art-engine.com,www.art-engine.com,"1st Floor, 28 Shacklewell Lane, London, E8 2EZ",+44 (0) 7469898871,"Animation, Stills, Production"
Bad Star Studios,production@badstar.studio,www.badstar.studio,"15 & 7 Acacia Business Centre, Leytonstone, London, E11 3PJ",+44 (0)20 8558 5599,"Animation, Stills, VFX, Production"
BlinkInk,hello@blinkink.co.uk,blinkink.co.uk,"Unit 1, Tramways House, 377 Camden Road, London, N70SH",2039091760,"Animation, VFX"
Cardel,info@cardelentertainment.com,cardelentertainment.com,"First Floor, 85 Great Portland Street, London, W1W7LT",+44 (0) 20 3745 2412,"Animation, Production"
Dan Tobin Smith Studio,Hannah@dantobinsmith.com,www.dantobinsmith.com,"52c Whitmore Road, Upper Ground / First Floor, London, N1 5QG",+44 207 033 9880,"Animation, Stills, VFX, Production"
Curate Films,madeleine@curatefilms.com,curatefilms.com,"8 Windmill Street, W1T 2JE, London",020 3832 8563,"Animation, Production"
Blue Zoo Animation Studio,info@blue-zoo.co.uk,www.blue-zoo.co.uk,"Blue Zoo Productions Ltd, Chesterfield House, 385 Euston Road, London, NW1 3AU",+44 (0)20 7434 4111,Animation
DBLG,hello@dblg.co.uk,dblg.co.uk,"Unit 6.12, Fora, 21-33 Great Eastern St, London, EC2A 3EH",020 72494880,"Animation, VFX"
Dimension Studio,hello@dimensionstudio.co,www.dimensionstudio.co,"Unit 35, Wimbledon Business Centre, Riverside Road, London, SW17 0BA",0203 8899 0000,"Animation, Gaming, Virtual Production, Experience (Events,Immersive theatre,Installations,Dome,Theme parks), 360 Video, Augmented Reality / XR, VFX, Virtual Reality, Production"
Ecstasy of Gold,info@ecstasyofgold.co.uk,ecstasyofgold.co.uk,"Unit 26, 92-96, De Beauvoir Road, London, N1 4EN",,"Animation, Editing, Stills, Sound Design, Production"
Electric Theatre Collective,INFO@ELECTRICTHEATRE.TV,electrictheatre.tv,"102 Cavell Street, London, E1 2JA",020 7636 5317,"Animation, VFX"
Equinox,jess@equinox-tv.co.uk,equinox-tv.co.uk,"Suite 3.07, Arrive: Tomorrow Building, Media City UK, Salford, M50 2AB",,"Animation, Editing, Stills, Sound Design, Music Production, VFX, Production"
Flying Duck Studio Lab,contact@flyingduckstudiolab.co.uk,flyingduckstudiolab.co.uk,"Flying Duck Coworking, The Birchcliffe Centre, Hebden Bridge, HX7 8DG",+44 (0)7517060213,"Animation, Sound Design, VFX, Production"
Framestore,info@framestore.com,www.framestore.com,"28 Chancery Lane, London, WC2A 1LB",+44 (0)20 7344 8000,"Animation, VFX, Production"
Feed Me Light,info@feedmelight.com,www.feedmelight.com,"Studio 4 (Fourth Floor), 19-23 Kingsland Road, London, E2 8AA",0203 289 2090,Animation
FRIEND,info@friendlondon.tv,www.friendlondon.tv,"2nd Floor East, 1-5 Clerkenwell Road, London, EC1M 5PA",+44 (0)20 3397 3111,"Animation, Production"
Gusto Film,"tom@gusto.film, jasmine@gusto.film",www.gusto.film,"Floor 4, 8-14 Vine Hill, London, EC1R 5DX, Floor 2, 17 Jubilee St, Brighton, BN1 1GE",,"Animation, Editing, Stills, Sound Design, Music Production, Production"
Golden Wolf,hello@goldenwolf.tv,goldenwolf.tv,"North Block, Green Mews, 13-19 Bevenden Street, London, N1 6AS",+44 (0) 207 253 6977,Animation
Immigrant,miles@immigrant.studio,www.immigrant.studio,"Langebrogade 4 1411, Copenhagen, Denmark",,"Animation, Production"
Inspired Thinking Group (ITG) Ltd,chloeguest@teamitg.com,www.itgcapture.com,"315 Fort Dunlop, Fort Parkway, Birmingham, United Kingdom, B24 9FD",7702568680,"Animation, Stills, VFX, Production"
Intro,intro@intro-uk.com,www.intro-uk.com,,+44 (0)20 7324 3244,"Animation, VFX, Production"
Jelly,hello@thisisjelly.com,www.thisisjelly.com,"9-10 Great Sutton Street, London, EC1V 0BX",+44 (0)20 7323 3307,Animation
Irresistible Studios,hello@irresistiblestudios.com,irresistiblestudios.com,"28 Hanbury Street, London, E1 6QR",+44 (0) 20 3871 7393,"Animation, Stills, VFX, Production"
Light VFX,oliviam@lightvfx.com,lightvfx.com,"LIGHT Visual Effects Ltd., 62 Frith Street, 1st Floor, London, W1D 3JN",,"Animation, VFX"
Moth Studio,info@moth.studio,www.moth.studio,"Studio 309, Netil House, 1 Westgate St, London, E8 3RL",+44 (0)20 3095 9759,Animation
Method Films,paul@methodfilms.co,www.methodfilms.co,"Unit 2, Building A3, Design District, 8 Monro wy, London, SE10 0EJ",,"Animation, Stills, Production"
KILLER Art + Production,"hello@killerartproduction.com, lu@killerartproduction.com",www.killerartproduction.com,,+44 (0) 7977 221549,"Animation, Editing, Sound Design, Music Production, VFX, Stills, Production"
Nexus Studios,info@nexusstudios.com,nexusstudios.com,"Nexus Studios, 25 Chart Street, London, N1 6FA",+44 (0)20 7749 7500,"Animation, Gaming, Virtual Production, Experience (Events,Immersive theatre,Installations,Dome,Theme parks), 360 Video, Augmented Reality / XR, VFX, Virtual Reality, Production"
Noe & Associates,info@noeassociates.com,noeassociates.com,"Mortimer House, 37-41 Mortimer Street, London, W1T 3JH",+44 (0) 207 139 4460,"Animation, Stills, Production"
Mummu,hello@mummu.co.uk,www.mummu.co.uk,"Unit 4:07, The Tea Building, 56 Shoreditch High Street, London, E1 6JJ",+44 20 3962 2076,Animation
MPC,press@moving-picture.com,www.moving-picture.com,"11-14 Windmill Street, London, W1T 2JG",+44 (0)20 7434 3100,"Animation, VFX"
Not To Scale,hello@nottoscale.tv,www.nottoscale.tv,"Not To Scale, 98a Curtain Road, London, EC2A 3AA",+44 (0)20 7734 4575,Animation
Brave Spark,sayhi@bravespark.com,bravespark.com,"34 Bow Street, London, WC2E 7AU",+44 (0)207 490 7740,"Gaming, Stills, 360 Video, Production"
Future Deluxe,london@futuredeluxe.com,futuredeluxe.com,"91-93 Charterhouse St, London, EC1M 6HR",+44 (0) 203 5421774,"Gaming, Virtual Production, VFX, Production"
NOMINT,london@nomint.com,www.nomint.com,"18 East Tenter Street, London, E1 8DN",+44 (0) 20 8004 6604,Animation
Media.Monks,pr@mediamonks.com,media.monks.com,,+44 (0)20 7440 3580,"Gaming, Virtual Production, Experience (Events,Immersive theatre,Installations,Dome,Theme parks), 360 Video, Augmented Reality / XR, Virtual Reality, Production"
Unit 9,info@unit9.com,www.unit9.com,"12 Swan Yard, London, N1 1SD",+44 (0)207 613 3330,"Gaming, Virtual Production, Experience (Events,Immersive theatre,Installations,Dome,Theme parks), 360 Video, Augmented Reality / XR, Virtual Reality, VFX, Production"
Final Pixel,info@finalpixel.com,finalpixel.com,"180 Strand, Temple, London, WC2R 1EA",+44 (0) 203 051 9669,Virtual Production
HELO,info@flyhelo.com,www.flyhelo.com,"125-127, Mare Street, London, E5 0RQ",+44 (0)7848 303000,"Virtual Production, Experience (Events,Immersive theatre,Installations,Dome,Theme parks), Augmented Reality / XR, Virtual Reality, Production"
Passion,info@passion-pictures.com,www.passion-pictures.com,"Passion Pictures Ltd, 33-34 Rathbone Place, London, W1T 1JN",+44 (0)20 7323 9933,"Virtual Production, Experience (Events,Immersive theatre,Installations,Dome,Theme parks), 360 Video, Augmented Reality / XR, Virtual Reality, Animation, Production"
Pebble Studios,mark.witherow@pebblestudios.co.uk,www.pebblestudios.co.uk,"Pebble Studios, 19A Phipp Street, London, EC2A 4NP",+44 (0)207 993 5112,"Virtual Production, Experience (Events,Immersive theatre,Installations,Dome,Theme parks), 360 Video, Augmented Reality / XR, Virtual Reality, Animation, Production"
Territory Studio,hello@territorystudio.com,territorystudio.com,"28–29 Great Sutton Street, London, EC1V 0DS",+44 (0)203 141 9430,"Virtual Production, Animation, VFX"
Absolute,producers.ldn@absolutepost.com,absolutepost.com,"Absolute London, 19-21 Mortimer Street, London, W1T 3JE",+44 (0)20 7851 6700,"Editing, VFX"
Brother,info@brotherfilmco.com,brotherfilmco.com,"Unit 307, Peckham Levels, 95A Rye Lane, London, SE15 4ST",,"Editing, Sound Design, Music Production, Production"
Avenues Studio,info@avenues.studio,www.avenues.studio,"3rd Floor, 26-28 SHACKLEWELL LANE, LONDON, E8 2EZ",+44 (0) 20 8057 0246,Editing
Cabin Edit,kayt@cabinedit.com,www.cabinedit.com,"Cabin Edit Ltd, 6th Floor Charlotte Building, 17 Gresse Street, London, UK, W1T 1QL",,Editing
Doma,jake@doma.works,www.doma.works,"CC211 The Biscuit Factory, 100 Drummond Road, London, SE16 4DG",,"Editing, VFX"
Edit Egg,john@editegg.com,editegg.com,"Unit 7, 37-42 Charlotte Rd, London, EC2A 3PG",,"Editing, VFX"
DIFFER,niall@differstudio.co.uk,www.differstudio.co.uk,"61 Elmfield Crescent, Moseley, Birmingham, B13 9TL",,"Editing, Stills, Production"
