Company Name,Street Address 1,Street Address 2,City,State,Zip Code,Country,Industries,Team Member 1,Team Member 2,Team Member 3,Team Member 4
SRM Equity Partners LLC,"One Alliance Center, 3500 Lenox Road NE, Suite 1050","2801 Via Fortuna, Suite 630",Atlanta,GA,30326,US,,James Carragher,Michael King,John Cote,Andrew Martinez
Appalachian Capital,"1200 N Garfield, #1118",,Arlington,VA,22201,US,,Jason Allevato,,,
Bluff Point Associates,"274 Riverside Avenue, Second Floor",,Westport,CT,6880,US,"Other Diversified Financial Services, Multi-Sector Holdings, Specialized Finance, Asset Management & Custody Banks, Investment Banking & Brokerage, Diversified Capital Markets, Credit & Debit Card Issuers, Mortgage Banker, Mortgage Broker, Mortgage Processors & Servicers, Payday Lenders, Payment Processors, Insurance Brokers, Life & Health Insurance, Multi-line Insurance, Property & Casualty Insurance, Reinsurance, Diversified Banks, Regional Banks, Thrifts & S&Ls, Financial Technology, Application Software, Financial Technology, Health Care Technology, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology",Laurie Ducey,John Gilliam,Neil Gabriele,Bobby Jones
SouthWorth Capital,813 Ridge Lake Blvd,"109 West Park Drive, Suite 310",Memphis,TN,38120,US,"Multi-Sector Holdings, Specialized Finance, Third Party Logistics (3PL), Trading Companies & Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Retail Distributors, Advertising, Office Services & Supplies, Diversified Support Services, Research & Consulting Services, IT Consulting & Other Services, Digital & Social Media, Advertising, Apparel Retail, Computer & Electronics Retail, Specialty Stores, Automotive Retail, Retail Distributors, Catalog Retail, Internet Retail, Consumer Electronics, Apparel, Accessories & Luxury Goods, Footwear",Ben Reed,Chris Kolehmainen,Ian Schinelli,Bubba Patton
"Kidd & Company, LLC",1455 East Putnam Ave.,,Old Greenwich,CT,6870,US,"Aerospace & Defense, Industrial Machinery & Equipment, Health Care Equipment",Matt Cook,Ken Heuer,William Kidd,Richard Fay
White Brush Capital,"1625 Mid Valley Drive, Unit 4",,Steamboat Springs,CO,80487,US,,Tim White,,,
Coughlin Capital,"100 Tamal Plaza, Suite 107",20 South Sarah St,Corte Madera,CA,94925,US,"Diversified Real Estate Activities, Real Estate Operating Companies, Real Estate Development, Real Estate Services, Real Estate Investment Trusts (REITs), Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors",Kevin Coughlin,Pat Burke,Francis Coughlin,Carl Coughlin
Cottonwood Acquisitions,1700 Ocean Avenue,,Ronkonkoma,NY,11779,US,,Chris Smith,,,
Willcrest Partners,"100 Spear Street, Suite 380",,San Francisco,CA,94105,US,"Aerospace & Defense, Building Products, Construction & Engineering, Heavy Electrical Equipment, Industrial Conglomerates, Industrial Machinery & Equipment, Safety Equipment, Alternative Energy Distribution, Oil & Gas Equipment & Services, Independent Power Producers & Energy Traders, Other Diversified Financial Services, Multi-Sector Holdings, Specialized Finance, Mortgage Processors & Servicers, Insurance Brokers, Life & Health Insurance, Multi-line Insurance, Property & Casualty Insurance, Reinsurance, Diversified Real Estate Activities, Real Estate Operating Companies, Real Estate Services, Third Party Logistics (3PL), Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Health Care Distributors, Electronic Manufacturing Services, Paper Packaging, Paper Products, Electrical Components & Equipment, Electronic Equipment & Instruments, Electronic Components, Semiconductor Equipment, Communications Equipment, Application Software, Systems Software, Internet Software & Services, Data Processing & Outsourced Services, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, IT Consulting & Other Services, Metal, Glass & Plastic Containers, Specialized Consumer Services, Wireless Telecommunication Services, Health Care Equipment, Health Care Supplies, Health Care Services, Health Care Technology, Auto Parts & Accessories",Louis Brownstone,Bret Forster,Ben Krick,
"The Stephens Group, LLC",100 Morgan Kegan Drive Suite 500,,Little Rock,AR,72202,US,"Building Products, Industrial Machinery & Equipment, Trading Companies & Distributors, Food Distributors, Building Products, Industrial Machinery & Equipment, Application Software, Internet Software & Services, Specialty Chemicals, Agricultural Products, Packaged Foods & Meats",Allie Laborde,Hunter Carpenter,Aaron Clark,Callie Blankenau
