Company Name,Street Address 1,Street Address 2,City,State,Zip Code,Country,Industries,Team Member 1,Team Member 2,Team Member 3,Team Member 4
Tacoma Holdings,15 West 200 South,,Salt Lake City,UT,84101,US,"Third Party Logistics (3PL), Health Care Distributors, Data Processing & Outsourced Services, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Human Resource & Employment Services, IT Consulting & Other Services, Education Services, Health Care Distributors, Health Care Services, Health Care Facilities",Matt Komenda,Scott Maddux,,
L Catterton,599 W Putnam Ave,,Greenwich,CT,06830,US,"Leisure Facilities, Restaurants, Specialized Consumer Services, Health Care Services, Apparel Retail, Food Retail, Internet Retail, Consumer Electronics, Home Furnishings, Housewares & Specialties, Apparel, Accessories & Luxury Goods, Household Products, Personal Products, Packaged Foods & Meats",Harry Fackelmayer,Kitty Arenz,Alice Lee,Jon Owsley
Highview Capital,"11755 Wilshire Blvd, Suite 1400",,Los Angeles,CA,90025,US,"Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Paper Products, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Railroads, Trucking, Airport Services, Highways & Railtracks, Third Party Logistics (3PL), Food Distributors, Technology Distributors, Air Freight & Logistics, Trucking, Health Care Distributors, Retail Distributors, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Apparel, Accessories & Luxury Goods, Textiles, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Aluminum Products, Steel Products, Health Care Equipment, Health Care Distributors, Household Products, Personal Products, Agricultural Products, Packaged Foods & Meats, Auto Parts & Accessories",Misha Polovneff,Krysty Penwell,Zepher Loesch,Brice Baradel
Fulham Company,593 Washington Street,,Wellesley,MA,02482,US,"Specialty Chemicals, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Building Products, Electrical Components & Equipment, Industrial Conglomerates, Industrial Machinery & Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Computer Storage & Peripherals, Auto Parts & Accessories, Health Care Supplies, Metal, Glass & Plastic Containers, Safety Equipment, Tires & Rubber, Life Sciences Tools & Services, Oil & Gas Equipment & Services",John C. Rich,John N. Fulham III,Matt Ciavarella,James Miller
Martis Capital,"101 California Street, Suite 3260","2020 K Street NW, Suite 720",San Francisco,CA,94111,US,"Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology",Alec Zwaneveld,Graham Garzon,Barry Uphoff,Aabed Meer
Mangrove Equity Partners,101 South Franklin Street Suite 205,,Tampa,FL,33602,US,"Aerospace & Defense, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Machinery & Equipment, Safety Equipment, Airport Services, Highways & Railtracks, Marine Ports & Services, Oil & Gas Equipment & Services, Aerospace & Defense, Heavy Electrical Equipment, Industrial Machinery & Equipment, Electronic Manufacturing Services, Health Care Equipment, Personal Products, Auto Parts & Accessories, Health Care Supplies, Safety Equipment, Environmental & Facilities Services, Diversified Support Services, Security & Alarm Services, Airport Services, Marine Ports & Services, Specialty Chemicals, Specialized Consumer Services, Leisure Products, Personal Products, Brewers, Auto Parts & Accessories",Lea Graziano-Bann,David Fowles,Katie Faircloth,Kyle Wright
Graylight Partners,2350 W Lake of the Isles Pkwy,,Minneapolis,MN,55405,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Alternative Energy Production, Alternative Energy Distribution, Oil & Gas Drilling, Oil & Gas Equipment & Services, Water Utilities, Independent Power Producers & Energy Traders, Electric Utilities, Gas Utilities, Multi-Utilities, Oil & Gas Exploration & Production, Oil & Gas Refining & Marketing, Oil & Gas Storage & Transportation, Coal & Consumable Fuels, Integrated Oil & Gas, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Forest Products, Paper Products, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Nonmetallic Mineral Mining & Quarrying, Aluminum Products, Metal Ore Mining, Gold Products, Other Metal & Mineral Products, Steel Products, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Auto Parts & Accessories, Tires & Rubber",Ryan Simon,Mitchell Kern,,
"Silver Oak Services Partners, LLC","1560 Sherman Avenue, Suite 1200",,Evanston,IL,60201,US,"Insurance Brokers, Third Party Logistics (3PL), Food Distributors, Air Freight & Logistics, Trucking, Retail Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, IT Consulting & Other Services, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Integrated Telecommunication Services, Wireless Telecommunication Services, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology",Carl Sonnenschein,Jack Ward,Michael Clemmons,George Quall
Altus Capital Partners,"10 Westport Road, Suite C204","250 Parkway Drive, Suite 120",Wilton,CT,06897,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Oil & Gas Equipment & Services, Oil & Gas Storage & Transportation, Aerospace & Defense, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Auto Parts & Accessories, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Aluminum Products, Steel Products, Health Care Supplies, Auto Parts & Accessories, Life Sciences Tools & Services",Greg Greenberg,Josh Tesoriero,Russell Greenberg,Kim VanCleef
"The Anderson Group, LLC","111 2nd Avenue NE, Suite 1250","121 West Long Lake Road, Third Floor",St Petersburg,FL,33701,US,"Aerospace & Defense, Building Products, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Safety Equipment, Oil & Gas Exploration & Production, Food Distributors, Retail Distributors, Automobile Manufacturers, Motorcycle Manufacturers, Electronic Manufacturing Services, Construction Materials, Office Electronics, Paper Packaging, Paper Products, Metal, Glass & Plastic Containers, Forest Products, Computer Hardware, Electronic Equipment & Instruments , Electronic Components, Semiconductor Equipment , Semiconductors, Communications Equipment, Environmental & Facilities Services, Aluminum Products, Steel Products, Integrated Telecommunication Services, Wireless Telecommunication Services, Health Care Equipment, Health Care Supplies, Consumer Electronics, Home Furnishings, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Soft Drinks, Packaged Foods & Meats, Auto Parts & Accessories, Tires & Rubber, Pharmaceuticals, Nutraceuticals",Barry Shapiro,Justin Flood,Kim Rosen,Thomas Gaffney
