link,Filter Type,GTIN code,Shipment Status,Product Details,dimensions_data,applications_data,cross_reference_data
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%202326,Hava filtresi,4011558179908,Mevcut,,"{'A': '226', 'B': '168', 'H': '43'}",TOYOTA,"IPS,TOYOTA"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%202329,Hava filtresi,4011558171407,Mevcut,,"{'A': '227', 'B': '170', 'H': '34'}","HONDA,INFINITI,NISSAN,RENAULT,SUBARU","HONDA,IPS,NISSAN,RENAULT,SUBARU"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%2016%20014,Hava filtresi,4011558090081,Mevcut,,"{'A': '164', 'B': '123', 'H': '255'}",BOBCAT,BOBCAT
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Hava%20filtresi/C%202330,Hava filtresi,4011558383404,Mevcut,,"{'A': '230', 'B': '177', 'H': '52'}",SUZUKI,SUZUKI
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/ZR%20902%20x,Yað filtresi,4011558743604,Mevcut,Yað santrifüj Rotoru. contalý.,"{'A': '92', 'F': '14', 'G': '16', 'H': '122'}","RENAULT BUS (IRISBUS/RVI),RENAULT TRUCKS (RVI),ROMAN S.A. (DAC),SISU AUTO","KNORR-BREMSE,MACK,MERCEDES-BENZ (DAIMLER AG),RENAULT TRUCKS (RVI)"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/%C4%B0%C3%A7%20mekan%20filtresi/CU%204624,Ýç mekan filtresi,4011558309107,Mevcut,Partikül filtresi. Montaj süresi [dak] 15 min.. Montaj tarafý Torpido gözünün altýndaki yolcu alaný.,"{'A': '460', 'B': '108', 'H': '30'}",MINI (BMW GROUP),BMW
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Ya%C4%9F%20filtresi/ZR%20905%20z,Yað filtresi,4011558751104,Mevcut,Yað santrifüj Rotoru. contalý.,"{'D': '104', 'F': '6', 'G': '11', 'H': '145'}","DAF TRUCKS,GINAF,IRIZAR,SOLARIS BUS,TATRA,TEMSA BUS,VAN HOOL,VDL BUS + COACH","DAF,PACCAR,RENAULT TRUCKS (OKELIA)"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/%C4%B0%C3%A7%20mekan%20filtresi/CU%2045%20120,Ýç mekan filtresi,4011558307707,Mevcut,Partikül filtresi.,"{'A': '460', 'B': '237', 'H': '30'}","MAN BUS (NEOMAN),NEOPLAN (NEOMAN)","AURORA,DREIHA,MAN"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/%C4%B0%C3%A7%20mekan%20filtresi/CU%204594,Ýç mekan filtresi,4011558311902,Mevcut,Partikül filtresi.,"{'A': '449', 'B': '206', 'H': '25'}","ASTRA (IVECO GROUP),IVECO,IVECO BUS","IVECO,KNORR-BREMSE,RENAULT TRUCKS (OKELIA),WEBASTO - SPHEROS"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20820~23,Yakýt Filtresi,4011558344566,Mevcut,,"{'A': '86', 'F': '10', 'G': '8', 'H': '100'}",MERCEDES-BENZ,MERCEDES-BENZ (DAIMLER AG)
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/%C4%B0%C3%A7%20mekan%20filtresi/CU%2046%20001,Ýç mekan filtresi,4011558017903,Mevcut,Partikül filtresi.,"{'A': '460', 'B': '94', 'H': '30'}",TATRA,TATRA
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20820~21,Yakýt Filtresi,4011558061739,Mevcut,Saðdan direksiyonlu araç.,"{'A': '86', 'F': '10', 'G': '8', 'H': '100'}","INFINITI,MERCEDES-BENZ",MERCEDES-BENZ (DAIMLER AG)
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20820~22,Yakýt Filtresi,4011558061760,Mevcut,,"{'A': '86', 'F': '10', 'G': '8', 'H': '100'}","INFINITI,MERCEDES-BENZ","MERCEDES-BENZ (DAIMLER AG),NISSAN"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%208215,Yakýt Filtresi,4011558045128,Mevcut,,"{'A': '80', 'H': '144'}","AMMANN,BERGMANN,BOBCAT,CASE CONSTRUCTION,DYNAPAC-WINGET,FARESIN,HITACHI,HYSTER,HYUNDAI CONSTRUCTION,JOHN DEERE,KOBELCO,KOMATSU,KRAMER ALLRAD (WACKER NEUSON),LIEBHERR,SANY,TAKEUCHI,TONG YANG MOOLSAN (TYM),WEIDEMANN (WACKER NEUSON),WINGET / DYNAPAC,YALE,YANMAR,YANMAR DIESEL","AMMANN,BOBCAT,CASE-INTERNATIONAL/CASE-IH,CNH INDUSTRIAL,CUMMINS,DOOSAN,DYNAPAC,GEHL,HYSTER,HYUNDAI CONSTRUCTION,JLG,JOHN DEERE,KOMATSU,KRAMER,LIEBHERR,MECALAC,TAKEUCHI,WEIDEMANN,YALE,YANMAR"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%208205,Yakýt Filtresi,4011558809799,Mevcut,,"{'A': '80', 'F': 'M12xP1.25-6H', 'G': 'M 16 X 1.5 - 6H', 'H': '142'}","HYUNDAI,KIA MOTORS,SSANGYONG","HYUNDAI,KIA MOTORS"
https://catalog.mann-filter.com/EU/tur/catalog/MANN-FILTER%20Katalog%20Europa/Yak%C4%B1t%20Filtresi/WK%20821,Yakýt Filtresi,4011558905200,Mevcut,,"{'A': '81', 'B': '61', 'C': '70', 'G': 'M 16 X 1.5', 'H': '129'}","ATLAS WEYCOR (ATLAS WEYHAUSEN),BMW MARINE POWER,CATERPILLAR,CITROEN,FIAT,HAMM (WIRTGEN GROUP),HATZ,INNOCENTI,MEGA (AIXAM-MEGA FRANCE),NISSAN,PEUGEOT,ROVER (MG ROVER GROUP LTD)","BMW,CITROEN,FIAT GROUP (ALFA/FIAT/LANCIA),IPS,NISSAN,PEUGEOT"
