Title,price,saving,discountData,productLink,quantityPrice,category
Sapori d'Italia Grissini Torinesi,1.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/grissini-spezialgebaeck/sapori-d-italia-grissini-torinesi/p/6548136,0.98/100g,Süsses & Snacks
Gran Pavesi Sfoglie classico,2.7,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/salzgebaeck/gran-pavesi-sfoglie-classico/p/6715960,1.50/100g,Süsses & Snacks
Trolli Gummibonbons Apfelringe,2.3,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/bonbons/gummibonbons/trolli-gummibonbons-apfelringe/p/3425051,1.15/100g,Süsses & Snacks
Zweifel Chips Original Nature,4.2,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/nature-chips/zweifel-chips-original-nature/p/3153299,2.40/100g,Süsses & Snacks
Naturaplan Bio Baumnusshälften,3.3,,20% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/nuesse-kerne/naturaplan-bio-baumnusshaelften/p/6377155,3.30/100g,Süsses & Snacks
Kägi fret,3.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/hueppen-waffeln-laeckerli/kaegi-fret/p/5740567,2.63/100g,Süsses & Snacks
Kinder Schokolade Riegel 10x21g,3.3,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/schokoladen-riegel-snacks/schokoladenriegel/kinder-schokolade-riegel-10x21g/p/3005541,1.57/100g,Süsses & Snacks
Prix Garantie Milchbrötli 12 Stück,2.7,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/suesse-broetchen-panettone/prix-garantie-milchbroetli-12-stueck/p/6638080,0.56/100g,Süsses & Snacks
Naturaplan Bio Sultaninen,2.2,,20% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/doerrfruechte/naturaplan-bio-sultaninen/p/6521581,0.88/100g,Süsses & Snacks
Roland Salzbretzeli classic,2.55,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/salzgebaeck/roland-salzbretzeli-classic/p/3153278,2.55/100g,Süsses & Snacks
Chocolate Chip Cookies,1.5,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/guetzli-mit-schokolade/schokolade-als-zutat/chocolate-chip-cookies/p/6539433,0.67/100g,Süsses & Snacks
Knoppers Mini,3.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/schokoladen-riegel-snacks/schokoladensnacks/knoppers-mini/p/3475288,1.98/100g,Süsses & Snacks
isey Skyr Nature,2.05,,,https://www.coop.ch/de/lebensmittel/milchprodukte-eier/quark/quark-nature/isey-skyr-nature/p/4846718,1.21/100g,Süsses & Snacks
Powerade Mountain Blast 4x50cl,10.8,,30% ab 2,https://www.coop.ch/de/kosmetik-gesundheit/gesundheit-wohlbefinden/sportnahrung/energie-ausdauer/powerade-mountain-blast-4x50cl/p/3549963,5.40/100cl,Süsses & Snacks
Zweifel Vaya Bean Salt,3.7,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/spezial-chips/zweifel-vaya-bean-salt/p/6160723,4.63/100g,Süsses & Snacks
Tortilla Chips Nature,1.65,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/nature-chips/tortilla-chips-nature/p/6679219,0.55/100g,Süsses & Snacks
Nutella Snack B-Ready Riegel 6x22g,3.2,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/schokoladen-riegel-snacks/schokoladensnacks/nutella-snack-b-ready-riegel-6x22g/p/5883379,2.42/100g,Süsses & Snacks
