auction_name,auction_id
AutoNation Auto Auction - Los Angeles,195
America's AIM Santa Ana,37885
Kelley Auto Auction,78110
Dealers Auto Auction of Mobile,33410
Shoals North Alabama Auto Auction,28857
South Bay Auto Auction - Gardena,38014
Central Wisconsin Auto Auction,39160
Dealers Auto Auction of Memphis,33409
Jefferson Mid State Auto Auction,15381
North Bay Auto Auction,13072
Dealers Auto Auction of Huntsville,33412
Greater Milwaukee Auto Auction,5947
Norwalk Auto Auction,93500
Mountain State Auto Auction,86
Metro Auto Auction - Phoenix,340
Fox Valley Auto Auction,11735
America's Auto Auction - Birmingham,35117
Radford Auto Auction,49250
Richmond Auto Auction,71
Texarkana Auto Auction,56679
Texas Lone Star Mobile - First Texas Honda,38029
Midland Odessa Auto Auction,38069
Houston's First Choice Auto Auction,721
Metro Auto Auction - Dallas,15651
Alliance Auto Auction Austin,63595
America's Auto Auction - San Antonio,28514
America's Auto Auction - North Houston,708
America's Auto Auction El Paso,100005
America's AA Lone Star Lubbock,38028
America's Auto Auction - Houston,29027
AutoNation Auto Auction - Houston,35071
America's Auto Auction - Dallas,709
America's Auto Auction - Austin,701
Dealers Auto Auction of Murfreesboro,33411
Thoroughbred Auto Auction of Clarksville,90505
Dealers Auto Auction of East Tennessee,48382
Dealers Auto Auction of Chattanooga,4726
United Auto Exchange Memphis,99507
Airport Auto Auction,696
Grand Strand Auto Auction,47398
Rawls Auto Auction,69
America's Auto Auction - Greenville,80
Perryopolis Auto Auction,44941
Carolina Auto Auction,36876
North East Pennsylvania Auto Auction,700
Greater Erie Auto Auction,79
Lehigh Valley Auto Auction,51558
Freedom Auto Auction,86711
Central Pennsylvania Auto Auction,719
Carriage Trade Public Auto Auction,6148
Bloomsburg Auto Auction,37900
Blaise Alexander Auto Auction,39159
America's Auto Auction - Harrisburg,81
America's Auto Auction - Lancaster,35120
Garden Spot Auto Auction,29725
Z66 Auto Auction,38064
America's Auto Auction - Tulsa,90
Dealers Auto Auction OKC,107156
Skipco Auto Auction,6138
Dealers Auto Auction of Cincinnati,57841
Akron Auto Auction,25730
Ray's Southern Auto Auction,60040
State Line Auto Auction,162
Capital Auto Auction,164
America's AA Columbus Fair,724
Expressway Auto Auction,78
CNY Auto Auction,159
US Auto Auction,80375
Auto Auction of New England,37899
America's AA Las Vegas,25456
America's Auto Auction - Kansas City,37951
166 Auto Auction,15727
Missouri Auto Auction,8
Dealers Auto Auction of Jackson,29811
America's Auto Auction - West Michigan,37718
Quincy Auto Auction,88
America's Auto Auction - Boston,65
Central Mass Auto Auction,74
Northeast Auto Auction,142
America's AA Shreveport,39601
Lake Charles Auto Auction,37952
OKI Auto Auction - Kentucky,57848
Backs Auto Auction,45710
I-70 Auto Auction,77720
Mid Kansas Auto Auction - Wichita,51224
Wolfe's Auto Auctions - Terre Haute,131
Kesler-Schaefer Auto Auction,127
Indiana Auto Auction,125
Great Lakes Auto Auction,92874
America's Auto Auction - Saint Louis,35121
Greater Rockford Auto Auction,121
VEMO Auto Auctions - Warner Robins,38032
America's AA Clark County,6140
America's Auto Auction - Chicago,8324
America's AA Greater Peoria,122
New Calhoun Auto Auction,38070
South Georgia Auto Auction,116
Georgia Auto/RV Auction,106027
AutoNation Auto Auction - Atlanta,35073
America's Auto Auction - Atlanta,15258
VEMO Auto Auction Gainesville,57117
Treasure Coast Auto Auction,45542
America's AA Savannah,1180
America's Your Auction Sunset Automotive,101580
America's Auto Auction - Pensacola,6484
AutoNation Auto Auction - Orlando,35072
America's Auto Auction - Jacksonville,82
America's Your Auction Fort Myers,101578
Dealers Auto Auction of the Rockies,102
