Business Name,Address,Phone,Web,Email,CIF,Legal Form,Sector,Constitution Date,Last Change Date,Social Object,Commercial Registry,Trade Names,Activity,CNAE Activity,URL1,URL2
Electra Caldense Energia Sa,"Plaza catalunya, 6, caldes de montbui, 08140, barcelona",938650585,www.electracaldense.com,info@electracaldense.com,A62420815,Sociedad anónima unipersonal,Energía,8-1-2001,10-9-2023,Comercio y producción de energía eléctrica,Barcelona,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRA-CALDENSE-ENERGIA.html,https://empresite.eleconomista.es/ELECTRA-CALDENSE-ENERGIA.html
Electrica Del Oeste Distribucion Sl,"Avenida virgen de guadalupe, 33 - 3º, caceres, 10001, caceres",927225704,www.eosa.es,secretaria@eosa.es,B10025773,Sociedad limitada unipersonal,Energía,20-12-1985,29-10-2023,Distribución y comercialización de energía eléctrica para autoconsumo.,Cáceres,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-OESTE-DISTRIBUCION.html,https://empresite.eleconomista.es/ELECTRICA-OESTE-DISTRIBUCION.html
Engie España Sl.,"Calle ribera del loira, 28, madrid, 28042, madrid",913106270,www.engie.es,contactspain@gdfsuez.com,B82508441,Sociedad limitada unipersonal,Energía,12-1-2000,11-2-2024,Suministro de gas y electricidad,Madrid,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ENGIE-ESPANA.html,https://empresite.eleconomista.es/ELECTRABEL-ESPANA.html
Electricas De Benuza Sl,"Calle el toral, 15, puente de domingo florez, 24380, leon",987460160,www.electricabenuza.es,,B24374647,Sociedad limitada,Energía,27-5-1998,10-12-2023,La distribucion de energia electrica.,León,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICAS-BENUZA.html,https://empresite.eleconomista.es/ELECTRICAS-BENUZA.html
Genergi Soluciones Sl,"Calle cristo de la luz, 10 - plt 1, toledo, 45003, toledo",925222558,www.genergi.es,comercial@genergi.es,B45721610,Sociedad limitada,Energía,18-11-2009,29-10-2023,"Produccion, construccion, venta de energia electrica obtenida a traves de plantas de energia solar termica, solar fotovoltaica, eolica, energia hidraulica. instalaciones de media y baja tension. proyectos, auditorias, di",Toledo,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/GENERGI-SOLUCIONES.html,https://empresite.eleconomista.es/GENERGI-SOLUCIONES.html
Enerfrias Sl,"Plaza ayuntamiento, 1, frias, 09211, burgos",,,frias@ciudaddefrias.com,B09349499,Sociedad limitada unipersonal,Energía,6-5-1999,10-12-2023,"1. de forma directa la funcion de distribuir energia electrica, asi como construir, mantener y operar las instalaciones de distribucion destinadas a situar la energia en los puntos de consumo y proceder a su venta a aque",Burgos,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ENERFRIAS.html,https://empresite.eleconomista.es/ENERFRIAS.html
Parc Solar La Devesa 2 Sl,"Avenida diagonal, 520 - 4 2 b, barcelona, 08006, barcelona",,,,B64864655,Sociedad limitada,Energía,10-6-2008,6-8-2023,"La tenencia y explotacion de instalaciones destinadas a la evacuacion de energia electrica por parte de instalaciones de produccion de energia que utilicen como energia primaria la energia solar fotovoltaica, etc.",Barcelona,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/PARC-SOLAR-DEVESA-2.html,https://empresite.eleconomista.es/PARC-SOLAR-DEVESA-2.html
Hijos De Manuel Perles Vicens Sl,"Calle lepanto, 1, benigembla, 03794, alicante",965581070,,,B53212627,Sociedad limitada,Energía,29-9-1997,6-8-2023,El transporte y distribucion de energia electrica.,Alicante,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/HIJOS-MANUEL-PERLES-VICENS.html,https://empresite.eleconomista.es/HIJOS-MANUEL-PERLES-VICENS.html
Distribucion De Electricidad Valle De Santa Ana Sl.,"Avenida virgen de guadalupe, 33 - piso 3, caceres, 10001, caceres",,,apitarch@eosa.es,B06184790,Sociedad limitada unipersonal,Energía,26-5-1995,14-4-2024,Distribucion de energia electrica.,Cáceres,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/DISTRIBUCION-ELECTRICIDAD-VALLE-SANTA-ANA.html,https://empresite.eleconomista.es/DISTRIBUCION-ELECTRICIDAD-VALLE-SANTA-ANA.html
Electrica De Cantoña Sl,"Lugar cantoña, paderne de allariz, 32112, orense",986349373,www.elecanto.es,admon@elecanto.es,B32159089,Sociedad limitada,Energía,11-1-1993,13-8-2023,Distribucion de energia electrica.,Orense,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-CANTONA.html,https://empresite.eleconomista.es/ELECTRICA-CANTONA.html
Electrica San Gregorio Sl,"Plaza ayuntamiento, s/n, la calahorra, 18512, granada",958677272,,,B18057208,Sociedad limitada unipersonal,Energía,6-3-1986,14-4-2024,"La distribucion de energia electrica, la comercializacion de todo tipo de productos energeticos, en particular la energia electrica en los terminos previstos en la ley sin limitacion de territorio; asi como todos los ser",Granada,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-SAN-GREGORIO.html,https://empresite.eleconomista.es/ELECTRICA-SAN-GREGORIO.html
Suministros Electricos Amieva Sl,"Avenida castilla, 40, cangas de onis, 33550, asturias",985849030,,suela@suela.com,B33089202,Sociedad limitada,Energía,22-7-1986,19-11-2023,"La distribucion y venta de energia electrica, asi como de los suministros y equipos necesarios para la instalacion o venta de instalaciones electricas de cualquier tipo. exclusivamente a aquellos consumidores finales que",Asturias,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/SUMINISTROS-ELECTRICOS-AMIEVA.html,https://empresite.eleconomista.es/SUMINISTROS-ELECTRICOS-AMIEVA.html
Gestion Recursos Linarys Sl.,"Calle general francisco ramirez, 4 - piso 9 a, valladolid, 47003, valladolid",,,administracion@linarys.es,B47754437,Sociedad limitada,Energía,1-6-2016,25-6-2023,La distribución y comercialización de energía eléctrica. la compra y venta de bienes inmuebles propios y de terceros así como el alquiler y la gestión y administración de la propiedad inmobiliaria. actividades de formación y educación,Valladolid,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/GESTION-RECURSOS-LINARYS.html,https://empresite.eleconomista.es/GESTION-RECURSOS-LINARYS.html
Central Electrica Mitjans Sl,"Calle josep flores, 56, sarria de ter, 17840, gerona",972170695,,,B17454091,Sociedad limitada,Energía,17-10-1995,31-12-2023,Distribucion de energia electrica.,Gerona,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/CENTRAL-ELECTRICA-MITJANS.html,https://empresite.eleconomista.es/CENTRAL-ELECTRICA-MITJANS.html
Felipe Blazquez Sl,"Avenida andalucia, 18, pruna, 41670, sevilla",954858380,,contabilidad@empresasblazquez.com,B41575994,Sociedad limitada,Energía,26-2-1993,10-9-2023,"- la sociedad tiene por objeto la distribucion de energia electrica, la comercializacion de todo tipo de productos energeticos , en particular la energia electrica en los terminos previstos en la ley sin limitacion de te",Sevilla,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/FELIPE-BLAZQUEZ.html,https://empresite.eleconomista.es/FELIPE-BLAZQUEZ.html
Hidroelectrica Jose Matanza Garcia Sl,"Barrio casares, 11, carballedo, 27528, lugo",982466059,,josematanzagonzalez@qmail.com,B27249911,Sociedad limitada,Energía,16-2-2000,11-2-2024,"La explotacion de lineas de transporte, distribucion y comercializacion de energia electrica con sus redes para el suministro de fuerza y luz, realizacion de todo tipo de instalaciones electricas, alquileres, lectura y c",Lugo,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/HIDROELECTRICA-JOSE-MATANZA-GARCIA.html,https://empresite.eleconomista.es/HIDROELECTRICA-JOSE-MATANZA-GARCIA.html
Electricas Santa Leonor Sl,"Calle ramon y cajal, 3, santa marta, 06150, badajoz",900902930,www.electricas.net,eferfer52@gmail.com,B06281497,Sociedad limitada unipersonal,Energía,7-7-1998,20-8-2023,Distribucion de energia electrica.,Badajoz,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICAS-SANTA-LEONOR.html,https://empresite.eleconomista.es/ELECTRICAS-SANTA-LEONOR.html
Electrica De Castro Caldelas Sl,"Calle galera, 1 - 1, a coruña, 15003, la coruña",988203055,,,B15639727,Sociedad limitada,Energía,4-5-1998,20-8-2023,"La distribución de energía eléctrica, así como la realización de todas aquellas actividades complementarias con ésta.",La Coruña,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-CASTRO-CALDELAS.html,https://empresite.eleconomista.es/ELECTRICA-CASTRO-CALDELAS.html
Electrica Arangarona Sl.,"Calle d'anglades, s/n, bossost, 25550, lerida",,,,B25820341,Sociedad limitada unipersonal,Energía,4-1-2017,24-9-2023,La distribución de energía eléctrica,Lérida,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-ARANGARONA.html,https://empresite.eleconomista.es/ELECTRICA-ARANGARONA.html
Electrica De Cabañas Sl,"Lugar arenal, 45 - bj, cabanas, 15621, la coruña",981430534,,,B15494198,Sociedad limitada,Energía,2-3-1995,8-10-2023,Distribución de energía eléctrica.,La Coruña,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRICA-CABANAS.html,https://empresite.eleconomista.es/ELECTRICA-CABANAS.html
Heliodora Gomez Sa,"Pasaje la asomadilla, cabezuela, 40396, segovia",921521836,,arodrigo@instalacionesgodofredo.es,A78924750,Sociedad anónima,Energía,13-10-1988,10-12-2023,"La distribucion de energia electrica, asi como construir, mantener y operar las instalaciones de distribucion destinadas a situar la energia en los puntos de consumo y proceder a su venta a aquellos consumidores finales.",Segovia,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/HELIODORA-GOMEZ.html,https://empresite.eleconomista.es/HELIODORA-GOMEZ.html
Suministros Electricos Osuna Sl,"Poligono el palomar calle b, nav 2, loc, osuna, 41640, sevilla",670...,,contable.seo@gmail.com,B91063297,Sociedad limitada,Energía,11-7-2000,18-2-2024,Comercio de material electrico e instalaciones electricas.,Sevilla,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/SUMINISTROS-ELECTRICOS-OSUNA.html,https://empresite.eleconomista.es/SUMINISTROS-ELECTRICOS-OSUNA.html
Electro Sallent De Gallego Sl,"Calle francia, 4, sallent de gallego, 22640, huesca",974488005,www.sallentdegallego.com,electroadmin@aytosallent.es,B22216725,Sociedad limitada unipersonal,Energía,2-9-1998,16-7-2023,"La sociedad tiene por objeto la realización de la siguiente actividad: la distribución de energía eléctrica (cnae: 3513), así como construir, mantener y operar las instalaciones de distribución destinadas a situar la energía en los puntos de consumo y todas aquellas funciones que le vangan determina.",Huesca,,Transporte distr. energía eléctrica,3513 - Distribución de energía eléctrica,https://ranking-empresas.eleconomista.es/ELECTRO-SALLENT-GALLEGO.html,https://empresite.eleconomista.es/ELECTRO-SALLENT-GALLEGO.html
