Product Name,Image URL,SKU,Categories,Description_1,Description_2,Description_3,Description_4,Description_5,Description_6,Product_URL
10-01758,https://www.engineeredmarineproducts.com/wp-content/uploads/10-01758.jpg,10-01758JEV,"BRP, Fasteners, Miscellaneous, Bolts, Miscellaneous",Bolt,OEM : Johnson/Evinrude Replaces: BRP 908158 | 305284 | 339824 | 3852050 | 305937 | 304077,"For 1985 & later Johnson/Evinrude outboard lower unit anodes, bearing carriers, engine covers, and other applications.",also crosses with: Sierra: 18-3153 GLM: 22320,UPC: 840080400235,,https://www.engineeredmarineproducts.com/product/10-01758/
10-02593a,https://www.engineeredmarineproducts.com/wp-content/uploads/10-02593a.jpg,,"Fasteners, Miscellaneous",Magnetic Drain Screw – Allen Head, Replaces: Johnson/Evinrude/OMC/BRP: 318544 Sierra: 18-4249,Fits Johnson/Evinrude E-TEC outboard gearcases.,UPC: 840080494494,,,https://www.engineeredmarineproducts.com/product/10-02593a/
10-02593-1,https://www.engineeredmarineproducts.com/wp-content/uploads/10-02593-1.jpg,,"BRP, Screws, Fasteners, Miscellaneous, Miscellaneous, New",Drain Screw & Washer,OEM : Johnson/Evinrude Replaces: BRP 318544 | 912624,For 1973 & later Johnson/Evinrude outboard gearcases. Magnetic.,also crosses with: Sierra: 18-2378 GLM: 21731 Mallory: 9-72654,UPC: 840080482019,,https://www.engineeredmarineproducts.com/product/10-02593-1/
10-02164-1,https://www.engineeredmarineproducts.com/wp-content/uploads/10-02164-1.jpg,,"BRP, Fasteners, Miscellaneous, Bolts, Miscellaneous, New",Bolt,OEM : Johnson/Evinrude Replaces: BRP 302325 | 328315,"For 1974 & later Johnson/Evinrude outboard impeller housings, ignition coils, exhaust covers, shift covers starter brackets, and other applications.",also crosses with: Sierra: 18-3369 GLM: 22360,UPC: 840080454122,,https://www.engineeredmarineproducts.com/product/10-02164-1/
10-02589,https://www.engineeredmarineproducts.com/wp-content/uploads/10-02589.jpg,10-02589JEV,"BRP, Screws, Fasteners, Miscellaneous, Miscellaneous",Screw,OEM : Johnson/Evinrude Replaces: BRP 307551 | 912625 | 982851 | 027283,"For 1979 & later Johnson/Evinrude 1-cyl, 1.2-2.0 Hp | 2-cyl, 3-60 Hp | 3-cyl, 35-75 Hp | V4, 65-140 Hp | V6, 150-235 Hp | V8, 275-300 Hp outboard gearcases.",also crosses with: Sierra: 18-2387 GLM: 22420 Mallory: 9-72655,UPC: 840080497327,,https://www.engineeredmarineproducts.com/product/10-02589/
10-02160,https://www.engineeredmarineproducts.com/wp-content/uploads/10-02160.jpg,10-02160JEV,"BRP, Screws, Fasteners, Miscellaneous, Miscellaneous",Pivot Screw,OEM : Johnson/Evinrude Replaces: BRP 909533 | 324429 | 309646 | 316357,"For 1981 & later Johnson/Evinrude outboard flywheel covers, intake covers and other applications.",also crosses with: Sierra: 18-3365,UPC: 840080486758,,https://www.engineeredmarineproducts.com/product/10-02160/
10-02500,https://www.engineeredmarineproducts.com/wp-content/uploads/10-02500.jpg,10-02500JEV,"BRP, Fasteners, Miscellaneous, Bolts, Miscellaneous",Bolt,OEM : Johnson/Evinrude Replaces: BRP 341220,For 1995-2011 Johnson/Evinrude outboard gearcases and other applications.,also crosses with: GLM: 22374,UPC: 840080431789,,https://www.engineeredmarineproducts.com/product/10-02500/
10-02583,https://www.engineeredmarineproducts.com/wp-content/uploads/10-02583.jpg,10-02583JEV,"BRP, Fasteners, Miscellaneous, Bolts, Miscellaneous, New",Bolt,OEM : Johnson/Evinrude Replaces: BRP 320041 | 316564,"For 1974-2001/2004 & later Johnson/Evinrude 2-cyl, 35-60 Hp | 3-cyl, 75 Hp outboard bearing housings.",also crosses with: Sierra: 18-2379 GLM: 22400 Mallory: 9-43813,UPC: 840080400181,,https://www.engineeredmarineproducts.com/product/10-02583/
10-01956,https://www.engineeredmarineproducts.com/wp-content/uploads/10-01956.jpg,10-01956JEV,"BRP, Screws, Fasteners, Miscellaneous, Miscellaneous",Screw,OEM : Johnson/Evinrude Replaces: BRP 331980,For 1985-2005 Johnson/Evinrude outboard water pumps and other applications.,also crosses with: Sierra: 18-1704 GLM: 22324,UPC: 840080440187,,https://www.engineeredmarineproducts.com/product/10-01956/
10-01945,https://www.engineeredmarineproducts.com/wp-content/uploads/10-01945.jpg,10-01945JEV,"BRP, Fasteners, Miscellaneous, Bolts, Miscellaneous",Bolt,OEM : Johnson/Evinrude Replaces: BRP 324430 | 316658 | 313891,"For 1978-90 Johnson/Evinrude outboard water pump housings, exhaust covers, intake manifolds, ignition coils and other applications.",also crosses with: Sierra: 18-4277,UPC: 840080402284,,https://www.engineeredmarineproducts.com/product/10-01945/
