Building Name,Unit size,Unit #,Beds,Bath,Sq. Ft.,Available Date,12 month Price,Best Value Price and term
Arrive Streeterville,09 Studio,4409,0,1,496,10/28/2024,"$1,775.00",
Arrive Streeterville,09 Studio,1209,0,1,496,10/07/2024,"$1,940.00",
Arrive Streeterville,09 Studio,1509,0,1,496,10/10/2024,"$1,995.00",
Arrive Streeterville,09 Studio,3809,0,1,496,09/15/2024,"$2,055.00",
Arrive Streeterville,09 Studio,3009,0,1,496,09/28/2024,"$2,115.00",
Arrive Streeterville,08 Convertible,2308,0,1,620,10/11/2024,"$2,050.00",
Arrive Streeterville,08 Convertible,408,0,1,620,09/26/2024,"$2,090.00",
Arrive Streeterville,08 Convertible,808,0,1,620,10/29/2024,"$2,245.00",
Arrive Streeterville,08 Convertible,908,0,1,620,09/02/2024,"$2,250.00",
Arrive Streeterville,08 Convertible,4008,0,1,620,08/27/2024,"$2,285.00",
Arrive Streeterville,11B Studio,511,0,1,546,10/08/2024,"$1,995.00",
Arrive Streeterville,11B Studio,2011,0,1,546,10/06/2024,"$2,045.00",
Arrive Streeterville,06 Convertible,3906,0,1,606,09/20/2024,"$2,295.00",
Arrive Streeterville,06 Convertible,3006,0,1,606,09/24/2024,"$2,300.00",
Arrive Streeterville,06 Convertible,3306,0,1,606,09/20/2024,"$2,315.00",
Arrive Streeterville,06 Convertible,4006,0,1,606,08/30/2024,"$2,340.00",
Arrive Streeterville,02 Two Bed,2602,2,2,1243,10/31/2024,"$3,640.00",
Arrive Streeterville,02 Two Bed,4402,2,2,1243,09/21/2024,"$3,900.00",
Arrive Streeterville,PH2-4412,4412,1,2,1208,08/31/2024,"$3,450.00",
Arrive Streeterville,11A One Bed,3211,1,1,911,11/07/2024,"$2,550.00",
Arrive Streeterville,12a One Bed,812,1,1,854,09/01/2024,"$2,545.00",
Arrive Streeterville,01 One Bed,501,1,1,854,Now,"$2,495.00",
Arrive Streeterville,01 One Bed,1101,1,1,854,Now,"$2,500.00",
Arrive Streeterville,01 One Bed,2301,1,1,854,Now,"$2,565.00",
Arrive Streeterville,01 One Bed,2401,1,1,854,Now,"$2,570.00",
Arrive Streeterville,01 One Bed,3601,1,1,854,09/21/2024,"$2,795.00",
Arrive Streeterville,07 One Bed,2007,1,1,810,10/04/2024,"$2,445.00",
Arrive Streeterville,07 One Bed,2507,1,1,810,09/07/2024,"$2,520.00",
Arrive Streeterville,07 One Bed,2707,1,1,810,10/29/2024,"$2,560.00",
Arrive Streeterville,07 One Bed,3507,1,1,810,Now,"$2,660.00",
Arrive Streeterville,10A Convertible,4310,0,1,647,Now,"$2,340.00",
Arrive Streeterville,10B Convertible,3710,0,1,612,10/16/2024,"$2,305.00",
Arrive Streeterville,03 One Bed,3903,1,1,781,09/29/2024,"$2,265.00",
Arrive Streeterville,03 One Bed,1107,1,1,810,09/17/2024,"$2,375.00",
Arrive Streeterville,03 One Bed,2103,1,1,781,09/20/2024,"$2,430.00",
Arrive Streeterville,03 One Bed,4003,1,1,781,09/14/2024,"$2,620.00",
Arrive Streeterville,04 Studio,3104,0,1,603,09/22/2024,"$2,235.00",
Arrive Streeterville,04 Studio,4304,0,1,603,10/17/2024,"$2,295.00",
Arrive Streeterville,05 One Bed,2305,1,1,739,10/09/2024,"$2,105.00",
Arrive Streeterville,05 One Bed,4205,1,1,739,Now,"$2,365.00",
Arrive Streeterville,05 One Bed,605,1,1,739,08/23/2024,"$2,415.00",
Arrive Streeterville,05 One Bed,2705,1,1,739,10/19/2024,"$2,500.00",
Arrive Streeterville,05 One Bed,3905,1,1,739,Now,"$2,565.00",
