Building Name,Unit size,Unit #,Beds,Bath,Sq. Ft.,Available Date,12 month Price,Best Value Price and term
Lake & Wells,ST9,1104,0,1,945 sq. ft.,9/7/24,"$2,555",
Lake & Wells,B1,1708,1,1,928 sq. ft.,8/16/24,"$2,688",
Lake & Wells,S2,1803,1,1,629 sq. ft.,8/31/24,"$1,985",
Lake & Wells,A6,1807,1,1,942 sq. ft.,9/7/24,"$2,612",
Lake & Wells,B1,1808,1,1,928 sq. ft.,8/16/24,"$2,698",
Lake & Wells,S1,1809,1,1,584 sq. ft.,9/24/24,"$2,127",
Lake & Wells,A2,2010,1,1,837 sq. ft.,9/28/24,"$2,472",
Lake & Wells,A6,2107,1,1,942 sq. ft.,8/16/24,"$2,642",
Lake & Wells,B1,2108,1,1,928 sq. ft.,10/12/24,"$2,728",
Lake & Wells,A2,2110,1,1,837 sq. ft.,8/16/24,"$2,482",
Lake & Wells,S2,2403,1,1,629 sq. ft.,10/15/24,"$2,045",
Lake & Wells,C1,2502,2,2,"1,326 sq. ft.",9/21/24,"$3,833",
Lake & Wells,S1,2509,1,1,584 sq. ft.,8/16/24,"$2,097",
Lake & Wells,A4,2607,1,1,888 sq. ft.,8/16/24,"$2,640",
Lake & Wells,S1,2609,1,1,584 sq. ft.,8/16/24,"$2,107",
Lake & Wells,S2,3003,1,1,629 sq. ft.,9/13/24,"$2,105",
Lake & Wells,S2,3103,1,1,629 sq. ft.,8/16/24,"$2,165",
Lake & Wells,S1,3109,1,1,584 sq. ft.,8/16/24,"$2,157",
Lake & Wells,A2,3110,1,1,837 sq. ft.,9/12/24,"$2,432",
Lake & Wells,S1,3209,1,1,584 sq. ft.,9/19/24,"$2,117",
Lake & Wells,S2,3403,1,1,629 sq. ft.,8/16/24,"$2,045",
Lake & Wells,S2,3503,1,1,629 sq. ft.,8/24/24,"$2,305",
Lake & Wells,A2,3510,1,1,837 sq. ft.,9/12/24,"$2,472",
Lake & Wells,ST1,3609,0,1,631 sq. ft.,9/7/24,"$2,182",
Lake & Wells,S2,3803,1,1,629 sq. ft.,8/16/24,"$2,185",
Lake & Wells,ST1,4009,0,1,631 sq. ft.,8/31/24,"$2,222",
Lake & Wells,A5,4101,1,1,900 sq. ft.,10/5/24,"$2,798",
Lake & Wells,S2,4103,1,1,629 sq. ft.,8/23/24,"$2,365",
Lake & Wells,ST1,4109,0,1,631 sq. ft.,9/14/24,"$2,382",
Lake & Wells,ST3,4111,1,1,711 sq. ft.,9/20/24,"$2,435",
Lake & Wells,S2,4203,1,1,629 sq. ft.,8/16/24,"$2,275",
